"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0006","KS403EW0007","KS403EW0008","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E00021141",117,3,114,26,17,2.84615384615385,4.39316239316239,2.36752136752137,2.56410256410256,97.4358974358974,22.2222222222222,14.5299145299145
"E00021143",138,4,134,44,31,2.84782608695652,4.26811594202899,2.33333333333333,2.89855072463768,97.1014492753623,31.8840579710145,22.463768115942
"E00021145",104,4,100,19,8,2.31730769230769,4.20192307692308,2.04807692307692,3.84615384615385,96.1538461538462,18.2692307692308,7.69230769230769
"E00021146",143,14,129,64,15,2.04895104895105,3.51748251748252,2.12587412587413,9.79020979020979,90.2097902097902,44.7552447552448,10.4895104895105
"E00021147",83,5,78,16,10,2.46987951807229,4.65060240963855,2.40963855421687,6.02409638554217,93.9759036144578,19.2771084337349,12.0481927710843
"E00021148",119,4,115,23,12,2.34453781512605,4.17647058823529,2.27731092436975,3.36134453781513,96.6386554621849,19.327731092437,10.0840336134454
"E00021149",126,0,126,53,31,2.8015873015873,3.73015873015873,2,0,100,42.0634920634921,24.6031746031746
"E00021150",116,2,114,43,28,2.56896551724138,3.92241379310345,2.13793103448276,1.72413793103448,98.2758620689655,37.0689655172414,24.1379310344828
"E00021151",113,0,113,36,16,2.43362831858407,3.90265486725664,2.06194690265487,0,100,31.858407079646,14.1592920353982
"E00021152",138,0,138,45,24,2.7463768115942,4.15942028985507,2.21014492753623,0,100,32.6086956521739,17.3913043478261
"E00021153",149,15,134,47,12,2.28859060402685,3.89261744966443,2.0738255033557,10.0671140939597,89.9328859060403,31.5436241610738,8.05369127516778
"E00021154",121,4,117,40,25,3.31404958677686,4.66115702479339,2.6198347107438,3.30578512396694,96.6942148760331,33.0578512396694,20.6611570247934
"E00021155",172,11,161,95,27,2.08720930232558,3.18604651162791,1.71511627906977,6.3953488372093,93.6046511627907,55.2325581395349,15.6976744186047
"E00021156",133,2,131,75,19,1.78195488721805,2.77443609022556,1.43609022556391,1.50375939849624,98.4962406015038,56.390977443609,14.2857142857143
"E00021157",106,1,105,37,24,3.12264150943396,4.09433962264151,2.24528301886792,0.943396226415094,99.0566037735849,34.9056603773585,22.6415094339623
"E00021158",107,0,107,43,27,3.17757009345794,4.05607476635514,2.27102803738318,0,100,40.1869158878505,25.2336448598131
"E00021159",246,2,244,59,35,2.32113821138211,4.06910569105691,2.1219512195122,0.813008130081301,99.1869918699187,23.9837398373984,14.2276422764228
"E00021160",112,4,108,45,24,2.875,3.98214285714286,2.24107142857143,3.57142857142857,96.4285714285714,40.1785714285714,21.4285714285714
"E00021161",154,0,154,40,18,2.53896103896104,4.27922077922078,2.44155844155844,0,100,25.974025974026,11.6883116883117
"E00021162",121,2,119,37,27,3.09917355371901,4.49586776859504,2.69421487603306,1.65289256198347,98.3471074380165,30.5785123966942,22.3140495867769
"E00021163",119,0,119,38,21,2.59663865546218,4.13445378151261,2.4453781512605,0,100,31.9327731092437,17.6470588235294
"E00021164",128,4,124,40,26,2.1796875,3.5859375,1.734375,3.125,96.875,31.25,20.3125
"E00021165",122,2,120,53,20,2.77049180327869,3.98360655737705,2.29508196721311,1.63934426229508,98.3606557377049,43.4426229508197,16.3934426229508
"E00021166",126,0,126,45,22,3.07142857142857,4.34920634920635,2.82539682539683,0,100,35.7142857142857,17.4603174603175
"E00021167",128,9,119,43,14,2.3828125,3.828125,1.9765625,7.03125,92.96875,33.59375,10.9375
"E00021168",169,9,160,67,19,2.21301775147929,3.56804733727811,2.04733727810651,5.32544378698225,94.6745562130178,39.6449704142012,11.2426035502959
"E00021169",189,1,188,57,28,2.47089947089947,3.87301587301587,2.08994708994709,0.529100529100529,99.4708994708995,30.1587301587302,14.8148148148148
"E00021170",162,2,160,58,46,2.87654320987654,4.00617283950617,2.08024691358025,1.23456790123457,98.7654320987654,35.8024691358025,28.3950617283951
"E00021171",241,3,238,87,43,2.73858921161826,4.00829875518672,2.16182572614108,1.2448132780083,98.7551867219917,36.0995850622407,17.8423236514523
"E00021172",125,3,122,27,11,2.2,4.184,2.224,2.4,97.6,21.6,8.8
"E00021173",146,1,145,38,24,2.54794520547945,4.25342465753425,2.33561643835616,0.684931506849315,99.3150684931507,26.027397260274,16.4383561643836
"E00021174",128,0,128,14,12,1.78125,3.5546875,1.453125,0,100,10.9375,9.375
"E00021175",127,3,124,39,20,2.26771653543307,4.09448818897638,2.17322834645669,2.36220472440945,97.6377952755905,30.7086614173228,15.748031496063
"E00021176",151,11,140,22,14,1.97350993377483,4.22516556291391,2.09933774834437,7.28476821192053,92.7152317880795,14.5695364238411,9.27152317880795
"E00021177",134,3,131,54,34,3.17164179104478,4.12686567164179,2.33582089552239,2.23880597014925,97.7611940298508,40.2985074626866,25.3731343283582
"E00021179",140,13,127,45,23,2.33571428571429,3.79285714285714,1.91428571428571,9.28571428571429,90.7142857142857,32.1428571428571,16.4285714285714
"E00021180",168,1,167,63,43,2.64285714285714,3.80357142857143,1.9702380952381,0.595238095238095,99.4047619047619,37.5,25.5952380952381
"E00021181",107,9,98,37,14,2.14953271028037,3.68224299065421,1.98130841121495,8.41121495327103,91.588785046729,34.5794392523364,13.0841121495327
"E00021182",169,9,160,80,19,2.02958579881657,3.36094674556213,1.9112426035503,5.32544378698225,94.6745562130178,47.3372781065089,11.2426035502959
"E00021183",135,11,124,36,11,1.71111111111111,3.4,1.52592592592593,8.14814814814815,91.8518518518518,26.6666666666667,8.14814814814815
