"GeographyCode","QS417EW0001","QS417EW0002","QS417EW0003"
"E00021141",118,117,1
"E00021143",138,138,0
"E00021145",104,104,0
"E00021146",147,143,4
"E00021147",88,83,5
"E00021148",122,119,3
"E00021149",127,126,1
"E00021150",118,116,2
"E00021151",114,113,1
"E00021152",139,138,1
"E00021153",150,149,1
"E00021154",122,121,1
"E00021155",173,172,1
"E00021156",135,133,2
"E00021157",106,106,0
"E00021158",108,107,1
"E00021159",247,246,1
"E00021160",113,112,1
"E00021161",156,154,2
"E00021162",121,121,0
"E00021163",120,119,1
"E00021164",128,128,0
"E00021165",123,122,1
"E00021166",127,126,1
"E00021167",130,128,2
"E00021168",177,169,8
"E00021169",190,189,1
"E00021170",163,162,1
"E00021171",242,241,1
"E00021172",126,125,1
"E00021173",146,146,0
"E00021174",130,128,2
"E00021175",129,127,2
"E00021176",152,151,1
"E00021177",136,134,2
"E00021179",145,140,5
"E00021180",174,168,6
"E00021181",109,107,2
"E00021182",171,169,2
"E00021183",139,135,4
"E00021184",69,69,0
"E00021185",134,131,3
"E00021186",160,156,4
"E00021187",100,97,3
"E00021188",121,120,1
"E00021189",124,122,2
"E00021190",169,161,8
"E00021191",127,124,3
"E00021192",118,113,5
"E00021193",183,182,1
"E00021194",178,176,2
"E00021195",109,108,1
"E00021196",115,114,1
"E00021197",229,215,14
"E00021198",93,92,1
"E00021199",112,111,1
"E00021200",113,107,6
"E00021201",109,107,2
"E00021202",93,92,1
"E00021203",107,104,3
"E00021204",147,145,2
"E00021205",102,100,2
"E00021206",79,78,1
"E00021207",171,164,7
"E00021208",109,108,1
"E00021209",76,72,4
"E00021210",79,78,1
"E00021211",136,135,1
"E00021212",77,75,2
"E00021213",137,132,5
"E00021214",164,156,8
"E00021215",185,181,4
"E00021216",179,163,16
"E00021217",258,225,33
"E00021218",210,201,9
"E00021219",110,107,3
"E00021220",199,181,18
"E00021223",199,195,4
"E00021224",175,168,7
"E00021225",153,152,1
"E00021227",127,118,9
"E00021228",138,135,3
"E00021229",124,116,8
"E00021230",140,128,12
"E00021231",125,122,3
"E00021235",109,105,4
"E00021236",138,132,6
"E00021238",199,181,18
"E00021239",159,147,12
"E00021240",172,162,10
"E00021241",120,116,4
"E00021243",149,147,2
"E00021244",149,148,1
"E00021245",116,113,3
"E00021246",185,182,3
"E00021247",117,115,2
"E00021248",140,136,4
"E00021249",123,122,1
"E00021251",120,114,6
"E00021252",130,126,4
"E00021253",151,144,7
"E00021254",114,109,5
"E00021255",117,109,8
"E00021256",110,107,3
"E00021257",107,102,5
"E00021258",137,134,3
"E00021259",139,134,5
"E00021260",151,143,8
"E00021261",132,128,4
"E00021262",120,119,1
"E00021263",180,175,5
"E00021266",119,119,0
"E00021267",146,145,1
"E00021268",110,106,4
"E00021271",191,189,2
"E00021272",91,89,2
"E00021273",126,125,1
"E00021274",196,192,4
"E00021275",118,116,2
"E00021277",102,101,1
"E00021278",82,82,0
"E00021279",153,153,0
"E00021280",152,151,1
"E00021281",206,204,2
"E00021282",184,181,3
"E00021285",81,77,4
"E00021286",112,106,6
"E00021287",168,160,8
"E00021288",139,133,6
"E00021289",127,127,0
"E00021290",120,120,0
"E00021291",257,239,18
"E00021292",115,113,2
"E00021294",202,201,1
"E00021295",148,145,3
"E00021296",163,160,3
"E00021297",157,156,1
"E00021298",178,173,5
"E00021299",171,165,6
"E00021300",190,181,9
"E00021301",183,175,8
"E00021302",193,185,8
"E00021303",129,126,3
"E00021304",119,119,0
"E00021305",106,100,6
"E00021306",130,126,4
"E00021307",190,183,7
"E00021308",142,139,3
"E00021309",107,105,2
"E00021310",115,112,3
"E00021311",122,119,3
"E00021312",129,123,6
"E00021313",208,204,4
"E00021314",150,148,2
"E00021315",117,112,5
