"GeographyCode","QS106EW0001","QS106EW0002","QS106EW0003","QS106EW0004"
"E00021141",340,334,6,0
"E00021143",393,377,9,7
"E00021145",256,240,11,5
"E00021146",462,289,134,39
"E00021147",210,203,3,4
"E00021148",279,267,9,3
"E00021149",353,347,4,2
"E00021150",298,285,8,5
"E00021151",275,271,4,0
"E00021152",379,368,10,1
"E00021153",344,310,20,14
"E00021154",401,388,9,4
"E00021155",359,329,14,16
"E00021156",237,230,3,4
"E00021157",331,324,4,3
"E00021158",340,336,3,1
"E00021159",571,542,23,6
"E00021160",322,306,10,6
"E00021161",391,369,12,10
"E00021162",375,363,9,3
"E00021163",353,335,7,11
"E00021164",279,266,1,12
"E00021165",338,324,10,4
"E00021166",387,364,13,10
"E00021167",305,285,11,9
"E00021168",374,330,27,17
"E00021169",467,447,10,10
"E00021170",466,454,5,7
"E00021171",660,629,14,17
"E00021172",281,265,12,4
"E00021173",372,348,15,9
"E00021174",228,208,10,10
"E00021175",300,282,10,8
"E00021176",298,290,4,4
"E00021177",425,406,10,9
"E00021179",327,291,28,8
"E00021180",444,410,20,14
"E00021181",230,210,15,5
"E00021182",343,305,19,19
"E00021183",231,213,11,7
"E00021184",169,158,3,8
"E00021185",304,284,15,5
"E00021186",440,422,12,6
"E00021187",307,293,6,8
"E00021188",302,259,36,7
"E00021189",397,372,16,9
"E00021190",476,440,22,14
"E00021191",396,391,0,5
"E00021192",329,307,9,13
"E00021193",323,273,32,18
"E00021194",563,536,15,12
"E00021195",392,373,12,7
"E00021196",381,374,5,2
"E00021197",519,447,24,48
"E00021198",313,300,10,3
"E00021199",182,173,7,2
"E00021200",322,308,5,9
"E00021201",321,299,17,5
"E00021202",285,278,4,3
"E00021203",246,230,6,10
"E00021204",401,381,12,8
"E00021205",336,306,21,9
"E00021206",239,235,2,2
"E00021207",258,245,11,2
"E00021208",299,274,12,13
"E00021209",246,232,8,6
"E00021210",289,276,10,3
"E00021211",372,349,15,8
"E00021212",270,258,5,7
"E00021213",415,402,4,9
"E00021214",511,456,27,28
"E00021215",454,314,77,63
"E00021216",326,316,3,7
"E00021217",524,420,28,76
"E00021218",491,433,28,30
"E00021219",250,244,3,3
"E00021220",348,306,13,29
"E00021223",388,341,24,23
"E00021224",409,382,15,12
"E00021225",292,272,11,9
"E00021227",269,247,17,5
"E00021228",359,340,11,8
"E00021229",309,296,7,6
"E00021230",248,222,16,10
"E00021231",210,201,6,3
"E00021235",368,361,3,4
"E00021236",324,303,9,12
"E00021238",398,345,22,31
"E00021239",286,253,12,21
"E00021240",304,269,24,11
"E00021241",274,232,24,18
"E00021243",398,382,5,11
"E00021244",254,243,8,3
"E00021245",246,234,7,5
"E00021246",517,501,12,4
"E00021247",402,383,9,10
"E00021248",380,361,13,6
"E00021249",329,322,5,2
"E00021251",292,290,1,1
"E00021252",267,234,20,13
"E00021253",304,292,4,8
"E00021254",237,208,12,17
"E00021255",221,191,18,12
"E00021256",242,215,10,17
"E00021257",242,227,8,7
"E00021258",360,349,8,3
"E00021259",399,378,6,15
"E00021260",320,310,8,2
"E00021261",278,263,12,3
"E00021262",305,295,6,4
"E00021263",401,360,31,10
"E00021266",281,267,9,5
"E00021267",329,320,7,2
"E00021268",253,243,7,3
"E00021271",392,376,12,4
"E00021272",221,216,4,1
"E00021273",286,277,5,4
"E00021274",549,531,16,2
"E00021275",259,248,11,0
"E00021277",249,242,4,3
"E00021278",199,188,8,3
"E00021279",444,429,12,3
"E00021280",287,256,21,10
"E00021281",531,478,46,7
"E00021282",407,382,17,8
"E00021285",123,115,7,1
"E00021286",230,204,18,8
"E00021287",278,246,21,11
"E00021288",239,214,20,5
"E00021289",330,326,4,0
"E00021290",342,323,17,2
"E00021291",374,339,13,22
"E00021292",312,297,10,5
"E00021294",578,564,9,5
"E00021295",379,331,42,6
"E00021296",341,310,23,8
"E00021297",418,389,18,11
"E00021298",417,382,26,9
"E00021299",438,383,45,10
"E00021300",492,406,71,15
"E00021301",522,507,9,6
"E00021302",463,424,31,8
"E00021303",349,328,12,9
"E00021304",361,333,17,11
"E00021305",255,226,21,8
"E00021306",264,230,25,9
"E00021307",470,402,49,19
"E00021308",448,404,37,7
"E00021309",189,178,6,5
"E00021310",259,243,14,2
"E00021311",335,321,9,5
"E00021312",316,299,13,4
"E00021313",484,436,42,6
"E00021314",370,339,23,8
"E00021315",138,133,4,1
"E00021316",322,312,4,6
"E00021317",328,305,16,7
"E00021318",303,276,23,4
"E00021319",330,302,27,1
"E00021320",322,308,14,0
"E00021321",302,285,15,2
"E00021322",315,301,4,10
"E00021323",374,360,11,3
"E00021324",380,353,15,12
"E00021325",413,390,17,6
"E00021326",433,424,6,3
"E00021327",397,360,25,12
"E00021328",434,418,8,8
"E00021329",398,368,20,10
"E00021330",334,310,16,8
"E00021331",200,192,7,1
"E00021332",491,472,12,7
"E00021333",351,333,12,6
"E00021334",377,364,12,1
"E00021335",564,536,18,10
"E00021336",300,290,6,4
"E00021337",339,327,7,5
"E00021338",452,433,17,2
"E00021339",331,302,24,5
"E00021340",383,355,14,14
"E00021342",342,323,16,3
"E00021344",534,518,9,7
"E00021345",348,335,9,4
"E00021346",341,324,7,10
"E00021347",408,397,5,6
"E00021349",399,385,12,2
"E00021350",354,344,4,6
"E00021351",381,373,6,2
"E00021352",284,275,8,1
"E00021353",308,288,8,12
"E00021354",463,448,12,3
"E00021355",300,261,28,11
"E00021357",412,399,6,7
"E00021359",369,353,10,6
"E00021360",450,437,6,7
"E00021361",371,348,15,8
"E00021363",389,385,3,1
"E00021364",570,546,18,6
"E00021365",282,272,8,2
"E00021366",371,365,1,5
"E00021367",318,295,16,7
"E00021368",399,385,10,4
"E00021369",232,225,6,1
"E00021370",616,601,10,5
"E00021371",199,191,6,2
"E00021372",385,371,5,9
"E00021374",420,407,7,6
"E00021375",389,377,7,5
"E00021376",384,373,9,2
"E00021377",586,558,20,8
"E00021378",424,409,5,10
"E00021379",283,275,7,1
"E00021380",329,320,7,2
"E00021381",410,399,7,4
"E00021382",411,404,3,4
"E00021383",523,507,15,1
"E00021384",220,185,18,17
"E00021385",433,408,12,13
"E00021386",360,353,1,6
"E00021387",664,650,9,5
"E00021388",330,314,6,10
"E00021391",492,480,6,6
"E00021392",369,347,17,5
"E00021393",423,409,13,1
"E00021394",358,351,4,3
"E00021395",336,330,3,3
"E00021396",351,337,9,5
"E00021397",566,563,3,0
"E00021398",474,459,9,6
"E00021399",371,320,21,30
"E00021400",394,384,7,3
"E00021402",276,262,5,9
"E00021404",256,226,17,13
"E00021405",429,400,15,14
"E00021406",371,362,6,3
"E00021407",540,528,11,1
"E00021408",340,309,9,22
"E00021409",274,231,31,12
"E00021410",316,299,8,9
"E00021411",389,373,11,5
"E00021412",514,488,8,18
"E00021413",413,393,7,13
"E00021414",402,392,8,2
"E00021415",379,363,14,2
"E00021416",369,349,10,10
"E00021417",275,267,3,5
"E00021418",213,184,16,13
"E00021419",446,442,4,0
"E00021420",285,262,11,12
"E00021421",448,430,10,8
"E00021422",209,203,4,2
"E00021423",417,393,15,9
"E00021424",212,171,28,13
"E00021425",232,205,12,15
"E00021426",349,333,5,11
"E00021427",229,184,22,23
"E00021428",393,383,6,4
"E00021429",141,133,6,2
"E00021430",331,316,6,9
"E00021431",319,303,10,6
"E00021432",387,373,13,1
"E00021433",624,599,11,14
"E00021434",421,406,10,5
"E00021437",318,307,8,3
"E00021438",210,206,2,2
"E00021439",236,219,12,5
"E00021440",451,427,10,14
"E00021441",358,343,11,4
"E00021442",335,321,7,7
"E00021443",265,251,13,1
"E00021444",348,275,63,10
"E00021445",422,398,16,8
"E00021446",448,437,7,4
"E00021447",266,248,13,5
"E00021448",337,327,5,5
"E00021449",333,312,9,12
"E00021450",187,180,5,2
"E00021451",400,383,7,10
"E00021452",212,202,8,2
"E00021453",310,292,10,8
"E00021454",357,352,3,2
"E00021455",346,336,8,2
"E00021458",288,263,16,9
"E00021459",256,228,16,12
"E00021460",385,370,7,8
"E00021461",250,232,10,8
"E00021462",314,304,2,8
"E00021463",338,323,7,8
"E00021464",279,250,11,18
"E00021465",416,386,9,21
"E00021466",735,420,219,96
"E00021467",371,335,21,15
"E00021468",265,244,12,9
"E00021469",446,426,14,6
"E00021470",282,237,31,14
"E00021471",373,344,19,10
"E00021473",422,283,98,41
"E00021474",402,366,21,15
"E00021475",377,348,22,7
"E00021476",406,376,18,12
"E00021477",460,414,34,12
"E00021478",333,309,19,5
"E00021479",411,326,52,33
"E00021480",303,266,29,8
"E00021481",413,348,48,17
"E00021482",455,389,53,13
"E00021483",600,560,21,19
"E00021484",364,315,33,16
"E00021485",330,313,12,5
"E00021486",387,358,22,7
"E00021487",220,212,5,3
"E00021488",444,434,6,4
"E00021489",346,331,13,2
"E00021490",306,292,10,4
"E00021491",285,270,12,3
"E00021492",372,366,2,4
"E00021493",481,473,2,6
"E00021494",546,531,10,5
"E00021495",609,580,13,16
"E00021496",360,346,6,8
"E00021497",517,508,6,3
"E00021498",389,373,10,6
"E00021499",310,274,19,17
"E00021500",319,298,17,4
"E00021501",304,290,9,5
"E00021502",375,361,14,0
"E00021503",393,376,12,5
"E00021504",399,383,10,6
"E00021505",312,302,4,6
"E00021506",317,311,3,3
"E00021507",376,347,16,13
"E00021508",395,348,32,15
"E00021509",517,490,20,7
"E00021510",240,193,20,27
"E00021511",205,161,12,32
"E00021516",252,235,9,8
"E00021517",304,283,8,13
"E00021518",337,323,8,6
"E00021519",463,426,26,11
"E00021520",216,201,5,10
"E00021521",259,251,6,2
"E00021522",468,454,10,4
"E00021524",590,549,24,17
"E00021525",308,271,14,23
"E00021526",342,299,13,30
"E00021527",317,274,18,25
"E00021528",259,248,7,4
"E00021529",192,183,4,5
"E00021531",597,568,13,16
"E00021532",318,273,27,18
"E00021533",242,207,14,21
"E00021534",225,194,10,21
"E00021535",286,247,31,8
"E00021536",282,251,13,18
"E00021537",339,291,21,27
"E00021538",684,583,62,39
"E00021539",252,215,21,16
"E00021541",229,184,22,23
"E00021542",218,172,13,33
"E00021543",270,228,27,15
"E00021544",180,156,16,8
"E00021546",196,165,20,11
"E00021547",278,260,4,14
"E00021549",386,370,3,13
"E00021550",403,385,15,3
"E00021552",241,230,5,6
"E00021553",349,347,1,1
"E00021554",259,231,11,17
"E00021555",447,438,4,5
"E00021556",285,251,16,18
"E00021557",340,294,23,23
"E00021559",338,318,14,6
"E00021560",431,422,4,5
"E00021561",278,226,45,7
"E00021562",372,342,23,7
"E00021563",402,385,15,2
"E00021564",313,293,7,13
"E00021565",207,203,2,2
"E00021566",446,334,96,16
"E00021567",351,318,27,6
"E00021569",302,273,26,3
"E00021572",433,363,43,27
"E00021574",267,252,11,4
"E00021577",291,284,2,5
"E00021579",362,350,7,5
"E00021580",423,400,14,9
"E00021582",401,390,8,3
"E00021583",434,407,19,8
"E00021584",302,297,4,1
"E00021585",590,557,28,5
"E00021586",455,436,9,10
"E00021587",396,383,10,3
"E00021588",333,324,1,8
"E00021590",376,344,27,5
"E00021591",491,482,7,2
"E00021592",315,292,23,0
"E00021593",225,213,8,4
"E00021594",336,318,11,7
"E00021595",354,332,8,14
"E00021596",381,356,10,15
"E00021597",374,366,3,5
"E00021598",260,214,31,15
"E00021599",326,288,19,19
"E00021600",308,264,26,18
"E00021601",230,196,27,7
"E00021602",368,339,14,15
"E00021603",184,157,19,8
"E00021604",356,343,10,3
"E00021605",289,253,16,20
"E00021606",282,217,22,43
"E00021607",262,251,6,5
"E00021608",217,199,13,5
"E00021610",323,305,4,14
"E00021611",397,370,15,12
"E00021612",214,184,16,14
"E00021613",188,160,14,14
"E00021614",263,214,37,12
"E00021615",218,185,23,10
"E00021616",438,417,14,7
"E00021617",166,134,17,15
"E00021618",282,276,5,1
"E00021619",463,443,7,13
"E00021620",246,216,13,17
"E00021621",333,316,10,7
"E00021622",247,213,17,17
"E00021623",189,186,3,0
"E00021624",292,241,20,31
"E00021625",510,431,41,38
"E00021626",329,264,32,33
"E00021627",372,329,23,20
"E00021628",214,149,50,15
