"GeographyCode","KS205EW0001","KS205EW0002","KS205EW0003","KS205EW0004","KS205EW0005","KS205EW0006","KS205EW0007","KS205EW0008","KS205EW0009","KS205EW0010","KS205EW0011","KS205EW0012","KS205EW0013","KS205EW0014","KS205EW0015","KS205EW0016","KS205EW0017","KS205EW0018","KS205EW0019","KS205EW0020","KS205EW0021","KS205EW0022","KS205EW0023","KS205EW0024","KS205EW0025"
"E00021141",340,33,286,1,3,0,0,17,3,0,0,0,0,9.70588235294118,84.1176470588235,0.294117647058824,0.882352941176471,0,0,5,0.882352941176471,0,0,0,0
"E00021143",393,34,295,8,24,2,2,20,5,0,1,9,0,8.65139949109415,75.0636132315522,2.03562340966921,6.10687022900763,0.508905852417303,0.508905852417303,5.08905852417303,1.27226463104326,0,0.254452926208651,2.29007633587786,0
"E00021145",256,26,189,12,16,4,8,11,2,0,0,2,0,10.15625,73.828125,4.6875,6.25,1.5625,3.125,4.296875,0.78125,0,0,0.78125,0
"E00021146",462,10,317,11,63,6,6,29,17,2,0,19,0,2.16450216450216,68.6147186147186,2.38095238095238,13.6363636363636,1.2987012987013,1.2987012987013,6.27705627705628,3.67965367965368,0.432900432900433,0,4.11255411255411,0
"E00021147",210,31,140,6,16,8,4,9,0,0,0,3,0,14.7619047619048,66.6666666666667,2.85714285714286,7.61904761904762,3.80952380952381,1.9047619047619,4.28571428571429,0,0,0,1.42857142857143,0
"E00021148",279,36,192,7,32,2,2,5,6,0,1,6,0,12.9032258064516,68.8172043010753,2.5089605734767,11.4695340501792,0.716845878136201,0.716845878136201,1.7921146953405,2.1505376344086,0,0.3584229390681,2.1505376344086,0
"E00021149",353,57,249,3,13,1,6,18,4,0,3,7,0,16.1473087818697,70.5382436260623,0.84985835694051,3.68271954674221,0.28328611898017,1.69971671388102,5.09915014164306,1.13314447592068,0,0.84985835694051,1.98300283286119,0
"E00021150",298,19,222,10,22,1,7,19,3,0,0,1,0,6.3758389261745,74.496644295302,3.35570469798658,7.38255033557047,0.335570469798658,2.3489932885906,6.3758389261745,1.00671140939597,0,0,0.335570469798658,0
"E00021151",275,23,223,4,9,3,0,16,1,0,0,0,0,8.36363636363636,81.0909090909091,1.45454545454545,3.27272727272727,1.09090909090909,0,5.81818181818182,0.363636363636364,0,0,0,0
"E00021152",379,25,311,2,8,6,4,23,11,0,0,5,0,6.59630606860158,82.0580474934037,0.527704485488127,2.11081794195251,1.58311345646438,1.05540897097625,6.06860158311346,2.9023746701847,0,0,1.31926121372032,0
"E00021153",344,8,253,13,39,3,5,5,7,0,5,18,0,2.32558139534884,73.546511627907,3.77906976744186,11.3372093023256,0.872093023255814,1.45348837209302,1.45348837209302,2.03488372093023,0,1.45348837209302,5.23255813953488,0
"E00021154",401,27,330,1,15,6,2,16,2,0,1,6,0,6.73316708229426,82.2942643391521,0.249376558603491,3.74064837905237,1.49625935162095,0.498753117206983,3.99002493765586,0.498753117206983,0,0.249376558603491,1.49625935162095,0
"E00021155",359,2,238,10,73,5,4,15,9,0,2,15,0,0.557103064066852,66.2952646239554,2.78551532033426,20.3342618384401,1.39275766016713,1.1142061281337,4.17827298050139,2.50696378830084,0,0.557103064066852,4.17827298050139,0
"E00021156",237,26,161,3,16,4,4,18,5,0,2,2,0,10.9704641350211,67.9324894514768,1.26582278481013,6.75105485232067,1.68776371308017,1.68776371308017,7.59493670886076,2.10970464135021,0,0.843881856540084,0.843881856540084,0
"E00021157",331,24,278,0,7,5,2,14,3,0,0,4,0,7.25075528700906,83.987915407855,0,2.11480362537764,1.51057401812689,0.604229607250755,4.22960725075529,0.906344410876133,0,0,1.20845921450151,0
"E00021158",340,19,283,2,15,0,0,21,2,0,0,0,0,5.58823529411765,83.2352941176471,0.588235294117647,4.41176470588235,0,0,6.17647058823529,0.588235294117647,0,0,0,0
"E00021159",571,65,376,15,66,8,5,22,10,2,4,11,0,11.3835376532399,65.8493870402802,2.62697022767075,11.5586690017513,1.40105078809107,0.875656742556918,3.85288966725044,1.75131348511384,0.350262697022767,0.700525394045534,1.92644483362522,0
"E00021160",322,24,243,7,24,5,2,16,2,0,2,0,0,7.45341614906832,75.4658385093168,2.17391304347826,7.45341614906832,1.5527950310559,0.62111801242236,4.96894409937888,0.62111801242236,0,0.62111801242236,0,0
"E00021161",391,31,281,7,45,4,4,16,3,0,2,9,0,7.92838874680307,71.8670076726343,1.79028132992327,11.5089514066496,1.0230179028133,1.0230179028133,4.0920716112532,0.767263427109974,0,0.51150895140665,2.30179028132992,0
"E00021162",375,20,259,2,47,6,2,30,3,0,5,5,0,5.33333333333333,69.0666666666667,0.533333333333333,12.5333333333333,1.6,0.533333333333333,8,0.8,0,1.33333333333333,1.33333333333333,0
"E00021163",353,33,269,4,23,1,6,13,4,0,0,8,0,9.34844192634561,76.2039660056657,1.13314447592068,6.51558073654391,0.28328611898017,1.69971671388102,3.68271954674221,1.13314447592068,0,0,2.26628895184136,0
