"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00021689",162,111,56,54,1,42,22,18,2,4,3,1,0,5,2,3,0
"E00021690",218,112,37,69,6,71,40,19,12,16,9,3,4,19,13,6,0
"E00021691",139,52,20,25,7,48,18,12,18,11,9,2,0,28,21,6,1
"E00021692",156,69,21,45,3,62,36,18,8,13,8,5,0,12,8,4,0
"E00021693",199,110,36,56,18,67,34,17,16,12,4,5,3,10,5,4,1
"E00021694",162,70,24,35,11,61,16,14,31,12,8,1,3,19,11,7,1
"E00021695",154,86,13,66,7,51,18,20,13,8,4,2,2,9,4,4,1
"E00021696",186,88,26,54,8,71,27,22,22,19,4,6,9,8,4,3,1
"E00021697",143,48,14,25,9,67,30,14,23,16,8,8,0,12,7,5,0
"E00021698",159,33,5,25,3,68,17,28,23,19,11,7,1,39,28,10,1
"E00021699",172,49,9,31,9,79,38,13,28,12,7,4,1,32,22,7,3
"E00021700",222,95,21,66,8,79,35,22,22,23,8,9,6,25,11,13,1
"E00021701",184,87,19,57,11,59,20,17,22,13,8,4,1,25,6,18,1
"E00021702",124,33,5,13,15,45,7,10,28,19,9,7,3,27,14,12,1
"E00021703",123,41,5,26,10,52,21,15,16,9,3,5,1,21,6,12,3
"E00021704",157,69,8,45,16,52,14,11,27,13,7,5,1,23,19,3,1
"E00021705",175,71,20,38,13,73,23,20,30,12,2,8,2,19,8,10,1
"E00021706",111,37,7,25,5,38,9,6,23,17,8,5,4,19,8,8,3
"E00021707",143,61,14,38,9,65,18,15,32,11,5,5,1,6,4,2,0
"E00021708",130,36,8,23,5,43,14,19,10,22,6,11,5,29,18,10,1
"E00021709",111,29,6,16,7,54,17,15,22,8,1,7,0,20,11,8,1
"E00021710",116,28,3,15,10,42,13,11,18,20,10,8,2,26,15,11,0
"E00021711",200,126,30,79,17,56,17,20,19,10,6,0,4,8,6,1,1
"E00021712",150,67,17,49,1,38,12,22,4,21,16,4,1,24,17,5,2
"E00021713",98,39,11,13,15,40,7,11,22,12,5,6,1,7,4,1,2
"E00021714",100,25,11,10,4,57,36,11,10,11,7,3,1,7,3,3,1
"E00021715",135,68,19,31,18,46,14,12,20,14,10,3,1,7,2,3,2
"E00021716",165,16,3,7,6,33,18,11,4,41,32,9,0,75,48,26,1
"E00021717",109,37,9,21,7,45,24,6,15,14,8,6,0,13,5,6,2
"E00021718",155,71,19,43,9,66,28,18,20,7,5,1,1,11,3,6,2
"E00021719",56,28,6,14,8,19,4,5,10,5,3,0,2,4,0,3,1
"E00021722",158,51,12,30,9,86,43,19,24,17,11,6,0,4,2,2,0
"E00021723",110,43,6,28,9,53,24,7,22,7,5,0,2,7,3,4,0
"E00021724",120,38,10,27,1,58,19,18,21,15,6,7,2,9,5,4,0
"E00021725",116,31,5,24,2,38,9,17,12,17,7,10,0,30,22,8,0
"E00021726",108,31,3,12,16,50,14,7,29,10,8,2,0,17,13,3,1
"E00021727",111,46,19,8,19,37,16,4,17,10,7,2,1,18,9,8,1
"E00021728",114,39,9,20,10,40,18,8,14,10,3,7,0,25,15,10,0
"E00021729",72,19,1,15,3,32,12,10,10,6,3,2,1,15,9,5,1
"E00021730",163,48,14,21,13,76,29,16,31,18,9,8,1,21,11,8,2
"E00021731",156,61,19,26,16,67,21,14,32,8,4,4,0,20,8,12,0
"E00021732",98,34,5,24,5,43,9,12,22,6,1,5,0,15,6,9,0
"E00021733",250,104,50,42,12,117,79,20,18,13,5,5,3,16,8,7,1
"E00021734",208,72,19,26,27,74,19,13,42,15,4,5,6,47,27,15,5
"E00021735",138,52,7,21,24,54,13,16,25,16,6,7,3,16,2,8,6
"E00021736",135,34,4,14,16,57,6,8,43,13,4,8,1,31,12,14,5
"E00021737",104,52,7,32,13,38,11,13,14,4,1,1,2,10,7,3,0
"E00021738",112,28,10,13,5,60,28,5,27,10,4,3,3,14,5,6,3
"E00021739",126,88,15,67,6,26,11,8,7,9,5,4,0,3,1,1,1
"E00021740",168,56,20,18,18,81,29,26,26,11,6,4,1,20,14,6,0
"E00021741",124,89,29,60,0,34,16,16,2,0,0,0,0,1,0,1,0
"E00021742",211,107,24,64,19,91,31,26,34,3,0,3,0,10,4,6,0
"E00021743",141,64,23,36,5,51,22,13,16,9,3,4,2,17,9,8,0
"E00021744",244,150,47,93,10,73,31,26,16,14,10,4,0,7,2,4,1
"E00021745",98,31,10,9,12,28,9,6,13,14,9,3,2,25,17,7,1
"E00021746",143,98,46,49,3,38,20,13,5,5,1,4,0,2,1,1,0
"E00021748",200,109,38,53,18,50,19,15,16,17,8,5,4,24,9,11,4
"E00021750",119,37,1,19,17,55,5,6,44,8,1,4,3,19,8,9,2
"E00021752",138,49,9,30,10,44,13,5,26,23,10,7,6,22,11,9,2
"E00021753",115,28,10,7,11,49,20,4,25,19,14,5,0,19,14,3,2
"E00021754",87,25,1,16,8,21,6,5,10,10,5,4,1,31,22,9,0
"E00021755",125,55,8,42,5,40,12,9,19,15,8,3,4,15,7,8,0
"E00021756",102,33,7,24,2,48,19,12,17,9,4,4,1,12,8,4,0
"E00021757",96,25,7,9,9,47,22,4,21,8,2,3,3,16,7,8,1
"E00021758",134,56,17,29,10,53,28,10,15,10,4,5,1,15,10,3,2
"E00021759",110,36,9,13,14,46,10,7,29,7,3,3,1,21,9,11,1
"E00021760",115,36,20,5,11,57,13,12,32,12,6,4,2,10,2,7,1
"E00021761",102,46,15,23,8,48,18,16,14,3,1,2,0,5,5,0,0
"E00021762",105,40,4,27,9,43,14,11,18,6,2,1,3,16,9,5,2
"E00021763",133,51,8,20,23,37,6,8,23,16,7,9,0,29,19,9,1
"E00021764",109,44,6,32,6,49,11,13,25,8,0,4,4,8,0,6,2
"E00021766",107,36,4,24,8,43,12,11,20,11,4,3,4,17,2,7,8
"E00021767",126,46,18,24,4,51,26,11,14,15,11,1,3,14,10,4,0
"E00167078",120,75,28,45,2,32,11,9,12,4,2,1,1,9,5,3,1
"E00167079",116,74,24,47,3,34,13,13,8,8,5,2,1,0,0,0,0
"E00167080",145,68,14,19,35,52,13,9,30,16,7,8,1,9,7,2,0
"E00167081",120,56,12,32,12,43,14,17,12,11,7,3,1,10,5,4,1
"E00167082",138,86,24,52,10,42,12,21,9,9,5,4,0,1,0,1,0
"E00167083",122,61,20,36,5,40,5,7,28,15,6,6,3,6,2,3,1
"E00167084",113,68,16,38,14,43,17,11,15,0,0,0,0,2,1,1,0
"E00167085",126,50,18,24,8,52,25,9,18,13,5,8,0,11,7,3,1
"E00167086",140,63,13,40,10,62,18,19,25,8,5,3,0,7,5,1,1
"E00167087",144,93,30,59,4,44,14,19,11,6,3,1,2,1,0,1,0
"E00167088",112,67,22,43,2,43,24,13,6,1,0,1,0,1,0,0,1
"E00167089",92,42,6,34,2,20,10,8,2,7,5,1,1,23,18,5,0
