"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E00021141",117,58,28,30,39,5,17,1,1,8,7,0,0,0,0,0,4,1,0,3,0,13,7,3,3,20,5,10,0,1,4
"E00021143",138,37,16,21,64,2,35,6,6,18,5,0,0,0,0,0,7,4,1,2,0,20,4,11,5,37,3,5,1,3,25
"E00021145",104,41,6,35,41,4,16,5,6,4,1,0,0,0,0,0,15,6,4,2,3,6,1,0,5,22,0,1,0,0,21
"E00021146",143,47,3,44,32,1,11,6,3,1,1,0,0,0,0,0,18,16,1,0,1,2,1,0,1,64,0,1,16,0,47
"E00021147",83,24,5,19,45,4,20,4,4,9,3,0,0,0,0,0,7,2,1,2,2,14,11,1,2,14,1,0,0,0,13
"E00021148",119,42,12,30,49,2,22,8,2,8,4,0,0,0,0,0,8,8,0,0,0,17,5,4,8,28,1,3,1,0,23
"E00021149",126,39,8,31,70,2,31,5,6,18,2,0,0,0,0,0,16,6,2,6,2,21,5,12,4,17,2,3,2,0,10
"E00021150",116,28,8,20,59,5,22,7,3,8,4,0,0,0,0,0,12,6,3,3,0,20,8,4,8,29,4,3,2,0,20
"E00021151",113,51,16,35,47,2,23,4,4,10,5,0,0,0,0,0,3,2,1,0,0,19,10,4,5,15,0,5,0,1,9
"E00021152",138,51,11,40,63,4,37,6,7,18,6,0,0,0,0,0,7,5,1,1,0,15,6,5,4,24,2,7,0,0,15
"E00021153",149,41,4,37,53,5,15,9,0,4,2,0,0,0,0,0,31,27,3,0,1,2,0,0,2,55,3,0,4,0,48
"E00021154",121,32,4,28,65,1,34,2,6,25,1,0,0,0,0,0,10,5,3,1,1,20,4,5,11,24,4,8,1,0,11
"E00021155",172,57,2,55,57,0,15,7,2,6,0,1,1,0,0,0,36,35,0,1,0,5,0,2,3,58,1,1,2,0,54
"E00021156",133,78,24,54,39,1,23,11,4,8,0,0,0,0,0,0,7,6,0,1,0,8,3,3,2,16,2,1,0,0,13
"E00021157",106,26,3,23,61,1,31,2,5,22,2,0,0,0,0,0,7,2,2,3,0,22,8,5,9,19,2,4,0,0,13
"E00021158",107,31,11,20,60,2,34,4,8,20,2,0,0,0,0,0,2,2,0,0,0,22,9,8,5,16,1,8,0,0,7
"E00021159",246,96,37,59,87,8,34,11,9,8,6,2,2,0,0,0,15,9,2,4,0,28,8,5,15,63,4,9,4,1,45
"E00021160",112,32,9,23,51,3,28,4,3,20,1,0,0,0,0,0,9,8,0,0,1,11,2,4,5,29,2,5,3,1,18
"E00021161",154,40,6,34,75,2,40,12,6,14,8,0,0,0,0,0,11,7,1,3,0,22,10,4,8,39,0,3,2,0,34
"E00021162",121,37,12,25,44,3,27,2,5,17,3,1,1,0,0,0,7,5,2,0,0,6,3,0,3,40,4,3,2,0,31
"E00021163",119,44,16,28,46,1,29,7,3,14,5,0,0,0,0,0,6,4,0,1,1,10,3,3,4,29,4,1,2,0,22
"E00021164",128,58,21,37,47,2,26,4,11,10,1,0,0,0,0,0,7,5,0,1,1,12,5,2,5,23,3,6,0,1,13
"E00021165",122,40,9,31,50,1,27,1,6,15,5,0,0,0,0,0,5,5,0,0,0,17,7,5,5,32,5,3,1,0,23
"E00021166",126,30,13,17,52,0,21,2,2,15,2,0,0,0,0,0,9,8,0,1,0,22,5,7,10,44,3,5,2,0,34
"E00021167",128,48,9,39,50,3,18,5,3,8,2,1,1,0,0,0,16,13,0,3,0,12,1,7,4,30,3,4,1,0,22
"E00021168",169,44,2,42,51,0,8,5,0,2,1,0,0,0,0,0,39,36,2,1,0,4,0,2,2,74,0,0,7,0,67
"E00021169",189,55,3,52,95,1,45,14,10,19,2,1,1,0,0,0,33,31,1,1,0,15,5,3,7,39,4,4,1,1,29
"E00021170",162,43,7,36,89,3,46,6,6,31,3,0,0,0,0,0,11,5,3,0,3,29,11,9,9,30,4,5,2,0,19
"E00021171",241,75,5,70,99,3,54,12,6,32,4,0,0,0,0,0,18,15,0,3,0,24,7,7,10,67,7,10,7,0,43
"E00021172",125,57,6,51,38,0,17,3,6,5,3,1,1,0,0,0,8,4,2,1,1,12,5,2,5,30,4,3,3,2,18
"E00021173",146,52,14,38,57,1,27,3,8,15,1,0,0,0,0,0,14,10,2,1,1,15,7,4,4,37,2,5,3,0,27
"E00021174",128,48,2,46,62,0,26,22,4,0,0,0,0,0,0,0,34,32,1,1,0,2,2,0,0,18,0,0,0,0,18
"E00021175",127,46,10,36,41,0,23,8,2,8,5,0,0,0,0,0,7,4,1,2,0,11,3,2,6,40,2,1,1,0,36
"E00021176",151,65,10,55,69,4,28,12,5,9,2,0,0,0,0,0,12,11,1,0,0,25,13,2,10,17,1,1,0,1,14
"E00021177",134,37,12,25,64,2,29,5,2,18,4,0,0,0,0,0,6,4,0,2,0,27,9,10,8,33,2,9,0,1,21
"E00021179",140,47,4,43,45,0,20,12,2,4,2,1,1,0,0,0,17,17,0,0,0,7,1,4,2,48,4,3,9,0,32
"E00021180",168,54,6,48,71,1,32,2,10,17,3,1,1,0,0,0,10,8,0,2,0,27,10,10,7,43,4,4,10,0,25
"E00021181",107,44,5,39,36,0,15,4,4,6,1,1,1,0,0,0,12,12,0,0,0,8,3,1,4,27,0,0,1,1,25
"E00021182",169,63,1,62,52,0,18,9,7,2,0,0,0,0,0,0,29,26,1,2,0,5,4,0,1,54,4,1,3,0,46
"E00021183",135,60,1,59,43,0,21,18,3,0,0,1,1,0,0,0,20,20,0,0,0,1,1,0,0,32,0,2,2,0,28
"E00021184",69,26,1,25,27,0,16,5,2,8,1,0,0,0,0,0,9,8,1,0,0,2,1,1,0,16,1,0,2,0,13
"E00021185",131,52,11,41,58,0,26,10,4,10,2,0,0,0,0,0,13,10,0,3,0,19,5,6,8,21,1,4,2,0,14
"E00021186",156,57,14,43,69,6,38,3,10,22,3,0,0,0,0,0,8,7,1,0,0,17,3,7,7,30,3,4,0,0,23
"E00021187",97,17,5,12,62,2,37,3,5,28,1,0,0,0,0,0,3,2,0,1,0,20,10,4,6,18,3,2,2,0,11
"E00021188",120,57,27,30,36,2,12,6,1,3,2,0,0,0,0,0,6,2,3,1,0,16,3,6,7,27,3,4,10,0,10
"E00021189",122,30,12,18,55,0,30,5,5,12,8,0,0,0,0,0,6,4,0,2,0,19,4,8,7,37,4,7,4,2,20
"E00021190",161,44,10,34,48,0,28,7,5,14,2,0,0,0,0,0,11,8,2,0,1,9,0,3,6,69,1,7,6,1,54
"E00021191",124,25,0,25,61,2,40,8,9,19,4,2,2,0,0,0,12,12,0,0,0,5,3,1,1,38,4,9,2,1,22
"E00021192",113,36,16,20,52,3,27,3,7,16,1,0,0,0,0,0,4,3,0,1,0,18,5,8,5,25,5,4,5,0,11
"E00021193",182,79,1,78,42,0,21,17,2,1,1,2,2,0,0,0,19,19,0,0,0,0,0,0,0,61,1,2,8,0,50
"E00021194",176,40,2,38,88,0,56,8,11,33,4,0,0,0,0,0,8,6,0,2,0,24,11,9,4,48,3,9,7,1,28
