"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E01004197",2329,1399,0,4,19,32,56,148,185,69,130,195,92
"E01004198",1529,935,2,2,20,26,43,136,119,58,61,89,38
"E01004199",1637,1017,2,2,9,30,63,166,140,52,50,73,33
"E01004200",1566,955,0,0,6,8,36,75,125,48,80,131,102
"E01004201",1556,1056,1,2,4,31,36,81,116,51,82,62,34
"E01004202",1705,990,0,0,13,23,52,136,100,85,104,122,80
"E01004203",1779,1139,0,1,12,23,31,81,107,64,90,161,70
"E01004204",1582,893,3,5,19,35,53,143,149,71,77,97,37
"E01004205",2106,1053,0,1,17,71,107,216,191,87,104,174,85
"E01004206",1492,758,1,4,10,48,78,158,118,55,74,128,60
"E01004207",1416,857,1,6,13,24,40,117,79,39,46,83,111
"E01004208",1976,1095,0,2,8,26,56,101,141,64,109,233,141
"E01004209",1366,758,0,2,10,22,51,157,117,57,59,83,50
"E01004211",1463,870,0,3,8,22,50,104,92,45,74,129,66
"E01004212",1780,826,0,0,12,27,39,119,149,70,92,187,259
"E01004214",1669,1067,0,3,12,16,53,120,146,71,68,85,28
"E01004215",2756,1399,1,0,8,18,50,123,226,164,264,301,202
"E01004216",1619,840,1,1,9,9,33,51,132,97,144,174,128
"E01004217",1745,1124,0,4,15,13,24,78,101,60,101,145,80
"E01004218",1750,1021,0,3,13,17,34,64,118,71,119,182,108
"E01004219",2294,1098,0,1,15,34,57,214,233,111,191,233,107
"E01004221",1881,1065,1,2,2,18,34,90,119,102,161,192,95
"E01004222",2480,1785,2,6,45,38,49,121,162,76,87,76,33
"E01004223",2079,1481,2,4,30,40,31,99,155,67,62,74,34
"E01004224",2000,1345,2,0,36,20,35,114,133,67,101,97,50
"E01004225",2178,1521,0,0,7,12,29,72,107,68,132,151,79
"E01004226",1738,1144,2,3,17,26,34,86,124,71,89,93,49
"E01004228",1857,1418,0,4,24,26,38,49,75,46,70,75,32
"E01004229",1484,918,2,5,10,30,35,116,86,53,77,92,60
"E01004230",2101,1388,2,3,30,50,51,91,110,62,98,152,64
"E01004231",1793,1048,0,2,23,29,38,118,135,96,109,130,65
"E01004232",1665,1160,1,2,13,24,42,87,80,47,59,94,56
"E01004233",1821,1188,0,4,20,36,54,97,156,60,90,70,46
"E01004234",2218,1680,0,2,14,26,26,72,108,59,83,88,60
"E01004235",1372,766,0,1,14,23,54,137,141,61,69,77,29
"E01004236",1679,937,0,3,15,32,70,197,152,48,94,88,43
"E01004237",1158,677,0,0,14,21,33,68,94,71,75,65,40
"E01004238",2733,1399,0,5,16,35,106,234,238,155,178,236,131
"E01004239",1649,994,0,3,23,31,60,147,153,74,61,75,28
"E01004240",1815,1129,1,5,12,26,50,152,181,78,73,76,32
"E01004241",1621,912,0,5,13,23,58,166,152,88,86,88,30
"E01004242",2453,1371,0,1,14,33,60,216,235,143,117,173,90
"E01004243",1789,1080,0,0,9,28,53,142,183,72,79,108,35
"E01004244",1885,1127,3,4,41,32,41,143,161,98,78,85,72
"E01004245",1539,938,0,1,7,21,44,158,153,75,63,62,17
"E01004246",1977,1204,0,1,10,20,57,97,148,115,94,153,78
"E01004247",1934,1035,1,4,6,20,35,166,154,129,131,156,97
"E01004248",1344,880,0,1,23,29,37,109,114,48,52,32,19
"E01004249",2049,1186,0,4,9,27,61,178,191,120,107,114,52
"E01004250",2342,1537,0,3,18,23,55,174,187,97,112,90,46
