"GeographyCode","QS303EW0001","QS303EW0002","QS303EW0003","QS303EW0004"
"E00021141",340,62,41,237
"E00021143",393,38,31,324
"E00021145",256,25,27,204
"E00021146",462,6,18,438
"E00021147",210,15,19,176
"E00021148",279,30,22,227
"E00021149",353,37,25,291
"E00021150",298,27,32,239
"E00021151",275,32,35,208
"E00021152",379,37,38,304
"E00021153",344,10,13,321
"E00021154",401,38,30,333
"E00021155",359,6,20,333
"E00021156",237,22,20,195
"E00021157",331,23,24,284
"E00021158",340,31,25,284
"E00021159",571,59,49,463
"E00021160",322,30,23,269
"E00021161",391,32,21,338
"E00021162",375,37,29,309
"E00021163",353,65,44,244
"E00021164",279,33,20,226
"E00021165",338,27,32,279
"E00021166",387,32,26,329
"E00021167",305,14,24,267
"E00021168",374,4,12,358
"E00021169",467,20,19,428
"E00021170",466,37,30,399
"E00021171",660,44,45,571
"E00021172",281,24,32,225
"E00021173",372,26,27,319
"E00021174",228,4,8,216
"E00021175",300,23,18,259
"E00021176",298,30,31,237
"E00021177",425,36,34,355
"E00021179",327,18,17,292
"E00021180",444,29,31,384
"E00021181",230,16,14,200
"E00021182",343,13,11,319
"E00021183",231,2,8,221
"E00021184",169,4,9,156
"E00021185",304,25,18,261
"E00021186",440,46,49,345
"E00021187",307,17,22,268
"E00021188",302,51,38,213
"E00021189",397,38,41,318
"E00021190",476,28,40,408
"E00021191",396,23,14,359
"E00021192",329,29,22,278
"E00021193",323,4,7,312
"E00021194",563,53,35,475
"E00021195",392,29,26,337
"E00021196",381,28,33,320
"E00021197",519,31,24,464
"E00021198",313,22,25,266
"E00021199",182,24,16,142
"E00021200",322,30,35,257
"E00021201",321,26,22,273
"E00021202",285,25,16,244
"E00021203",246,26,32,188
"E00021204",401,43,30,328
"E00021205",336,41,28,267
"E00021206",239,24,20,195
"E00021207",258,24,12,222
"E00021208",299,33,19,247
"E00021209",246,20,20,206
"E00021210",289,21,18,250
"E00021211",372,16,33,323
"E00021212",270,26,21,223
"E00021213",415,36,31,348
"E00021214",511,31,23,457
"E00021215",454,9,24,421
"E00021216",326,60,26,240
"E00021217",524,38,25,461
"E00021218",491,15,21,455
"E00021219",250,31,24,195
"E00021220",348,5,21,322
"E00021223",388,8,16,364
"E00021224",409,26,31,352
"E00021225",292,25,30,237
"E00021227",269,18,15,236
"E00021228",359,45,30,284
"E00021229",309,29,23,257
"E00021230",248,25,13,210
"E00021231",210,34,24,152
"E00021235",368,31,36,301
"E00021236",324,8,15,301
"E00021238",398,4,9,385
"E00021239",286,1,6,279
"E00021240",304,9,14,281
"E00021241",274,7,6,261
"E00021243",398,16,22,360
"E00021244",254,49,40,165
"E00021245",246,32,31,183
"E00021246",517,38,37,442
"E00021247",402,34,23,345
"E00021248",380,21,16,343
"E00021249",329,39,35,255
"E00021251",292,28,25,239
"E00021252",267,7,9,251
"E00021253",304,33,28,243
"E00021254",237,7,3,227
"E00021255",221,2,3,216
"E00021256",242,3,5,234
"E00021257",242,9,12,221
"E00021258",360,41,34,285
"E00021259",399,32,34,333
"E00021260",320,37,34,249
"E00021261",278,26,24,228
"E00021262",305,28,30,247
"E00021263",401,17,28,356
"E00021266",281,11,25,245
"E00021267",329,27,33,269
"E00021268",253,19,20,214
"E00021271",392,63,31,298
"E00021272",221,24,22,175
"E00021273",286,56,34,196
"E00021274",549,52,54,443
"E00021275",259,31,24,204
"E00021277",249,31,31,187
"E00021278",199,21,22,156
"E00021279",444,49,42,353
"E00021280",287,23,26,238
"E00021281",531,31,36,464
"E00021282",407,32,23,352
"E00021285",123,7,7,109
"E00021286",230,8,9,213
"E00021287",278,1,5,272
"E00021288",239,4,7,228
"E00021289",330,23,19,288
"E00021290",342,34,30,278
"E00021291",374,3,8,363
"E00021292",312,29,32,251
"E00021294",578,29,55,494
"E00021295",379,16,23,340
"E00021296",341,11,14,316
"E00021297",418,30,36,352
"E00021298",417,23,13,381
"E00021299",438,24,34,380
"E00021300",492,12,20,460
"E00021301",522,50,34,438
"E00021302",463,36,30,397
"E00021303",349,28,26,295
"E00021304",361,28,17,316
"E00021305",255,12,14,229
"E00021306",264,16,17,231
"E00021307",470,26,25,419
"E00021308",448,21,30,397
"E00021309",189,0,9,180
"E00021310",259,20,28,211
"E00021311",335,23,25,287
"E00021312",316,19,20,277
"E00021313",484,31,23,430
"E00021314",370,26,22,322
"E00021315",138,38,38,62
"E00021316",322,28,22,272
"E00021317",328,12,12,304
"E00021318",303,31,24,248
"E00021319",330,20,28,282
"E00021320",322,31,21,270
"E00021321",302,27,31,244
"E00021322",315,33,15,267
"E00021323",374,34,39,301
"E00021324",380,43,28,309
"E00021325",413,25,30,358
"E00021326",433,23,29,381
"E00021327",397,40,21,336
"E00021328",434,23,22,389
"E00021329",398,43,37,318
"E00021330",334,25,25,284
"E00021331",200,8,19,173
"E00021332",491,49,32,410
"E00021333",351,39,26,286
"E00021334",377,36,49,292
"E00021335",564,47,44,473
"E00021336",300,18,27,255
"E00021337",339,31,17,291
"E00021338",452,31,34,387
"E00021339",331,29,26,276
"E00021340",383,26,26,331
"E00021342",342,13,27,302
"E00021344",534,43,46,445
"E00021345",348,11,31,306
"E00021346",341,24,33,284
"E00021347",408,21,21,366
