"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E00021158",340,218,200,196,0,4,0,0,0,0,0,0,0,2,16,13,10,2,1,0,0,6,1,3,0,2,0,1,3,1,2,18,2,2,0,1,1,13,0,12,1,0,0,1,98,0,0,0,0,0,0,0,94,93,1,0,0,0,4,0,4,0,6,2,0,2,0,0,4,3,1,0,0,0,0,0,0,0
"E00021159",571,431,337,324,2,6,5,0,0,0,0,0,0,15,79,68,53,4,11,16,5,8,9,15,2,1,3,9,11,7,4,15,5,3,0,1,2,7,0,2,4,0,1,0,95,5,1,4,7,1,4,2,76,71,3,0,1,1,7,2,5,0,18,5,4,1,2,7,4,1,3,12,0,12,12,0,0,0
"E00021160",322,230,202,196,1,4,1,0,0,0,0,0,0,5,23,19,17,4,0,4,2,2,5,2,0,1,0,1,4,2,2,10,3,3,0,1,2,4,0,3,0,0,1,0,72,2,0,2,5,5,0,0,62,62,0,0,0,0,3,0,3,0,10,3,3,0,0,6,1,0,1,0,0,0,0,0,0,0
"E00021161",391,331,268,259,1,8,0,0,0,0,1,0,0,8,54,45,25,1,5,2,2,12,3,20,0,11,0,9,9,1,8,8,4,2,1,1,0,2,0,0,2,0,0,0,36,2,0,2,3,0,0,3,31,28,3,0,0,0,0,0,0,0,9,2,1,1,0,7,0,0,0,7,0,7,3,4,0,0
"E00021162",375,246,197,192,1,3,0,0,1,0,0,0,0,2,47,42,34,6,3,9,1,5,10,8,5,2,0,1,5,2,3,19,3,2,0,2,0,13,0,5,3,0,5,1,90,3,2,1,6,0,1,5,76,71,5,0,0,0,5,0,5,0,14,3,2,1,0,7,4,1,3,6,0,6,5,1,0,0
"E00021163",353,223,193,187,0,4,2,0,0,0,0,0,0,3,27,20,15,4,1,2,0,4,4,5,0,2,1,2,7,2,5,31,0,8,4,1,3,21,0,19,0,0,2,2,86,7,4,3,3,0,3,0,76,76,0,0,0,0,0,0,0,0,6,1,1,0,0,0,5,0,5,7,0,7,5,2,0,0
"E00021164",279,166,136,131,1,2,2,0,0,0,0,0,0,8,22,16,12,1,3,2,0,5,1,4,2,1,0,1,6,0,6,26,3,13,3,9,1,10,0,9,0,0,1,0,61,5,5,0,2,2,0,0,49,46,0,0,0,3,5,4,1,0,24,0,0,0,0,21,3,2,1,2,0,2,2,0,0,0
"E00021165",338,228,190,186,0,3,1,0,0,0,0,3,0,2,33,31,23,3,0,8,1,2,9,8,0,7,0,1,2,2,0,10,3,0,0,0,0,7,0,6,0,1,0,0,86,1,0,1,3,0,2,1,76,76,0,0,0,0,6,0,6,0,9,4,2,2,0,3,2,0,2,5,0,5,5,0,0,0
"E00021166",387,297,232,226,2,2,2,0,0,0,0,0,0,6,59,54,42,6,4,15,2,9,6,12,1,3,0,8,5,0,5,8,1,2,0,2,0,5,1,2,0,0,2,0,69,0,0,0,14,7,0,7,53,52,1,0,0,0,2,0,2,0,8,2,1,1,1,0,5,2,3,5,0,5,5,0,0,0
"E00021167",305,225,199,195,2,2,0,0,0,0,0,0,0,3,23,20,16,3,0,3,1,7,2,4,1,1,0,2,3,1,2,6,2,2,0,0,2,2,0,0,1,0,1,0,50,4,2,2,5,5,0,0,39,35,0,4,0,0,2,0,2,0,14,3,1,2,2,8,1,0,1,10,0,10,7,3,0,0
