"GeographyCode","QS116EW0001","QS116EW0002","QS116EW0003","QS116EW0004","QS116EW0005","QS116EW0006","QS116EW0007","QS116EW0008","QS116EW0009","QS116EW0010","QS116EW0011","QS116EW0012"
"E02000864",3468,1210,410,409,0,14,87,264,448,192,46,388
"E02000865",2763,984,444,250,0,6,70,190,265,119,30,405
"E02000866",3829,1192,491,488,1,20,114,421,320,150,85,547
"E02000867",4307,1443,439,466,0,28,65,608,401,137,107,613
"E02000868",2618,850,331,236,0,13,46,355,156,105,52,474
"E02000869",2485,944,287,258,0,18,53,253,192,111,27,342
"E02000870",2560,843,371,233,1,11,55,256,261,118,41,370
"E02000871",3107,972,670,337,1,13,70,204,386,136,63,255
"E02000872",3088,1049,383,248,1,15,52,317,232,124,53,614
"E02000873",2792,891,499,266,0,12,50,236,224,123,181,310
"E02000874",2494,869,519,241,0,4,33,165,236,107,58,262
"E02000875",3437,1079,719,323,0,5,73,221,382,199,76,360
"E02000876",2750,1018,436,267,0,13,31,280,171,69,73,392
"E02000877",3252,878,762,297,3,12,75,200,366,171,108,380
"E02000878",3900,1467,546,383,0,26,35,408,163,120,93,659
"E02000879",2855,1030,505,317,0,18,47,209,205,129,93,302
"E02000880",2090,722,408,200,0,4,35,150,143,93,60,275
"E02000881",2379,723,526,257,0,5,72,143,357,129,18,149
"E02000882",2884,886,740,313,1,4,72,199,290,146,24,209
"E02000883",2880,924,572,318,0,6,72,134,430,186,31,207
"E02000884",3707,1273,459,352,0,19,34,445,164,96,107,758
"E02000885",2509,858,496,274,0,11,39,163,260,149,32,227
"E02000886",3185,1142,464,430,0,19,59,350,197,100,27,397
"E02000887",3165,948,609,355,0,4,100,202,476,150,22,299
"E02000888",3306,1140,608,405,2,17,56,372,232,78,60,336
"E02000889",2879,1112,421,335,0,14,54,262,128,94,37,422
"E02000890",3093,1419,259,471,1,25,46,435,74,54,15,294
"E02000891",5742,2030,682,809,0,29,101,665,442,146,86,752
"E02000893",2912,1005,446,444,1,14,69,225,279,112,44,273
"E02000894",4510,1546,567,784,0,22,102,516,270,118,67,518
"E02006853",3320,1363,386,435,0,19,66,330,288,80,38,315
"E02006854",2991,1237,310,515,0,21,28,361,140,29,48,302
