"GeographyCode","QS409EW0001","QS409EW0002","QS409EW0003","QS409EW0004","QS409EW0005"
"E02000864",3468,1877,1325,199,67
"E02000865",2763,1451,1023,223,66
"E02000866",3829,2145,1456,159,69
"E02000867",4307,2133,1821,210,143
"E02000868",2618,1270,1128,170,50
"E02000869",2485,1432,861,133,59
"E02000870",2560,1316,997,183,64
"E02000871",3107,1398,1242,343,124
"E02000872",3088,1528,1231,241,88
"E02000873",2792,1302,1101,266,123
"E02000874",2494,1066,1023,273,132
"E02000875",3437,1563,1377,353,144
"E02000876",2750,1318,1087,235,110
"E02000877",3252,1359,1320,427,146
"E02000878",3900,1965,1511,296,128
"E02000879",2855,1486,990,264,115
"E02000880",2090,979,823,190,98
"E02000881",2379,1071,936,277,95
"E02000882",2884,1317,1094,360,113
"E02000883",2880,1398,1081,306,95
"E02000884",3707,1662,1674,226,145
"E02000885",2509,1200,945,268,96
"E02000886",3185,1762,1157,185,81
"E02000887",3165,1444,1313,296,112
"E02000888",3306,1640,1245,304,117
"E02000889",2879,1612,1033,170,64
"E02000890",3093,1995,991,68,39
"E02000891",5742,3010,2312,262,158
"E02000893",2912,1631,1098,134,49
"E02000894",4510,2518,1761,165,66
"E02006853",3320,1676,1355,178,111
"E02006854",2991,1722,1124,113,32
