"GeographyCode","KS611EW0001","KS611EW0002","KS611EW0003","KS611EW0004","KS611EW0005","KS611EW0006","KS611EW0007","KS611EW0008","KS611EW0009","KS611EW0010","KS611EW0011","KS611EW0012","KS611EW0013","KS611EW0014","KS611EW0015","KS611EW0016","KS611EW0017","KS611EW0018","KS611EW0019","KS611EW0020","KS611EW0021","KS611EW0022","KS611EW0023","KS611EW0024","KS611EW0025","KS611EW0026","KS611EW0027","KS611EW0028","KS611EW0029","KS611EW0030","KS611EW0031"
"E00021141",241,6,2,4,27,21,9,15,29,27,70,59,11,37,37,0,2.4896265560166,0.829875518672199,1.6597510373444,11.2033195020747,8.71369294605809,3.7344398340249,6.22406639004149,12.0331950207469,11.2033195020747,29.045643153527,24.4813278008299,4.5643153526971,15.3526970954357,15.3526970954357,0
"E00021143",261,25,3,22,46,26,17,12,35,19,50,38,12,31,31,0,9.57854406130268,1.14942528735632,8.42911877394636,17.6245210727969,9.96168582375479,6.51340996168582,4.59770114942529,13.4099616858238,7.27969348659004,19.1570881226054,14.5593869731801,4.59770114942529,11.8773946360153,11.8773946360153,0
"E00021145",217,28,4,24,64,24,14,14,18,16,23,18,5,16,16,0,12.9032258064516,1.84331797235023,11.0599078341014,29.4930875576037,11.0599078341014,6.45161290322581,6.45161290322581,8.29493087557604,7.37327188940092,10.5990783410138,8.29493087557604,2.30414746543779,7.37327188940092,7.37327188940092,0
"E00021146",448,49,8,41,87,17,12,8,14,11,11,7,4,239,239,0,10.9375,1.78571428571429,9.15178571428571,19.4196428571429,3.79464285714286,2.67857142857143,1.78571428571429,3.125,2.45535714285714,2.45535714285714,1.5625,0.892857142857143,53.3482142857143,53.3482142857143,0
"E00021147",164,26,3,23,36,25,8,8,19,16,14,11,3,12,12,0,15.8536585365854,1.82926829268293,14.0243902439024,21.9512195121951,15.2439024390244,4.8780487804878,4.8780487804878,11.5853658536585,9.75609756097561,8.53658536585366,6.70731707317073,1.82926829268293,7.31707317073171,7.31707317073171,0
"E00021148",222,27,4,23,46,29,13,20,26,24,20,13,7,17,17,0,12.1621621621622,1.8018018018018,10.3603603603604,20.7207207207207,13.0630630630631,5.85585585585586,9.00900900900901,11.7117117117117,10.8108108108108,9.00900900900901,5.85585585585586,3.15315315315315,7.65765765765766,7.65765765765766,0
"E00021149",229,11,1,10,46,22,12,18,26,28,41,39,2,25,25,0,4.80349344978166,0.436681222707424,4.36681222707424,20.0873362445415,9.60698689956332,5.24017467248908,7.86026200873363,11.353711790393,12.2270742358079,17.9039301310044,17.0305676855895,0.873362445414847,10.9170305676856,10.9170305676856,0
"E00021150",223,19,0,19,48,34,15,19,30,15,21,16,5,22,22,0,8.52017937219731,0,8.52017937219731,21.52466367713,15.2466367713004,6.72645739910314,8.52017937219731,13.4529147982063,6.72645739910314,9.41704035874439,7.17488789237668,2.24215246636771,9.86547085201794,9.86547085201794,0
"E00021151",194,7,1,6,29,15,12,12,26,16,50,44,6,27,27,0,3.60824742268041,0.515463917525773,3.09278350515464,14.9484536082474,7.7319587628866,6.18556701030928,6.18556701030928,13.4020618556701,8.24742268041237,25.7731958762887,22.680412371134,3.09278350515464,13.9175257731959,13.9175257731959,0
"E00021152",276,16,4,12,41,24,19,16,30,18,74,62,12,38,38,0,5.79710144927536,1.44927536231884,4.34782608695652,14.8550724637681,8.69565217391304,6.88405797101449,5.79710144927536,10.8695652173913,6.52173913043478,26.8115942028986,22.463768115942,4.34782608695652,13.768115942029,13.768115942029,0
"E00021153",322,58,9,49,118,23,23,12,26,15,12,10,2,35,35,0,18.0124223602484,2.79503105590062,15.2173913043478,36.6459627329193,7.14285714285714,7.14285714285714,3.72670807453416,8.07453416149068,4.6583850931677,3.72670807453416,3.1055900621118,0.62111801242236,10.8695652173913,10.8695652173913,0
