"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E01004305",1379,715,664,20,71,40,27,17,12,62,97,318
"E01004306",1486,967,519,23,76,28,18,18,9,24,62,261
"E01004307",2031,1367,664,22,185,63,22,12,11,26,27,296
"E01004308",1161,678,483,12,66,19,13,11,8,37,68,249
"E01004309",2320,1137,1183,46,204,69,42,32,17,80,115,578
"E01004310",1647,949,698,29,94,38,24,25,13,64,94,317
"E01004311",1138,651,487,19,62,37,19,7,7,50,101,185
"E01004312",1199,680,519,9,80,23,13,13,7,57,71,246
"E01004313",1504,933,571,17,81,42,20,9,13,54,76,259
"E01004314",883,670,213,13,39,15,6,10,1,19,42,68
"E01004315",1367,887,480,20,60,28,22,11,11,47,82,199
"E01004316",919,565,354,16,50,16,17,11,8,28,38,170
"E01004317",2338,1702,636,34,139,32,27,10,12,40,65,277
"E01004318",1096,666,430,18,57,35,20,8,10,61,59,162
"E01004319",1411,720,691,26,86,24,23,17,11,37,65,402
"E01004321",1445,784,661,18,87,24,22,22,9,40,63,376
"E01004322",997,502,495,13,80,32,26,15,7,32,51,239
"E01004323",1143,685,458,23,62,22,15,12,3,33,52,236
"E01004324",1137,600,537,12,64,18,15,12,9,42,63,302
"E01004325",2149,1564,585,25,125,49,16,16,15,27,32,280
"E01004326",1124,694,430,15,57,20,23,19,5,37,60,194
"E01032764",1112,830,282,24,39,11,17,7,9,28,42,105
"E01032765",1207,784,423,13,45,27,18,10,18,38,70,184
"E01032766",1131,799,332,15,74,24,7,7,2,18,25,160
"E01032767",1509,1220,289,17,86,20,9,9,1,7,16,124
"E01032768",1172,974,198,12,42,21,13,8,10,17,18,57
"E01032769",1042,792,250,11,40,18,10,11,9,12,34,105
"E01032770",1004,723,281,14,41,25,17,7,6,34,35,102
"E01032771",914,624,290,12,45,14,12,12,8,21,22,144
"E01032772",943,591,352,15,33,10,12,16,11,23,41,191
"E01032773",1291,932,359,10,67,27,22,13,10,20,13,177
"E01032774",999,651,348,14,47,18,16,16,8,41,43,145
"E01032775",981,788,193,12,46,21,17,7,4,16,12,58
"E01032776",973,763,210,7,41,18,11,9,5,21,7,91
"E01032777",941,691,250,14,43,13,14,8,4,13,29,112
"E01032778",965,721,244,20,50,21,11,13,8,20,14,87
"E01032779",892,698,194,17,27,18,11,7,3,27,15,69
"E01032780",1209,985,224,14,56,21,9,5,13,14,17,75
"E01032781",1362,1108,254,14,37,26,14,13,5,22,24,99
"E01032782",1265,817,448,17,61,21,25,9,7,23,43,242
"E01032783",1187,865,322,18,53,29,14,7,9,25,37,130
"E01032784",1241,896,345,21,55,30,16,10,6,31,44,132
"E01032785",1108,851,257,18,45,25,16,12,9,21,30,81
"E01032786",1118,704,414,12,67,24,20,16,11,46,68,150
"E01032787",1842,959,883,29,91,41,14,19,28,63,94,504
