"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E01004197",964,338,31,307,626,48,31,88,245,36,52,126
"E01004198",606,243,84,159,363,26,29,42,103,25,49,89
"E01004199",574,187,47,140,387,61,23,49,69,43,66,76
"E01004200",585,177,13,164,408,9,13,26,197,19,25,119
"E01004201",619,216,51,165,403,37,21,58,123,25,42,97
"E01004202",713,230,17,213,483,32,19,44,230,22,45,91
"E01004203",689,194,39,155,495,28,25,42,182,36,39,143
"E01004204",631,249,85,164,382,25,37,44,99,27,49,101
"E01004205",688,201,30,171,487,53,20,77,91,39,91,116
"E01004206",554,222,47,175,332,31,26,44,57,16,65,93
"E01004207",515,189,49,140,326,28,18,40,93,13,48,86
"E01004208",788,280,23,257,508,7,9,44,253,12,53,130
"E01004209",466,154,24,130,312,33,13,44,44,41,58,79
"E01004211",720,315,34,281,405,11,5,33,226,3,32,95
"E01004212",720,318,41,277,402,29,18,49,156,27,39,84
"E01004214",665,252,56,196,413,71,24,84,87,25,53,69
"E01004215",1168,408,62,346,760,88,40,83,286,38,68,157
"E01004216",737,235,52,183,502,31,23,92,232,14,24,86
"E01004217",779,303,77,226,476,42,38,88,151,20,30,107
"E01004218",731,215,40,175,516,33,31,95,206,13,32,106
"E01004219",851,258,24,234,593,60,14,82,207,47,79,104
"E01004221",802,250,22,228,552,35,21,75,269,18,40,94
"E01004222",1048,402,143,259,646,69,53,90,204,42,74,114
"E01004223",938,355,125,230,583,100,53,76,173,20,43,118
"E01004224",806,250,67,183,556,44,43,57,206,33,44,129
"E01004225",1147,436,23,413,711,42,25,72,459,9,12,92
"E01004226",676,203,44,159,473,66,27,64,139,34,41,102
"E01004228",769,246,56,190,523,37,37,85,179,17,28,140
"E01004229",551,163,41,122,388,37,23,50,114,24,44,96
"E01004230",803,230,78,152,573,59,41,78,157,39,40,159
"E01004231",629,172,56,116,457,78,32,62,90,45,49,101
"E01004232",603,159,26,133,444,20,30,51,145,18,26,154
"E01004233",751,306,102,204,445,41,44,55,125,45,52,83
"E01004234",903,251,47,204,652,48,46,103,242,21,26,166
"E01004235",513,172,38,134,341,54,17,65,76,38,48,43
"E01004236",497,116,35,81,381,36,18,51,63,38,94,81
"E01004237",506,200,38,162,306,41,17,51,108,15,25,49
"E01004238",1058,345,26,319,713,84,23,123,255,37,92,99
"E01004239",533,139,35,104,394,39,39,49,70,36,69,92
"E01004240",574,136,29,107,438,54,36,58,67,47,86,90
"E01004241",570,185,45,140,385,38,30,69,73,40,69,66
"E01004242",898,264,18,246,634,67,16,113,217,44,83,94
"E01004243",614,168,36,132,446,62,34,54,85,53,59,99
"E01004244",686,257,74,183,429,51,40,70,94,35,69,70
"E01004245",433,92,13,79,341,46,8,65,39,38,98,47
"E01004246",747,236,49,187,511,51,36,66,151,23,73,111
"E01004247",714,230,62,168,484,57,31,82,110,33,73,98
"E01004248",441,134,58,76,307,50,12,43,45,50,51,56
"E01004249",758,261,52,209,497,70,25,73,115,50,72,92
"E01004250",866,269,72,197,597,83,36,103,139,63,79,94
"E01004251",779,262,86,176,517,54,38,82,115,44,69,115
"E01004252",1107,389,48,341,718,78,31,117,260,55,68,109
"E01004253",829,244,77,167,585,100,45,98,109,37,82,114
"E01004254",1046,357,13,344,689,20,13,85,451,9,28,83
"E01004255",647,250,19,231,397,33,14,66,120,32,55,77
"E01004256",611,170,49,121,441,59,32,69,76,34,65,106
"E01004257",618,145,35,110,473,77,26,75,76,54,67,98
"E01004258",713,273,44,229,440,17,32,74,207,11,31,68
"E01004259",812,334,48,286,478,49,13,41,223,19,25,108
"E01004260",636,168,52,116,468,43,32,73,116,40,50,114
"E01004261",550,175,35,140,375,22,26,41,59,28,58,141
"E01004262",495,170,46,124,325,17,27,40,66,12,45,118
"E01004263",529,165,64,101,364,39,27,42,97,25,49,85
"E01004264",457,96,42,54,361,30,23,54,55,37,61,101
"E01004266",583,176,54,122,407,30,29,56,101,20,43,128
"E01004267",707,246,21,225,461,30,13,54,194,22,47,101
"E01004268",688,248,52,196,440,44,21,70,138,41,59,67
"E01004269",726,249,80,169,477,37,31,65,114,41,51,138
"E01004270",745,155,26,129,590,26,16,64,176,28,55,225
"E01004271",548,158,35,123,390,40,23,89,70,55,44,69
"E01004272",639,166,33,133,473,52,23,67,70,68,110,83
"E01004273",594,150,30,120,444,46,19,69,78,54,86,92
"E01004274",654,159,16,143,495,51,17,83,131,30,80,103
"E01004275",768,218,33,185,550,38,32,102,216,19,47,96
"E01004276",996,342,12,330,654,13,13,101,396,2,10,119
"E01004277",898,363,14,349,535,7,17,105,359,1,6,40
"E01004280",769,252,36,216,517,42,28,105,199,25,47,71
"E01004281",831,307,9,298,524,23,7,103,265,7,20,99
"E01004283",756,258,61,197,498,32,28,59,122,38,111,108
"E01004284",884,316,68,248,568,34,20,121,200,30,84,79
"E01004285",658,162,43,119,496,39,22,70,66,73,126,100
"E01004286",817,259,61,198,558,58,41,69,146,53,105,86
"E01004287",854,306,107,199,548,46,54,93,143,45,66,101
"E01004288",525,149,48,101,376,39,23,62,69,44,69,70
"E01004289",670,236,74,162,434,22,38,49,94,35,61,135
"E01004290",575,230,67,163,345,17,27,29,135,18,18,101
"E01004291",1051,533,55,478,518,25,34,52,320,12,13,62
"E01004292",818,309,24,285,509,12,24,71,242,6,23,131
"E01004293",1133,522,82,440,611,9,31,89,357,5,28,92
"E01004294",877,401,42,359,476,16,21,56,267,12,27,77
"E01004295",500,134,31,103,366,25,23,80,73,43,53,69
"E01004296",684,268,52,216,416,28,18,60,154,25,46,85
"E01004297",909,364,45,319,545,16,33,90,289,8,17,92
"E01004298",635,239,57,182,396,39,25,51,119,16,65,81
"E01004300",522,205,54,151,317,28,28,34,87,27,56,57
"E01004301",413,114,27,87,299,16,12,39,62,23,69,78
"E01004302",637,174,29,145,463,41,9,90,108,47,93,75
"E01004303",967,358,65,293,609,58,37,103,192,47,55,117
"E01004304",653,196,53,143,457,38,26,57,112,38,91,95
"E01004305",699,218,70,148,481,55,39,42,119,41,83,102
"E01004306",687,205,34,171,482,11,21,45,204,14,62,125
"E01004307",1014,471,19,452,543,14,18,49,338,8,20,96
"E01004308",504,148,31,117,356,13,21,36,86,25,53,122
"E01004309",902,323,48,275,579,30,26,59,187,33,95,149
"E01004310",793,320,60,260,473,10,22,36,205,17,72,111
"E01004311",644,244,63,181,400,30,36,60,123,26,33,92
"E01004312",628,236,75,161,392,28,40,42,105,28,53,96
"E01004313",812,247,55,192,565,65,31,54,189,47,48,131
"E01004314",493,165,61,104,328,15,25,46,147,12,13,70
"E01004315",718,281,64,217,437,16,30,33,178,12,43,125
"E01004316",455,159,10,149,296,34,12,35,83,13,29,90
"E01004317",1193,407,18,389,786,36,19,55,422,19,58,177
"E01004318",630,254,34,220,376,60,19,53,109,28,27,80
"E01004319",595,160,30,130,435,25,21,45,88,30,96,130
"E01004321",711,315,49,266,396,22,20,53,117,19,66,99
"E01004322",502,207,56,151,295,21,25,49,90,21,32,57
"E01004323",480,142,36,106,338,14,12,48,88,13,58,105
"E01004324",485,133,30,103,352,20,25,44,53,33,75,102
"E01004325",1033,284,17,267,749,29,16,52,378,18,49,207
"E01004326",623,240,51,189,383,26,23,54,146,20,37,77
"E01032764",643,243,36,207,400,37,15,42,218,4,18,66
"E01032765",645,215,27,188,430,52,18,36,188,12,40,84
"E01032766",601,222,7,215,379,22,4,31,220,14,23,65
"E01032767",767,292,4,288,475,6,3,25,276,3,11,151
"E01032768",696,276,7,269,420,12,8,60,283,5,8,44
"E01032769",593,218,11,207,375,23,13,51,210,16,12,50
"E01032770",572,212,43,169,360,25,16,48,194,10,15,52
"E01032771",546,239,5,234,307,20,6,29,184,21,22,25
"E01032772",544,281,26,255,263,8,13,23,119,10,38,52
"E01032773",852,407,3,404,445,61,2,55,272,21,15,19
"E01032774",583,211,13,198,372,61,8,58,160,11,33,41
"E01032775",600,245,6,239,355,15,10,60,231,4,6,29
"E01032776",631,317,2,315,314,14,6,43,213,4,8,26
"E01032777",514,178,7,171,336,29,2,46,172,12,30,45
"E01032778",564,205,5,200,359,34,2,56,207,2,6,52
"E01032779",565,220,2,218,345,47,4,53,204,11,2,24
"E01032780",647,194,2,192,453,5,13,71,277,3,5,79
"E01032781",771,271,11,260,500,12,11,65,327,8,19,58
"E01032782",776,364,9,355,412,45,3,38,224,28,38,36
"E01032783",661,275,42,233,386,22,15,53,185,5,20,86
"E01032784",692,214,44,170,478,43,14,37,275,9,32,68
"E01032785",616,181,17,164,435,33,7,60,248,14,16,57
"E01032786",674,269,60,209,405,44,28,62,128,44,27,72
"E01032787",793,208,48,160,585,32,21,92,96,54,126,164
