"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E02000864",752,226,100,426
"E02000865",658,189,56,413
"E02000866",991,255,91,645
"E02000867",1043,329,105,609
"E02000868",877,278,107,492
"E02000869",491,174,43,274
"E02000870",633,191,56,386
"E02000871",990,301,141,548
"E02000872",749,204,86,459
"E02000873",2617,563,245,1809
"E02000874",1186,221,149,816
"E02000875",1111,273,129,709
"E02000876",1062,280,123,659
"E02000877",1377,380,147,850
"E02000878",1631,381,161,1089
"E02000879",1153,302,122,729
"E02000880",831,245,70,516
"E02000881",674,152,100,422
"E02000882",867,204,113,550
"E02000883",750,214,101,435
"E02000884",1220,347,114,759
"E02000885",748,179,76,493
"E02000886",561,159,55,347
"E02000887",819,235,93,491
"E02000888",822,215,103,504
"E02000889",537,169,57,311
"E02000890",306,83,16,207
"E02000891",1183,251,98,834
"E02000893",586,155,69,362
"E02000894",899,266,74,559
"E02006853",625,130,58,437
"E02006854",520,103,43,374
