"GeographyCode","KS301EW0001","KS301EW0002","KS301EW0003","KS301EW0004","KS301EW0005","KS301EW0006","KS301EW0007","KS301EW0008","KS301EW0009","KS301EW0010","KS301EW0011","KS301EW0012","KS301EW0013","KS301EW0014","KS301EW0015","KS301EW0016","KS301EW0017","KS301EW0018","KS301EW0019","KS301EW0020","KS301EW0021","KS301EW0022","KS301EW0023","KS301EW0024","KS301EW0025","KS301EW0026","KS301EW0027","KS301EW0028","KS301EW0029","KS301EW0030","KS301EW0031"
"E01004197",2329,157,173,1999,103,139,1557,1169,772,254,97,37,2158,99,34,38,6.74109059682267,7.42808072133963,85.8308286818377,4.42249892657793,5.96822670674109,66.8527264920567,50.1932159725204,33.1472735079433,10.9059682267067,4.16487762988407,1.58866466294547,92.657793044225,4.25075139544869,1.45985401459854,1.63160154572778
"E01004198",1529,178,144,1207,94,89,886,682,481,213,118,35,1381,72,34,42,11.6415958142577,9.41792020928712,78.9404839764552,6.14780902550687,5.82079790712884,57.946370176586,44.6043165467626,31.458469587966,13.9306736429039,7.71746239372139,2.28907782864617,90.3204708960105,4.70896010464356,2.22367560497057,2.74689339437541
"E01004199",1637,150,141,1346,85,99,854,720,536,231,105,45,1484,74,40,39,9.16310323762981,8.61331704337202,82.2235797189982,5.19242516799023,6.04764813683567,52.1686010995724,43.9828955406231,32.7428222357972,14.1111789859499,6.41417226634087,2.74893097128894,90.6536346976176,4.52046426389737,2.44349419670128,2.38240684178375
"E01004200",1566,60,81,1425,43,72,1241,895,486,119,48,18,1503,35,14,14,3.83141762452107,5.17241379310345,90.9961685823755,2.74584929757344,4.59770114942529,79.2464878671775,57.1519795657727,31.0344827586207,7.59897828863346,3.06513409961686,1.14942528735632,95.9770114942529,2.23499361430396,0.893997445721584,0.893997445721584
"E01004201",1556,126,127,1303,79,90,960,743,539,177,79,18,1423,82,28,23,8.09768637532134,8.16195372750643,83.7403598971722,5.07712082262211,5.7840616966581,61.6966580976864,47.7506426735219,34.6401028277635,11.3753213367609,5.07712082262211,1.15681233933162,91.452442159383,5.26992287917738,1.79948586118252,1.47814910025707
"E01004202",1705,91,87,1527,62,72,1229,938,539,140,63,25,1591,70,18,26,5.33724340175953,5.10263929618768,89.5601173020528,3.63636363636364,4.22287390029325,72.0821114369501,55.0146627565982,31.6129032258064,8.21114369501466,3.6950146627566,1.46627565982405,93.3137829912023,4.10557184750733,1.05571847507331,1.52492668621701
"E01004203",1779,112,106,1561,54,71,1243,963,517,197,73,29,1661,53,20,45,6.29567172568859,5.9584035975267,87.7459246767847,3.035413153457,3.99100618324902,69.8707138842046,54.1315345699831,29.0612703766161,11.0736368746487,4.10342889263631,1.6301292861158,93.3670601461495,2.97920179876335,1.12422709387296,2.52951096121417
"E01004204",1582,194,151,1237,98,80,886,692,483,260,108,39,1448,62,30,42,12.2629582806574,9.5448798988622,78.1921618204804,6.19469026548673,5.05689001264223,56.0050568900126,43.7420986093552,30.5309734513274,16.4348925410872,6.826801517067,2.46523388116308,91.5297092288243,3.91908975979772,1.89633375474083,2.65486725663717
"E01004205",2106,190,166,1750,131,125,1224,913,738,268,134,53,1904,103,47,52,9.02184235517569,7.88224121557455,83.0959164292498,6.22032288698955,5.93542260208927,58.1196581196581,43.35232668566,35.042735042735,12.7255460588794,6.3627730294397,2.51661918328585,90.4083570750237,4.89078822412156,2.23171889838556,2.46913580246914
"E01004206",1492,173,138,1181,115,103,847,642,482,205,120,43,1354,77,24,37,11.5951742627346,9.24932975871314,79.1554959785523,7.70777479892761,6.90348525469169,56.769436997319,43.029490616622,32.3056300268097,13.7399463806971,8.04289544235925,2.88203753351206,90.7506702412869,5.16085790884719,1.60857908847185,2.4798927613941
"E01004207",1416,140,98,1178,90,68,890,678,463,159,84,32,1300,61,22,33,9.88700564971751,6.92090395480226,83.1920903954802,6.35593220338983,4.80225988700565,62.8531073446328,47.8813559322034,32.6977401129944,11.228813559322,5.93220338983051,2.25988700564972,91.8079096045198,4.30790960451977,1.55367231638418,2.33050847457627
"E01004208",1976,82,102,1792,68,76,1549,1055,666,176,60,19,1864,78,15,19,4.1497975708502,5.16194331983806,90.6882591093117,3.4412955465587,3.84615384615385,78.3906882591093,53.3906882591093,33.7044534412955,8.90688259109312,3.03643724696356,0.961538461538462,94.331983805668,3.94736842105263,0.759109311740891,0.961538461538462
"E01004209",1366,114,104,1148,67,78,760,653,437,176,74,26,1228,73,27,38,8.34553440702782,7.61346998535871,84.0409956076135,4.90483162518302,5.71010248901903,55.6368960468521,47.8038067349927,31.99121522694,12.8843338213763,5.41727672035139,1.90336749633968,89.8975109809663,5.34407027818448,1.97657393850659,2.78184480234261
"E01004211",1463,98,75,1290,60,55,1162,772,477,130,61,23,1379,53,10,21,6.69856459330144,5.12645249487355,88.174982911825,4.10116199589884,3.7593984962406,79.4258373205742,52.7682843472317,32.6042378673958,8.88585099111415,4.16951469583049,1.57211209842789,94.2583732057416,3.62269309637731,0.683526999316473,1.43540669856459
