"GeographyCode","KS209EW0001","KS209EW0002","KS209EW0003","KS209EW0004","KS209EW0005","KS209EW0006","KS209EW0007","KS209EW0008","KS209EW0009","KS209EW0010","KS209EW0011","KS209EW0012","KS209EW0013","KS209EW0014","KS209EW0015","KS209EW0016","KS209EW0017","KS209EW0018","KS209EW0019"
"E00021141",340,66,0,1,6,184,0,1,24,58,19.4117647058824,0,0.294117647058824,1.76470588235294,54.1176470588235,0,0.294117647058824,7.05882352941176,17.0588235294118
"E00021143",393,99,4,1,1,167,0,1,54,66,25.1908396946565,1.01781170483461,0.254452926208651,0.254452926208651,42.4936386768448,0,0.254452926208651,13.7404580152672,16.793893129771
"E00021145",256,90,27,20,1,9,4,1,60,44,35.15625,10.546875,7.8125,0.390625,3.515625,1.5625,0.390625,23.4375,17.1875
"E00021146",462,113,3,5,5,41,2,1,203,89,24.4588744588745,0.649350649350649,1.08225108225108,1.08225108225108,8.87445887445888,0.432900432900433,0.216450216450216,43.9393939393939,19.2640692640693
"E00021147",210,107,0,0,2,28,0,1,33,39,50.9523809523809,0,0,0.952380952380952,13.3333333333333,0,0.476190476190476,15.7142857142857,18.5714285714286
"E00021148",279,101,2,8,4,73,0,1,57,33,36.2007168458781,0.716845878136201,2.8673835125448,1.4336917562724,26.1648745519713,0,0.3584229390681,20.4301075268817,11.8279569892473
"E00021149",353,75,0,1,2,146,0,0,70,59,21.2464589235127,0,0.28328611898017,0.56657223796034,41.3597733711048,0,0,19.8300283286119,16.71388101983
"E00021150",298,106,1,0,3,84,4,0,52,48,35.5704697986577,0.335570469798658,0,1.00671140939597,28.1879194630872,1.34228187919463,0,17.4496644295302,16.1073825503356
"E00021151",275,60,2,0,0,136,7,1,32,37,21.8181818181818,0.727272727272727,0,0,49.4545454545455,2.54545454545455,0.363636363636364,11.6363636363636,13.4545454545455
"E00021152",379,86,0,0,0,198,1,2,39,53,22.6912928759894,0,0,0,52.2427440633245,0.263852242744063,0.527704485488127,10.2902374670185,13.9841688654354
"E00021153",344,91,0,1,1,21,0,2,168,60,26.453488372093,0,0.290697674418605,0.290697674418605,6.1046511627907,0,0.581395348837209,48.8372093023256,17.4418604651163
