"GeographyCode","QS412EW0001","QS412EW0002","QS412EW0003","QS412EW0004","QS412EW0005","QS412EW0006"
"E02000864",3468,295,912,1788,371,102
"E02000865",2763,263,621,1421,379,79
"E02000866",3829,630,1011,1709,373,106
"E02000867",4307,275,1151,2368,409,104
"E02000868",2618,208,606,1406,317,81
"E02000869",2485,212,626,1283,287,77
"E02000870",2560,265,599,1245,346,105
"E02000871",3107,185,642,1629,488,163
"E02000872",3088,193,658,1667,446,124
"E02000873",2792,264,694,1299,390,145
"E02000874",2494,166,449,1308,411,160
"E02000875",3437,221,664,1798,593,161
"E02000876",2750,180,483,1547,404,136
"E02000877",3252,318,690,1445,595,204
"E02000878",3900,261,857,2077,497,208
"E02000879",2855,294,625,1383,423,130
"E02000880",2090,130,441,1041,356,122
"E02000881",2379,225,512,1177,365,100
"E02000882",2884,167,717,1355,479,166
"E02000883",2880,319,694,1303,444,120
"E02000884",3707,182,782,2089,500,154
"E02000885",2509,172,526,1288,391,132
"E02000886",3185,271,992,1482,347,93
"E02000887",3165,306,688,1541,499,131
"E02000888",3306,206,905,1657,397,141
"E02000889",2879,239,790,1449,320,81
"E02000890",3093,258,1119,1497,184,35
"E02000891",5742,310,1703,2972,633,124
"E02000893",2912,313,880,1379,271,69
"E02000894",4510,435,1517,2070,410,78
"E02006853",3320,193,898,1809,348,72
"E02006854",2991,138,1048,1576,202,27
