"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E00021141",271,111,57,14,61,22,1,36,22,35,3,13,22,22
"E00021143",285,90,62,16,76,27,3,70,22,87,11,36,22,54
"E00021145",228,47,71,14,88,23,4,75,13,95,5,34,44,36
"E00021146",453,16,163,17,271,31,5,242,37,197,23,34,36,101
"E00021147",169,28,50,7,64,18,2,45,22,57,2,18,19,20
"E00021148",233,63,59,16,74,20,1,52,9,73,5,21,21,44
"E00021149",240,71,63,10,63,18,5,37,18,55,5,19,26,41
"E00021150",235,71,67,10,59,20,5,43,7,65,8,22,21,18
"E00021151",213,85,51,18,36,14,6,23,7,40,4,13,12,26
"E00021152",287,97,65,23,67,34,2,53,25,61,5,18,14,38
"E00021153",328,39,95,13,180,18,8,155,25,195,3,44,29,59
"E00021154",289,86,66,20,73,36,9,48,22,44,13,20,22,48
"E00021155",329,8,98,18,179,14,3,170,25,213,12,58,37,88
"E00021156",193,56,34,6,43,14,4,30,11,51,3,20,28,32
"E00021157",228,55,70,15,65,34,4,35,19,49,7,24,18,36
"E00021158",230,82,60,23,48,28,4,27,17,29,0,14,11,35
"E00021159",488,155,104,24,133,28,12,102,30,141,8,49,44,93
"E00021160",241,72,54,12,65,24,3,48,18,66,6,17,16,45
"E00021161",319,78,98,17,96,23,4,75,18,106,6,28,25,61
"E00021162",310,75,80,20,77,28,7,61,19,102,8,30,23,64
"E00021163",295,118,69,13,70,19,3,54,13,73,3,24,14,40
"E00021164",217,81,56,19,41,21,3,31,17,45,3,24,26,41
"E00021165",261,87,58,13,68,12,1,42,15,62,8,17,19,50
"E00021166",303,66,100,26,89,25,4,58,17,96,7,20,35,56
"E00021167",243,50,68,20,99,20,4,78,16,89,10,24,22,43
"E00021168",360,13,124,9,204,19,3,208,18,238,8,45,42,94
"E00021169",384,66,122,22,185,27,5,134,28,176,8,56,45,59
"E00021170",332,73,100,26,91,35,7,52,23,84,13,25,26,59
"E00021171",507,107,139,34,156,58,11,116,42,141,10,34,54,114
"E00021172",240,49,67,10,98,27,8,79,13,80,7,39,31,24
"E00021173",294,57,92,20,122,29,3,101,20,111,16,40,36,47
"E00021174",220,2,64,13,131,20,4,110,24,159,14,36,34,54
"E00021175",257,48,79,18,108,28,7,99,14,123,9,42,43,40
"E00021176",251,68,57,12,88,23,4,77,12,90,10,31,29,35
"E00021177",310,98,65,17,67,24,7,38,18,58,7,16,16,63
"E00021179",293,25,83,22,140,24,4,119,16,144,12,39,34,69
"E00021180",340,64,86,28,105,27,5,74,20,96,8,27,23,97
"E00021181",209,33,69,11,85,17,5,68,14,95,3,27,21,29
"E00021182",317,18,111,16,146,22,6,125,23,202,9,36,41,72
"E00021183",222,6,65,10,133,15,3,126,11,156,2,40,25,52
"E00021184",132,11,35,10,48,10,1,43,4,71,4,18,17,32
"E00021185",249,51,85,20,96,27,7,73,16,78,9,26,39,26
"E00021186",351,116,87,23,95,31,11,71,20,64,7,16,29,58
"E00021187",198,55,52,23,46,17,4,30,11,48,5,9,13,46
"E00021188",261,93,75,11,76,23,5,55,15,47,1,15,23,28
"E00021189",320,94,77,18,88,21,6,65,19,70,4,19,15,66
"E00021190",405,67,116,18,166,33,6,138,18,172,5,35,33,71
"E00021191",305,86,68,13,81,25,2,60,17,93,6,28,22,54
"E00021192",248,69,63,17,59,22,5,37,9,58,9,18,13,45
"E00021193",314,6,94,5,197,20,6,190,17,219,6,63,51,72
"E00021194",413,97,123,31,109,33,7,82,27,97,8,31,23,84
"E00021195",295,89,70,19,75,20,1,46,17,63,1,17,24,41
"E00021196",251,80,70,19,56,27,3,30,20,46,5,20,20,30
"E00021197",464,65,141,17,179,16,9,157,15,196,5,57,42,115
"E00021198",221,61,66,9,56,23,1,43,19,50,9,18,28,35
"E00021199",144,40,38,14,31,20,3,23,9,35,4,16,16,14
"E00021200",252,65,67,13,55,17,2,44,8,61,3,16,14,70
"E00021201",247,56,74,19,86,22,3,73,9,86,7,19,33,43
"E00021202",191,56,61,18,48,17,1,37,13,33,5,16,24,21
"E00021203",203,61,42,10,34,21,6,34,8,59,5,18,12,41
"E00021204",342,71,103,26,117,32,6,78,19,87,12,27,34,53
"E00021205",254,77,70,15,49,23,1,44,13,42,2,12,16,51
"E00021206",164,59,40,12,35,18,2,17,14,23,1,4,14,29
"E00021207",251,31,72,11,123,12,3,113,9,156,9,42,25,68
"E00021208",233,64,66,18,60,24,2,42,8,67,5,10,16,35
"E00021209",184,51,36,8,43,19,1,35,13,38,0,10,16,37
"E00021210",232,46,61,12,72,20,1,51,17,43,3,13,18,39
