"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E02000879",7634,5174,4507,4353,34,72,45,0,3,1,0,0,1,74,591,524,305,57,44,81,13,50,60,219,25,71,14,109,67,18,49,297,66,57,14,21,22,166,8,83,37,8,30,8,1845,46,5,41,90,47,18,25,1618,1503,53,43,12,7,79,23,56,12,239,59,42,17,2,105,73,27,46,79,0,79,53,26,0,0
"E02000880",5776,3703,3108,3005,14,51,36,0,2,0,2,1,0,59,533,454,340,58,48,90,22,50,72,114,18,49,6,41,79,19,60,251,63,46,8,10,28,142,16,58,24,3,41,0,1598,25,6,19,52,19,13,20,1409,1304,65,40,0,0,106,40,66,6,157,65,47,18,4,57,31,9,22,67,0,67,52,15,0,0
"E02000881",6909,4755,4208,4094,21,65,27,0,1,1,2,0,1,44,499,429,180,28,24,26,32,28,42,249,29,85,23,112,70,32,38,380,31,131,46,52,33,216,12,148,16,10,30,2,1595,20,6,14,88,44,29,15,1376,1277,51,32,3,13,104,21,83,7,159,26,12,14,0,59,74,23,51,20,0,20,13,7,0,0
"E02000882",8604,5761,5265,5139,22,67,34,2,1,0,1,0,1,59,435,387,227,48,38,47,22,45,27,160,20,76,7,57,48,6,42,309,41,71,12,23,36,195,11,97,28,12,47,2,2325,36,2,34,59,38,8,13,2121,2036,59,18,7,1,100,45,55,9,159,36,23,13,0,49,74,21,53,50,0,50,33,17,0,0
"E02000883",7950,5406,4779,4658,19,73,29,0,0,0,2,0,0,61,564,470,217,35,35,44,14,29,60,253,72,71,15,95,94,30,64,430,54,131,28,48,55,244,9,165,20,6,44,1,1874,33,5,28,121,83,26,12,1605,1473,70,33,4,25,97,7,90,18,198,26,21,5,4,68,100,34,66,42,0,42,30,12,0,0
"E02000884",9086,5828,4499,4264,43,128,57,3,4,5,0,1,3,106,1214,1080,842,248,115,163,49,91,176,238,32,89,19,98,134,25,109,366,81,61,13,30,18,223,13,86,49,24,51,1,2454,85,9,76,195,85,42,68,1994,1688,153,128,20,5,168,37,131,12,236,138,99,39,6,73,19,7,12,202,0,201,150,51,1,0
"E02000885",6895,4476,3842,3736,26,57,19,1,3,0,1,0,0,80,553,488,295,51,45,56,23,54,66,193,39,62,9,83,65,26,39,292,50,75,24,28,23,165,5,90,18,14,38,2,1927,25,6,19,85,39,16,30,1741,1625,67,39,3,7,62,15,47,14,150,30,17,13,3,61,56,22,34,50,0,48,32,16,2,0
"E02000886",7326,4984,3996,3811,36,105,43,1,0,0,4,0,0,91,893,743,468,108,81,78,29,61,111,275,30,91,24,130,150,46,104,336,47,99,33,36,30,190,9,58,59,4,60,0,1626,58,15,43,229,129,62,38,1168,1001,121,17,11,18,161,16,145,10,239,91,62,29,7,82,59,14,45,141,0,141,92,49,0,0
"E02000887",8660,5852,4989,4854,30,67,34,0,4,1,0,0,0,56,806,699,350,69,36,72,22,64,87,349,88,92,29,140,107,31,76,415,51,111,33,28,50,250,18,107,42,18,65,3,2105,28,8,20,181,111,33,37,1768,1634,82,33,11,8,108,17,91,20,243,45,28,17,4,96,98,32,66,45,0,45,29,16,0,0
"E02000888",8215,5395,4450,4257,35,88,66,0,4,0,1,0,0,93,851,704,437,85,83,94,19,59,97,267,36,84,27,120,147,47,100,347,42,86,18,37,31,216,14,88,51,10,53,3,2094,40,8,32,206,107,47,52,1727,1523,153,47,2,2,110,19,91,11,227,79,52,27,6,103,39,15,24,152,0,151,94,57,1,0
"E02000889",6616,4766,3794,3614,22,98,58,0,2,0,0,0,0,113,859,746,496,129,83,116,16,47,105,250,20,82,24,124,113,16,97,224,42,54,18,22,14,127,16,42,41,7,21,1,1296,43,8,35,136,56,28,52,1018,880,94,30,5,9,91,14,77,8,184,91,64,27,13,44,36,11,25,146,0,145,89,56,1,0
"E02000890",5795,4537,3470,3227,48,114,79,0,2,1,1,0,2,81,982,848,647,164,140,110,18,38,177,201,14,72,13,102,134,16,118,175,31,23,6,12,5,121,19,10,60,7,25,0,612,46,15,31,126,43,36,47,348,260,60,10,12,6,84,15,69,8,274,162,110,52,9,70,33,10,23,197,0,192,132,60,5,0
"E02000891",12678,7930,5955,5651,60,158,80,2,4,1,4,1,0,153,1816,1509,888,193,152,153,69,95,226,621,75,202,67,277,307,65,242,743,79,220,46,97,77,440,33,138,160,28,81,4,3268,173,65,108,854,575,138,141,1808,1033,636,82,36,21,395,58,337,38,504,209,148,61,25,190,80,21,59,233,0,227,143,84,6,0
"E02000893",6783,4945,4052,3894,29,75,49,2,3,1,0,0,1,61,830,707,320,52,67,63,4,52,82,387,87,111,26,163,123,26,97,289,26,76,18,29,29,186,12,23,89,19,43,1,1258,58,20,38,245,161,53,31,789,520,220,28,5,16,159,7,152,7,167,56,36,20,13,63,35,12,23,124,0,120,76,44,4,0
"E02000894",10137,6906,5173,4850,44,179,99,0,1,0,2,0,2,105,1624,1375,777,168,129,138,45,92,205,598,89,211,43,255,249,71,178,431,43,96,20,50,26,289,14,50,138,19,68,3,2164,88,27,61,593,408,96,89,1169,573,525,50,12,9,288,34,254,26,425,171,107,64,15,164,75,17,58,211,0,207,117,90,4,0
"E02006853",7064,4464,3376,3232,28,81,34,0,1,3,0,0,1,80,1004,746,453,103,85,50,24,58,133,293,25,73,28,167,258,67,191,394,73,111,17,36,58,209,13,66,74,10,46,1,1759,97,27,70,461,282,103,76,987,667,270,26,20,4,194,11,183,20,313,147,113,34,5,113,48,15,33,134,0,132,86,46,2,0
"E02006854",5883,3596,2497,2326,24,103,41,0,3,2,1,0,0,50,1046,796,570,94,119,111,17,46,183,226,17,70,18,121,250,61,189,306,43,70,4,34,32,192,6,47,90,13,36,1,1473,94,30,64,494,292,99,103,669,325,293,30,14,7,193,19,174,23,332,208,158,50,10,90,24,10,14,176,0,174,117,57,2,0
