"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01004207",1416,92,48,31,72,22,49,49,239,177,303,200,31,52,42,6,3,6.49717514124294,3.38983050847458,2.18926553672316,5.08474576271187,1.55367231638418,3.46045197740113,3.46045197740113,16.8785310734463,12.5,21.3983050847458,14.1242937853107,2.18926553672316,3.67231638418079,2.96610169491525,0.423728813559322,0.211864406779661
"E01004208",1976,92,41,18,69,10,40,91,390,419,523,197,33,28,20,3,2,4.65587044534413,2.0748987854251,0.910931174089069,3.4919028340081,0.506072874493927,2.02429149797571,4.60526315789474,19.7368421052632,21.2044534412955,26.4676113360324,9.96963562753036,1.67004048582996,1.417004048583,1.01214574898785,0.151821862348178,0.101214574898785
"E01004209",1366,126,78,55,102,20,35,31,161,184,317,159,18,46,29,2,3,9.22401171303075,5.71010248901903,4.02635431918009,7.46705710102489,1.46412884333821,2.56222547584187,2.26939970717423,11.7862371888726,13.4699853587116,23.2064421669107,11.6398243045388,1.31771595900439,3.36749633967789,2.12298682284041,0.146412884333821,0.219619326500732
"E01004211",1463,50,18,11,36,7,16,44,213,334,483,161,26,30,26,7,1,3.41763499658237,1.23034859876965,0.75187969924812,2.4606971975393,0.478468899521531,1.09364319890636,3.00751879699248,14.5591250854409,22.8298017771702,33.0143540669856,11.0047846889952,1.77717019822283,2.05058099794942,1.77717019822283,0.478468899521531,0.0683526999316473
"E01004212",1780,100,62,39,81,15,29,98,344,283,449,158,34,56,28,4,0,5.61797752808989,3.48314606741573,2.19101123595506,4.55056179775281,0.842696629213483,1.62921348314607,5.50561797752809,19.3258426966292,15.8988764044944,25.2247191011236,8.87640449438202,1.91011235955056,3.14606741573034,1.57303370786517,0.224719101123596,0
"E01004214",1669,177,91,48,122,23,53,55,134,155,391,261,45,69,39,4,2,10.6051527860995,5.45236668663871,2.87597363690833,7.309766327142,1.37807070101857,3.17555422408628,3.29538645895746,8.02875973636908,9.28699820251648,23.4272019173158,15.638106650689,2.69622528460156,4.13421210305572,2.33672857998802,0.239664469742361,0.11983223487118
"E01004215",2756,206,120,44,162,18,43,61,299,484,834,251,60,93,64,12,5,7.47460087082729,4.35413642960813,1.59651669085631,5.87808417997097,0.653120464441219,1.56023222060958,2.2133526850508,10.8490566037736,17.5616835994194,30.2612481857765,9.10740203193033,2.17706821480406,3.3744557329463,2.322206095791,0.435413642960813,0.181422351233672
"E01004216",1619,128,42,22,44,20,23,17,164,260,592,163,45,45,41,9,4,7.90611488573193,2.59419394688079,1.35886349598518,2.71772699197035,1.23533045089561,1.42063001852996,1.05003088326127,10.129709697344,16.059295861643,36.5657813465102,10.0679431747993,2.77949351451513,2.77949351451513,2.53242742433601,0.555898702903027,0.247066090179123
"E01004217",1745,145,60,32,69,10,22,29,157,212,503,261,73,90,69,12,1,8.30945558739255,3.43839541547278,1.83381088825215,3.9541547277937,0.573065902578797,1.26074498567335,1.66189111747851,8.99713467048711,12.1489971346705,28.8252148997135,14.9570200573066,4.18338108882522,5.15759312320917,3.9541547277937,0.687679083094556,0.0573065902578797
"E01004218",1750,118,70,25,64,12,23,36,180,256,570,238,52,69,25,5,7,6.74285714285714,4,1.42857142857143,3.65714285714286,0.685714285714286,1.31428571428571,2.05714285714286,10.2857142857143,14.6285714285714,32.5714285714286,13.6,2.97142857142857,3.94285714285714,1.42857142857143,0.285714285714286,0.4
"E01004219",2294,227,95,56,134,27,44,49,315,414,591,210,42,57,24,5,4,9.89537925021796,4.14123801220575,2.4411508282476,5.84132519616391,1.17698343504795,1.9180470793374,2.13600697471665,13.7314734088928,18.0470793374019,25.7628596338274,9.15431560592851,1.8308631211857,2.48474280732345,1.0462074978204,0.21795989537925,0.1743679163034
"E01004221",1881,125,63,45,69,18,34,35,176,326,659,203,50,54,17,3,4,6.64540138224349,3.34928229665072,2.39234449760766,3.66826156299841,0.956937799043062,1.80754917597023,1.86071238702818,9.35672514619883,17.331206804891,35.0345560871877,10.7921318447634,2.6581605528974,2.87081339712919,0.903774587985114,0.159489633173844,0.212652844231792
"E01004222",2480,208,87,64,162,27,78,61,218,256,560,377,105,142,99,25,11,8.38709677419355,3.50806451612903,2.58064516129032,6.53225806451613,1.08870967741935,3.14516129032258,2.45967741935484,8.79032258064516,10.3225806451613,22.5806451612903,15.2016129032258,4.23387096774194,5.7258064516129,3.99193548387097,1.00806451612903,0.443548387096774
"E01004223",2079,164,78,43,105,14,34,47,173,249,498,353,83,100,106,20,12,7.88840788840789,3.75180375180375,2.06830206830207,5.05050505050505,0.673400673400673,1.63540163540164,2.26070226070226,8.32130832130832,11.976911976912,23.953823953824,16.979316979317,3.99230399230399,4.81000481000481,5.0986050986051,0.962000962000962,0.577200577200577
"E01004224",2000,107,69,53,116,22,37,47,237,323,554,205,61,81,66,17,5,5.35,3.45,2.65,5.8,1.1,1.85,2.35,11.85,16.15,27.7,10.25,3.05,4.05,3.3,0.85,0.25
"E01004225",2178,123,35,13,37,4,5,24,311,577,761,195,28,35,25,4,1,5.64738292011019,1.60697887970615,0.596877869605142,1.69880624426079,0.183654729109275,0.229568411386593,1.10192837465565,14.2791551882461,26.4921946740129,34.9403122130395,8.95316804407713,1.28558310376492,1.60697887970615,1.14784205693297,0.183654729109275,0.0459136822773186
"E01004226",1738,160,96,50,92,20,32,43,211,218,453,204,40,63,48,6,2,9.20598388952819,5.52359033371692,2.87686996547756,5.29344073647871,1.15074798619102,1.84119677790564,2.4741081703107,12.1403912543153,12.5431530494822,26.0644418872267,11.7376294591484,2.30149597238205,3.62485615650173,2.76179516685846,0.345224395857307,0.115074798619102
"E01004228",1857,121,60,28,67,17,23,35,175,279,509,304,85,83,54,10,7,6.51588583737211,3.23101777059774,1.50780829294561,3.60796984383414,0.915455035002693,1.23855681206247,1.88476036618201,9.42380183091007,15.0242326332795,27.4098007539041,16.3704900376952,4.57727517501346,4.4695745826602,2.90791599353796,0.53850296176629,0.376952073236403
"E01004229",1484,112,58,36,70,17,32,32,201,219,352,218,36,61,30,7,3,7.54716981132075,3.90835579514825,2.42587601078167,4.71698113207547,1.1455525606469,2.15633423180593,2.15633423180593,13.544474393531,14.7574123989218,23.7196765498652,14.6900269541779,2.42587601078167,4.11051212938005,2.02156334231806,0.471698113207547,0.202156334231806
"E01004230",2101,144,67,56,111,20,29,51,244,346,524,267,53,86,71,21,11,6.85387910518801,3.18895763921942,2.66539742979534,5.28319847691575,0.951927653498334,1.38029509757258,2.42741551642075,11.6135173726797,16.4683484055212,24.9405045216564,12.7082341742028,2.52260828177059,4.09328891004284,3.37934316991909,0.999524036173251,0.523560209424084
"E01004231",1793,163,93,52,145,26,35,47,195,258,433,178,39,64,50,12,3,9.09090909090909,5.18683770217513,2.90016731734523,8.08700501952036,1.45008365867262,1.95203569436698,2.62130507529281,10.8756274400446,14.3892916899052,24.1494701617401,9.92749581706637,2.17512548800892,3.56943669827105,2.78862242052426,0.669269380925823,0.167317345231456
"E01004232",1665,81,46,23,56,12,20,44,319,299,395,235,46,61,23,4,1,4.86486486486486,2.76276276276276,1.38138138138138,3.36336336336336,0.720720720720721,1.2012012012012,2.64264264264264,19.1591591591592,17.957957957958,23.7237237237237,14.1141141141141,2.76276276276276,3.66366366366366,1.38138138138138,0.24024024024024,0.0600600600600601
"E01004233",1821,147,75,62,130,20,38,37,169,205,407,268,65,110,71,12,5,8.07248764415156,4.11861614497529,3.40472267984624,7.1389346512905,1.09829763866008,2.08676551345415,2.03185063152114,9.28061504667765,11.2575507962658,22.3503569467326,14.717188358045,3.56946732564525,6.04063701263042,3.89895661724327,0.658978583196046,0.274574409665019
"E01004234",2218,163,75,35,88,16,25,46,260,343,631,314,75,86,47,12,2,7.34896302975654,3.38142470694319,1.57799819657349,3.96753832281335,0.721370604147881,1.12714156898106,2.07394048692516,11.7222723174031,15.4643823264202,28.4490532010821,14.1568981064022,3.38142470694319,3.87736699729486,2.1190261496844,0.541027953110911,0.0901713255184851
"E01004235",1372,142,72,53,107,20,29,34,103,155,384,152,26,52,31,8,4,10.3498542274052,5.24781341107872,3.86297376093294,7.79883381924198,1.45772594752187,2.11370262390671,2.47813411078717,7.50728862973761,11.2973760932945,27.9883381924198,11.0787172011662,1.89504373177843,3.79008746355685,2.25947521865889,0.583090379008746,0.291545189504373
"E01004236",1679,150,96,51,148,32,67,71,172,162,374,224,28,49,43,9,3,8.93388921977368,5.71768910065515,3.03752233472305,8.81477069684336,1.90589636688505,3.99047051816557,4.22870756402621,10.2441929720071,9.64860035735557,22.275163787969,13.3412745681954,1.66765932102442,2.91840381179273,2.56104824300179,0.53603335318642,0.178677784395473
"E01004237",1158,110,50,30,54,15,22,28,134,159,321,132,24,36,34,7,2,9.49913644214162,4.31778929188256,2.59067357512953,4.66321243523316,1.29533678756477,1.89982728842832,2.41796200345423,11.5716753022453,13.7305699481865,27.720207253886,11.3989637305699,2.07253886010363,3.10880829015544,2.93609671848014,0.604490500863558,0.172711571675302
