"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E01004306",687,363,165,17,142,52.8384279475983,24.0174672489083,2.4745269286754,20.669577874818
"E01004307",1014,685,115,4,210,67.5542406311637,11.3412228796844,0.394477317554241,20.7100591715976
"E01004308",504,256,118,15,115,50.7936507936508,23.4126984126984,2.97619047619048,22.8174603174603
"E01004309",902,389,198,44,271,43.1263858093126,21.9512195121951,4.8780487804878,30.0443458980044
"E01004310",793,386,165,19,223,48.6759142496847,20.8070617906683,2.39596469104666,28.1210592686003
"E01004311",644,436,93,29,86,67.7018633540373,14.4409937888199,4.50310559006211,13.3540372670807
"E01004312",628,365,117,30,116,58.1210191082803,18.6305732484076,4.77707006369427,18.4713375796178
"E01004313",812,454,134,50,174,55.9113300492611,16.5024630541872,6.1576354679803,21.4285714285714
"E01004314",493,388,57,4,44,78.7018255578093,11.5618661257606,0.811359026369168,8.92494929006085
"E01004315",718,466,105,12,135,64.9025069637883,14.6239554317549,1.67130919220056,18.8022284122563
"E01004316",455,265,95,18,77,58.2417582417582,20.8791208791209,3.95604395604396,16.9230769230769
"E01004317",1193,812,183,19,179,68.0637049455155,15.3394803017603,1.59262363788768,15.0041911148365
"E01004318",630,411,75,25,119,65.2380952380952,11.9047619047619,3.96825396825397,18.8888888888889
"E01004319",595,195,163,40,197,32.7731092436975,27.3949579831933,6.72268907563025,33.109243697479
"E01004321",711,334,142,25,210,46.9760900140647,19.971870604782,3.51617440225035,29.535864978903
"E01004322",502,298,86,22,96,59.3625498007968,17.1314741035857,4.38247011952191,19.1235059760956
"E01004323",480,256,115,14,95,53.3333333333333,23.9583333333333,2.91666666666667,19.7916666666667
"E01004324",485,224,105,30,126,46.1855670103093,21.6494845360825,6.18556701030928,25.979381443299
"E01004325",1033,547,214,18,254,52.9525653436592,20.7163601161665,1.74249757986447,24.5885769603098
"E01004326",623,336,88,27,172,53.9325842696629,14.1252006420546,4.3338683788122,27.6083467094703
"E01032764",643,481,73,9,80,74.805598755832,11.353032659409,1.39968895800933,12.4416796267496
"E01032765",645,506,71,11,57,78.4496124031008,11.0077519379845,1.70542635658915,8.83720930232558
"E01032766",601,367,94,21,119,61.0648918469218,15.6405990016639,3.49417637271215,19.8003327787022
"E01032767",767,469,123,4,171,61.1473272490222,16.0365058670143,0.521512385919166,22.2946544980443
"E01032768",696,468,84,7,137,67.2413793103448,12.0689655172414,1.00574712643678,19.683908045977
"E01032769",593,398,84,14,97,67.1163575042159,14.1652613827993,2.36087689713322,16.3575042158516
"E01032770",572,371,70,12,119,64.8601398601399,12.2377622377622,2.0979020979021,20.8041958041958
"E01032771",546,334,62,12,138,61.1721611721612,11.3553113553114,2.1978021978022,25.2747252747253
"E01032772",544,312,61,3,168,57.3529411764706,11.2132352941176,0.551470588235294,30.8823529411765
"E01032773",852,500,78,19,255,58.6854460093897,9.15492957746479,2.23004694835681,29.9295774647887
"E01032774",583,374,65,23,121,64.1509433962264,11.1492281303602,3.9451114922813,20.7547169811321
"E01032775",600,373,62,12,153,62.1666666666667,10.3333333333333,2,25.5
"E01032776",631,366,57,3,205,58.0031695721078,9.03328050713154,0.475435816164818,32.4881141045959
"E01032777",514,319,73,15,107,62.0622568093385,14.2023346303502,2.91828793774319,20.8171206225681
"E01032778",564,337,73,6,148,59.7517730496454,12.9432624113475,1.06382978723404,26.241134751773
"E01032779",565,345,62,11,147,61.0619469026549,10.9734513274336,1.94690265486726,26.0176991150442
"E01032780",647,435,85,7,120,67.2333848531685,13.1375579598145,1.08191653786708,18.5471406491499
"E01032781",771,486,108,5,172,63.0350194552529,14.0077821011673,0.648508430609598,22.3086900129702
"E01032782",776,432,91,18,235,55.6701030927835,11.7268041237113,2.31958762886598,30.2835051546392
"E01032783",661,405,90,12,154,61.2708018154312,13.6157337367625,1.81543116490166,23.2980332829047
"E01032784",692,509,69,13,101,73.5549132947977,9.97109826589595,1.87861271676301,14.5953757225434
"E01032785",616,448,76,19,73,72.7272727272727,12.3376623376623,3.08441558441558,11.8506493506494
"E01032786",674,454,67,36,117,67.3590504451039,9.9406528189911,5.34124629080119,17.3590504451039
"E01032787",793,388,187,55,163,48.9281210592686,23.5813366960908,6.93568726355612,20.5548549810845
