"GeographyCode","QS301EW0001","QS301EW0002","QS301EW0003","QS301EW0004","QS301EW0005"
"E00021141",340,282,28,16,14
"E00021143",393,355,23,4,11
"E00021145",256,227,14,7,8
"E00021146",462,455,5,1,1
"E00021147",210,198,9,3,0
"E00021148",279,256,13,4,6
"E00021149",353,313,21,11,8
"E00021150",298,268,14,9,7
"E00021151",275,248,13,9,5
"E00021152",379,340,21,9,9
"E00021153",344,340,3,1,0
"E00021154",401,362,17,9,13
"E00021155",359,346,10,3,0
"E00021156",237,224,8,2,3
"E00021157",331,298,18,5,10
"E00021158",340,317,10,6,7
"E00021159",571,527,17,8,19
"E00021160",322,289,12,7,14
"E00021161",391,362,15,5,9
"E00021162",375,351,9,3,12
"E00021163",353,325,14,9,5
"E00021164",279,256,10,4,9
"E00021165",338,308,12,9,9
"E00021166",387,365,9,3,10
"E00021167",305,283,8,3,11
"E00021168",374,362,9,2,1
"E00021169",467,432,23,5,7
"E00021170",466,436,17,6,7
"E00021171",660,603,33,13,11
"E00021172",281,254,15,11,1
"E00021173",372,341,14,8,9
"E00021174",228,217,11,0,0
"E00021175",300,275,21,2,2
"E00021176",298,261,19,7,11
"E00021177",425,390,17,4,14
"E00021179",327,301,14,5,7
"E00021180",444,417,15,5,7
"E00021181",230,218,7,3,2
"E00021182",343,329,9,2,3
"E00021183",231,225,4,1,1
"E00021184",169,154,10,2,3
"E00021185",304,269,19,6,10
"E00021186",440,392,25,13,10
"E00021187",307,278,15,8,6
"E00021188",302,273,15,6,8
"E00021189",397,361,22,3,11
"E00021190",476,439,25,7,5
"E00021191",396,380,10,3,3
"E00021192",329,311,6,4,8
"E00021193",323,312,10,0,1
"E00021194",563,511,30,11,11
"E00021195",392,360,19,6,7
"E00021196",381,349,17,5,10
"E00021197",519,497,18,1,3
"E00021198",313,289,14,3,7
"E00021199",182,159,17,3,3
"E00021200",322,293,15,7,7
"E00021201",321,292,17,5,7
"E00021202",285,258,15,3,9
"E00021203",246,222,15,4,5
"E00021204",401,363,21,4,13
"E00021205",336,297,17,8,14
"E00021206",239,207,10,7,15
"E00021207",258,244,12,0,2
"E00021208",299,282,10,1,6
"E00021209",246,224,12,3,7
"E00021210",289,263,18,0,8
"E00021211",372,349,13,6,4
"E00021212",270,246,12,3,9
"E00021213",415,363,23,14,15
"E00021214",511,476,17,9,9
"E00021215",454,432,19,0,3
"E00021216",326,290,24,4,8
"E00021217",524,494,21,4,5
"E00021218",491,452,24,9,6
"E00021219",250,219,20,5,6
"E00021220",348,339,5,2,2
"E00021223",388,369,11,4,4
"E00021224",409,374,23,5,7
"E00021225",292,273,8,4,7
"E00021227",269,249,14,3,3
"E00021228",359,316,25,7,11
"E00021229",309,274,19,7,9
"E00021230",248,221,13,6,8
"E00021231",210,189,12,4,5
"E00021235",368,314,28,6,20
"E00021236",324,308,8,3,5
"E00021238",398,386,6,5,1
"E00021239",286,279,7,0,0
"E00021240",304,289,11,3,1
"E00021241",274,259,10,1,4
"E00021243",398,367,20,5,6
"E00021244",254,237,6,5,6
"E00021245",246,223,11,3,9
"E00021246",517,477,19,8,13
"E00021247",402,356,32,4,10
"E00021248",380,356,16,1,7
"E00021249",329,294,14,9,12
"E00021251",292,261,23,3,5
"E00021252",267,246,12,7,2
"E00021253",304,270,24,6,4
"E00021254",237,228,5,1,3
"E00021255",221,215,5,1,0
"E00021256",242,235,7,0,0
"E00021257",242,226,7,5,4
"E00021258",360,324,20,9,7
"E00021259",399,364,15,8,12
"E00021260",320,273,26,7,14
"E00021261",278,271,4,0,3
"E00021262",305,272,18,8,7
"E00021263",401,380,13,2,6
"E00021266",281,250,20,3,8
"E00021267",329,298,18,9,4
"E00021268",253,233,10,2,8
"E00021271",392,350,17,7,18
"E00021272",221,202,13,1,5
"E00021273",286,256,16,5,9
"E00021274",549,492,27,11,19
"E00021275",259,237,13,3,6
"E00021277",249,220,11,5,13
"E00021278",199,182,6,8,3
"E00021279",444,398,18,7,21
"E00021280",287,269,13,0,5
"E00021281",531,489,21,7,14
"E00021282",407,386,13,3,5
"E00021285",123,120,2,0,1
"E00021286",230,213,12,3,2
"E00021287",278,272,6,0,0
"E00021288",239,229,9,1,0
"E00021289",330,312,9,7,2
"E00021290",342,317,15,2,8
"E00021291",374,361,10,3,0
"E00021292",312,283,12,5,12
"E00021294",578,536,25,6,11
"E00021295",379,352,16,6,5
"E00021296",341,325,12,1,3
"E00021297",418,383,23,5,7
"E00021298",417,397,10,5,5
"E00021299",438,402,22,7,7
"E00021300",492,451,32,8,1
"E00021301",522,476,24,10,12
"E00021302",463,430,19,4,10
"E00021303",349,320,20,5,4
"E00021304",361,340,9,1,11
"E00021305",255,235,16,3,1
"E00021306",264,236,23,3,2
"E00021307",470,450,15,3,2
"E00021308",448,401,28,13,6
"E00021309",189,176,13,0,0
"E00021310",259,239,12,1,7
"E00021311",335,299,21,5,10
"E00021312",316,288,16,8,4
"E00021313",484,466,13,3,2
"E00021314",370,338,21,7,4
"E00021315",138,127,6,1,4
"E00021316",322,294,14,3,11
"E00021317",328,300,19,4,5
"E00021318",303,274,16,4,9
"E00021319",330,309,8,7,6
"E00021320",322,294,16,6,6
"E00021321",302,275,12,9,6
"E00021322",315,283,13,2,17
"E00021323",374,345,14,5,10
"E00021324",380,362,10,4,4
"E00021325",413,375,23,5,10
"E00021326",433,392,22,8,11
"E00021327",397,365,19,5,8
"E00021328",434,400,19,4,11
"E00021329",398,354,26,4,14
"E00021330",334,311,10,10,3
"E00021331",200,185,10,2,3
"E00021332",491,434,31,3,23
"E00021333",351,304,27,9,11
"E00021334",377,342,15,12,8
"E00021335",564,483,33,22,26
"E00021336",300,267,21,5,7
"E00021337",339,302,16,8,13
"E00021338",452,416,21,7,8
"E00021339",331,292,21,4,14
"E00021340",383,359,13,5,6
"E00021342",342,318,15,3,6
"E00021344",534,483,18,9,24
"E00021345",348,324,16,2,6
"E00021346",341,316,15,8,2
"E00021347",408,377,16,5,10
"E00021349",399,374,12,7,6
"E00021350",354,318,15,10,11
"E00021351",381,356,15,4,6
"E00021352",284,260,14,5,5
"E00021353",308,287,7,6,8
"E00021354",463,410,31,8,14
"E00021355",300,283,13,2,2
"E00021357",412,365,28,10,9
"E00021359",369,348,13,0,8
"E00021360",450,415,16,6,13
"E00021361",371,334,15,8,14
"E00021363",389,350,21,4,14
"E00021364",570,518,32,8,12
"E00021365",282,260,14,7,1
"E00021366",371,336,20,2,13
"E00021367",318,283,19,6,10
"E00021368",399,357,21,10,11
"E00021369",232,211,10,2,9
"E00021370",616,560,36,8,12
"E00021371",199,184,9,3,3
"E00021372",385,351,17,8,9
"E00021374",420,378,17,9,16
"E00021375",389,356,16,12,5
"E00021376",384,352,16,9,7
"E00021377",586,535,26,11,14
"E00021378",424,392,12,8,12
"E00021379",283,253,17,7,6
"E00021380",329,309,15,2,3
"E00021381",410,365,21,10,14
"E00021382",411,374,15,6,16
"E00021383",523,472,28,8,15
"E00021384",220,204,16,0,0
"E00021385",433,396,26,4,7
"E00021386",360,325,22,6,7
"E00021387",664,595,22,15,32
"E00021388",330,304,9,12,5
"E00021391",492,445,20,9,18
"E00021392",369,334,20,5,10
"E00021393",423,378,16,13,16
"E00021394",358,332,8,8,10
"E00021395",336,315,10,4,7
"E00021396",351,317,23,5,6
"E00021397",566,522,10,13,21
"E00021398",474,423,30,8,13
"E00021399",371,342,19,4,6
