"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E00021141",117,75,34,8,0,0,50
"E00021143",138,94,41,3,0,0,47
"E00021145",104,60,40,3,0,1,50
"E00021146",143,110,30,1,2,0,38
"E00021147",83,48,29,4,1,1,44
"E00021148",119,83,31,5,0,0,41
"E00021149",126,89,35,2,0,0,39
"E00021150",116,78,33,3,2,0,45
"E00021151",113,85,24,4,0,0,32
"E00021152",138,83,48,4,1,2,67
"E00021153",149,110,36,2,1,0,43
"E00021154",121,87,30,4,0,0,38
"E00021155",172,127,41,4,0,0,49
"E00021156",133,104,27,2,0,0,31
"E00021157",106,62,43,1,0,0,45
"E00021158",107,68,34,5,0,0,44
"E00021159",246,176,59,9,2,0,83
"E00021160",112,82,28,2,0,0,32
"E00021161",154,90,55,9,0,0,73
"E00021162",121,82,35,4,0,0,43
"E00021163",119,84,33,2,0,0,37
"E00021164",128,87,39,2,0,0,43
"E00021165",122,89,28,3,1,1,41
"E00021166",126,87,33,6,0,0,45
"E00021167",128,94,31,2,0,1,39
"E00021168",169,127,36,5,0,1,50
"E00021169",189,122,57,10,0,0,77
"E00021170",162,104,53,5,0,0,63
"E00021171",241,167,67,7,0,0,81
"E00021172",125,74,43,8,0,0,59
"E00021173",146,88,51,7,0,0,65
"E00021174",128,90,37,1,0,0,39
"E00021175",127,78,45,4,0,0,53
"E00021176",151,101,48,2,0,0,52
"E00021177",134,92,41,1,0,0,43
"E00021179",140,93,40,6,1,0,55
"E00021180",168,134,32,2,0,0,36
"E00021181",107,75,30,2,0,0,34
"E00021182",169,136,31,1,1,0,36
"E00021183",135,103,28,4,0,0,36
"E00021184",69,49,19,1,0,0,21
"E00021185",131,75,48,6,2,0,66
"E00021186",156,115,37,3,1,0,46
"E00021187",97,65,31,1,0,0,33
"E00021188",120,82,36,0,1,1,43
"E00021189",122,85,30,7,0,0,44
"E00021190",161,120,34,6,1,0,49
"E00021191",124,89,31,3,1,0,40
"E00021192",113,85,25,3,0,0,31
"E00021193",182,129,50,3,0,0,56
"E00021194",176,119,50,7,0,0,64
"E00021195",108,70,32,6,0,0,44
"E00021196",114,72,37,5,0,0,47
"E00021197",215,152,57,4,2,0,71
"E00021198",92,53,32,5,1,1,49
"E00021199",111,81,27,2,0,1,35
"E00021200",107,75,30,2,0,0,34
"E00021201",107,71,31,5,0,0,41
"E00021202",92,60,30,2,0,0,34
"E00021203",104,80,23,1,0,0,25
"E00021204",145,96,39,8,2,0,61
"E00021205",100,68,28,4,0,0,36
"E00021206",78,47,27,4,0,0,35
"E00021207",164,129,34,1,0,0,36
"E00021208",108,74,31,3,0,0,37
"E00021209",72,50,18,4,0,0,26
"E00021210",78,43,28,7,0,0,42
"E00021211",135,106,25,3,1,0,34
"E00021212",75,47,25,3,0,0,31
"E00021213",132,89,41,1,1,0,46
"E00021214",156,116,33,7,0,0,47
"E00021215",181,118,58,5,0,0,68
"E00021216",163,135,24,4,0,0,32
"E00021217",225,182,40,1,0,2,56
"E00021218",201,82,83,30,6,0,161
"E00021219",107,57,36,11,3,0,67
"E00021220",181,103,67,10,0,1,91
"E00021223",195,85,91,18,1,0,130
"E00021224",168,98,53,12,5,0,92
"E00021225",152,89,54,8,0,1,74
"E00021227",118,47,55,12,2,2,93
"E00021228",135,80,42,12,1,0,69
"E00021229",116,71,31,12,2,0,61
"E00021230",128,52,63,11,1,1,92
"E00021231",122,66,49,4,3,0,66
"E00021235",105,58,39,8,0,0,55
"E00021236",132,87,41,3,1,0,50
"E00021238",181,72,89,17,3,0,132
"E00021239",147,68,67,12,0,0,91
"E00021240",162,68,81,13,0,0,107
"E00021241",116,47,57,8,2,2,89
"E00021243",147,85,51,9,2,0,75
"E00021244",148,99,47,2,0,0,51
"E00021245",113,69,39,5,0,0,49
"E00021246",182,114,59,7,2,0,79
"E00021247",115,72,40,2,1,0,47
"E00021248",136,84,47,4,1,0,58
"E00021249",122,49,64,9,0,0,82
"E00021251",114,61,43,5,3,2,86
"E00021252",126,59,52,10,0,5,108
"E00021253",144,90,49,5,0,0,59
"E00021254",109,45,53,11,0,0,75
"E00021255",109,38,59,12,0,0,83
"E00021256",107,45,48,13,1,0,77
"E00021257",102,44,47,9,1,1,72
"E00021258",134,83,44,7,0,0,58
"E00021259",134,77,46,10,1,0,69
"E00021260",143,100,41,1,0,1,51
"E00021261",128,87,39,1,1,0,44
"E00021262",119,75,39,5,0,0,49
"E00021263",175,95,70,10,0,0,90
"E00021266",119,52,57,10,0,0,77
"E00021267",145,80,55,9,1,0,76
"E00021268",106,66,34,6,0,0,46
"E00021271",189,113,66,10,0,0,86
"E00021272",89,63,22,4,0,0,30
"E00021273",125,83,40,2,0,0,44
"E00021274",192,109,74,8,1,0,93
"E00021275",116,78,32,5,1,0,45
"E00021277",101,53,35,11,2,0,63
"E00021278",82,50,26,6,0,0,38
"E00021279",153,95,50,6,1,1,71
"E00021280",151,108,37,5,1,0,50
"E00021281",204,117,78,9,0,0,96
"E00021282",181,106,66,8,1,0,85
"E00021285",77,47,24,5,0,1,38
"E00021286",106,67,36,3,0,0,42
"E00021287",160,103,49,8,0,0,65
"E00021288",133,60,65,7,1,0,82
"E00021289",127,76,47,2,1,1,58
"E00021290",120,79,36,5,0,0,46
"E00021291",239,158,71,10,0,0,91
"E00021292",113,71,39,3,0,0,45
"E00021294",201,137,57,3,4,0,75
"E00021295",145,77,59,8,1,0,78
"E00021296",160,90,52,17,1,0,89
"E00021297",156,65,79,11,1,0,104
"E00021298",173,89,66,15,3,0,105
"E00021299",165,79,74,10,2,0,100
"E00021300",181,89,67,21,4,0,121
"E00021301",175,119,47,9,0,0,65
"E00021302",185,123,49,13,0,0,75
"E00021303",126,88,36,1,1,0,41
"E00021304",119,81,32,5,1,0,45
"E00021305",100,46,44,7,3,0,67
"E00021306",126,59,54,11,2,0,82
"E00021307",183,101,62,19,1,0,103
"E00021308",139,66,63,9,1,0,84
"E00021309",105,58,43,3,1,0,52
"E00021310",112,73,30,8,1,0,49
"E00021311",119,75,37,7,0,0,51
"E00021312",123,62,54,7,0,0,68
"E00021313",204,126,66,12,0,0,90
"E00021314",148,63,76,8,1,0,95
"E00021315",112,89,21,0,2,0,27
"E00021316",102,62,29,11,0,0,51
"E00021317",123,45,62,15,1,0,95
"E00021318",142,99,41,2,0,0,45
"E00021319",138,109,21,7,1,0,38
"E00021320",120,65,45,9,1,0,66
"E00021321",114,62,43,5,3,1,66
"E00021322",116,70,42,4,0,0,50
"E00021323",138,102,31,5,0,0,41
"E00021324",166,97,60,8,1,0,79
"E00021325",150,84,49,15,1,1,86
"E00021326",134,89,38,5,2,0,54
"E00021327",178,101,66,8,2,1,92
"E00021328",131,83,43,2,3,0,56
"E00021329",187,124,58,4,1,0,69
"E00021330",122,85,28,7,2,0,48
