"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E00021213",415,43,4,1,42,0,7,1,1,1,5,283,1,7,3,9,1,6,0
"E00021214",511,114,6,0,38,10,1,9,18,20,16,191,44,12,8,4,9,9,2
"E00021215",454,173,11,0,76,5,2,15,9,26,7,28,49,17,10,4,3,9,10
"E00021216",326,63,6,0,42,5,7,8,8,10,6,92,4,9,21,6,18,13,8
"E00021217",524,112,7,0,96,4,0,5,5,12,12,160,39,15,9,12,18,8,10
"E00021218",491,208,7,0,112,0,5,10,9,25,4,32,25,10,13,18,0,6,7
"E00021219",250,154,2,0,24,1,2,2,1,3,1,31,16,5,3,3,1,0,1
"E00021220",348,130,10,0,88,6,0,3,3,39,3,12,28,14,5,3,0,3,1
"E00021223",388,162,16,0,89,5,0,3,7,14,7,38,16,12,4,6,4,4,1
"E00021224",409,139,4,0,77,6,1,2,7,17,7,67,31,16,17,1,10,5,2
"E00021225",292,143,3,0,40,3,2,1,6,27,0,27,13,14,6,3,0,1,3
"E00021227",269,151,2,0,39,1,0,7,3,8,3,26,9,11,5,1,0,2,1
"E00021228",359,164,9,0,43,3,0,2,0,13,0,79,17,11,9,6,1,0,2
"E00021229",309,81,3,0,24,7,1,2,4,4,3,149,5,4,13,6,2,1,0
"E00021230",248,125,5,0,49,1,0,6,5,11,0,19,14,8,0,0,1,1,3
"E00021231",210,142,4,0,19,5,4,0,5,3,0,10,6,1,5,5,0,0,1
"E00021235",368,18,4,0,11,0,0,1,1,4,3,251,11,7,23,13,19,1,1
"E00021236",324,60,6,0,38,2,1,1,4,14,4,113,18,11,24,10,3,4,11
"E00021238",398,142,10,0,89,1,2,4,5,34,4,3,67,23,3,1,2,5,3
"E00021239",286,68,7,0,54,0,4,8,4,57,11,1,52,12,1,3,1,0,3
"E00021240",304,145,15,0,65,1,2,3,5,29,0,11,10,3,4,2,2,0,7
"E00021241",274,123,7,0,58,1,1,4,3,16,4,12,26,7,3,1,1,0,7
"E00021243",398,127,4,0,41,4,0,7,5,13,7,120,7,8,29,6,14,0,6
"E00021244",254,93,8,0,26,6,5,3,0,2,4,57,3,12,13,15,1,4,2
"E00021245",246,113,2,0,34,16,1,2,0,6,0,38,12,6,12,3,0,0,1
"E00021246",517,173,3,0,59,2,0,7,8,7,1,186,16,13,14,3,21,0,4
"E00021247",402,104,0,1,25,10,2,3,3,3,3,170,22,11,32,2,10,0,1
"E00021248",380,89,1,0,44,3,7,6,6,7,0,140,6,8,34,18,0,8,3
"E00021249",329,168,0,0,4,8,7,2,1,1,2,85,9,7,20,14,0,1,0
"E00021251",292,104,5,0,25,1,1,0,3,3,1,100,10,9,9,6,9,2,4
"E00021252",267,96,2,0,73,2,0,1,8,30,2,3,32,9,5,0,1,2,1
"E00021253",304,100,3,0,49,11,3,8,0,8,1,96,5,4,7,4,1,0,4
"E00021254",237,69,8,0,48,3,2,4,5,26,2,5,38,8,7,0,2,1,9
"E00021255",221,82,2,0,55,0,1,5,1,35,0,3,26,6,0,2,1,1,1
"E00021256",242,75,8,0,61,1,5,2,7,17,9,11,20,6,6,2,0,5,7
"E00021257",242,105,3,0,54,3,2,13,1,13,0,20,10,4,2,4,5,1,2
"E00021258",360,175,0,0,28,6,2,3,1,5,1,103,10,4,7,5,5,1,4
"E00021259",399,165,0,0,49,0,5,6,3,19,18,71,12,15,9,5,0,12,10
"E00021260",320,137,7,0,27,3,0,2,2,1,0,69,3,6,20,23,14,4,2
"E00021261",278,136,7,0,29,2,5,3,6,9,0,38,1,2,27,4,5,4,0
"E00021262",305,119,4,0,22,11,3,0,2,6,0,94,2,4,8,19,5,4,2
"E00021263",401,252,9,1,21,2,3,3,6,2,0,52,3,10,15,13,2,0,7
"E00021266",281,172,6,0,35,8,2,1,0,3,0,14,6,3,16,10,3,1,1
"E00021267",329,142,9,0,36,0,2,2,5,4,0,73,0,6,20,22,6,2,0
"E00021268",253,94,4,0,40,3,6,4,7,1,1,68,1,0,11,6,4,2,1
"E00021271",392,208,8,0,28,12,0,6,1,4,0,54,1,4,30,24,3,9,0
"E00021272",221,85,9,1,18,1,2,6,4,8,2,67,1,2,3,4,4,0,4
"E00021273",286,157,4,0,24,4,0,2,1,4,5,63,2,3,1,9,2,0,5
"E00021274",549,246,4,0,3,7,7,8,17,8,5,119,8,12,42,19,26,9,9
"E00021275",259,120,3,0,18,10,0,6,4,0,3,47,4,3,13,10,6,3,9
"E00021277",249,133,3,0,10,7,1,3,7,1,4,40,1,0,11,20,2,0,6
"E00021278",199,69,5,0,21,5,6,5,3,0,0,56,10,1,5,7,3,3,0
"E00021279",444,177,6,0,15,9,0,3,5,2,0,153,2,5,21,32,6,7,1
"E00021280",287,134,4,0,35,1,3,5,1,4,4,41,5,8,16,7,9,3,7
"E00021281",531,254,7,0,66,6,4,5,6,8,5,106,4,7,17,26,4,2,4
"E00021282",407,173,11,1,32,14,2,1,8,11,4,75,13,15,13,15,14,0,5
"E00021285",123,61,2,0,16,0,0,3,2,1,1,13,7,3,6,4,1,0,3
"E00021286",230,136,4,0,28,3,1,0,3,9,0,21,5,2,2,9,3,3,1
"E00021287",278,173,5,0,49,3,2,13,4,12,0,1,5,7,0,3,0,1,0
"E00021288",239,155,2,0,36,3,1,8,6,15,2,0,0,3,2,0,1,4,1
"E00021289",330,85,3,0,9,8,4,4,4,0,2,141,1,6,31,15,11,2,4
"E00021290",342,120,2,0,28,7,1,0,4,3,0,111,0,10,18,14,16,5,3
"E00021291",374,225,16,0,68,1,2,6,6,7,2,6,8,10,0,7,2,4,4
"E00021292",312,119,4,2,34,6,1,3,0,1,3,101,6,8,5,8,5,3,3
"E00021294",578,140,7,4,17,7,2,4,2,16,0,265,3,10,46,17,19,4,15
"E00021295",379,214,18,0,31,2,2,5,2,8,0,64,9,0,14,9,0,0,1
"E00021296",341,211,7,0,50,3,0,16,4,6,0,9,0,8,17,3,0,2,5
"E00021297",418,267,16,0,38,8,0,8,6,9,1,26,8,5,1,10,2,9,4
"E00021298",417,282,18,0,50,4,2,6,5,8,1,21,4,4,3,6,0,2,1
"E00021299",438,228,5,0,36,2,4,2,8,3,0,98,10,6,3,22,8,2,1
"E00021300",492,309,20,0,43,6,1,10,6,20,3,35,9,11,5,9,2,0,3
"E00021301",522,79,0,1,31,14,4,6,14,3,10,278,15,15,19,13,18,0,2
"E00021302",463,198,10,0,39,9,3,9,9,22,2,113,9,4,13,15,6,1,1
"E00021303",349,67,1,0,22,4,6,0,1,10,2,183,10,3,21,15,1,1,2
"E00021304",361,153,3,0,60,12,5,8,4,2,1,58,6,7,3,21,1,10,7
"E00021305",255,160,8,0,19,4,0,7,3,1,3,32,2,5,5,2,0,1,3
"E00021306",264,159,11,0,29,4,0,3,9,1,0,25,9,5,0,7,0,0,2
"E00021307",470,250,10,1,71,7,10,4,4,18,2,31,21,9,11,7,6,2,6
"E00021308",448,210,5,0,46,3,1,5,2,4,3,147,5,1,11,3,1,0,1
"E00021309",189,134,3,0,26,0,0,1,2,5,0,0,5,2,7,2,2,0,0
"E00021310",259,132,4,4,41,4,2,3,2,1,1,40,2,1,6,8,7,1,0
"E00021311",335,122,9,0,10,2,3,2,7,9,7,128,0,8,10,7,6,0,5
"E00021312",316,178,3,0,31,5,3,5,3,2,1,45,4,9,10,8,7,0,2
"E00021313",484,277,10,0,52,11,4,12,7,0,0,32,10,7,16,17,21,4,4
"E00021314",370,259,10,0,36,5,1,2,6,5,1,15,9,1,12,2,5,1,0
"E00021315",138,80,1,0,11,1,0,0,0,0,0,16,3,2,11,6,4,1,2
"E00021316",322,93,5,0,39,12,2,0,4,0,2,123,2,9,6,14,2,3,6
"E00021317",328,234,5,0,27,5,0,9,17,1,0,16,1,2,1,8,1,0,1
"E00021318",303,149,7,0,47,3,2,6,10,12,1,35,1,8,2,15,3,2,0
"E00021319",330,140,7,0,27,7,3,2,6,5,0,77,3,4,23,15,3,4,4
"E00021320",322,217,5,0,21,13,2,2,5,1,4,23,6,0,11,4,2,0,6
"E00021321",302,146,6,0,31,2,0,1,1,9,2,54,7,10,6,10,15,0,2
"E00021322",315,107,10,0,43,3,5,1,1,2,0,114,3,0,9,13,2,2,0
"E00021323",374,119,5,0,26,12,0,1,1,4,8,108,19,7,15,13,12,1,23
"E00021324",380,224,14,1,44,2,0,9,4,13,1,25,8,15,4,11,5,0,0
"E00021325",413,171,5,1,22,5,2,3,3,8,2,113,5,9,29,16,14,1,4
"E00021326",433,100,6,0,26,14,0,2,6,3,8,195,5,10,9,9,17,15,8
"E00021327",397,264,5,0,39,5,0,7,8,5,3,21,5,2,4,17,2,8,2
"E00021328",434,94,1,0,48,8,4,5,13,9,0,181,14,15,17,8,1,3,13
"E00021329",398,137,6,4,34,5,0,2,8,3,2,107,7,17,24,11,23,4,4
"E00021330",334,80,1,0,12,5,1,0,0,5,9,146,18,5,19,26,3,3,1
"E00021331",200,51,2,0,21,0,3,6,3,5,1,82,0,1,6,5,5,3,6
"E00021332",491,109,0,6,7,10,2,2,4,1,6,287,2,14,16,10,5,10,0
"E00021333",351,98,3,0,11,3,1,4,2,0,4,150,10,6,24,18,8,1,8
"E00021334",377,125,8,2,18,7,5,1,5,10,0,127,7,2,17,25,9,1,8
"E00021335",564,167,8,0,24,14,0,2,2,9,5,207,26,8,38,19,26,4,5
"E00021336",300,79,0,0,18,11,4,6,0,0,0,112,10,21,14,5,4,4,12
"E00021337",339,78,4,0,4,0,1,8,2,1,13,160,2,13,6,24,17,0,6
"E00021338",452,30,3,0,6,1,3,3,0,6,2,348,3,7,24,10,3,2,1
"E00021339",331,153,5,0,41,0,3,6,4,1,2,64,7,5,21,10,7,2,0
"E00021340",383,78,6,0,67,7,1,12,9,28,11,66,21,18,20,23,6,5,5
"E00021342",342,52,6,0,12,4,4,2,4,9,0,191,0,9,28,12,4,1,4
