"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E00021141",333,6,5,1,5,299,41,258,23,19,1,0,3,0
"E00021143",393,55,11,44,0,265,249,16,71,71,0,0,0,2
"E00021145",241,52,27,25,0,142,15,127,46,40,6,0,0,1
"E00021146",293,67,17,50,2,43,2,41,179,175,0,2,2,2
"E00021147",205,40,21,19,0,102,6,96,58,57,0,0,1,5
"E00021148",279,39,12,27,4,147,93,54,82,72,7,3,0,7
"E00021149",353,57,17,40,1,250,76,174,41,33,0,6,2,4
"E00021150",298,63,17,46,0,189,175,14,46,46,0,0,0,0
"E00021151",275,9,5,4,0,219,74,145,47,47,0,0,0,0
"E00021152",379,81,12,69,0,263,141,122,33,33,0,0,0,2
"E00021153",341,36,4,32,0,26,14,12,276,267,2,7,0,3
"E00021154",401,27,8,19,22,299,193,106,47,47,0,0,0,6
"E00021155",359,99,24,75,2,30,0,30,228,211,0,9,8,0
"E00021156",237,27,11,16,2,155,90,65,52,45,0,7,0,1
"E00021157",331,29,14,15,7,236,120,116,59,57,0,2,0,0
"E00021158",340,37,8,29,0,277,147,130,25,25,0,0,0,1
"E00021159",571,150,35,115,0,264,120,144,148,129,4,11,4,9
"E00021160",322,68,29,39,0,173,160,13,78,75,0,3,0,3
"E00021161",391,111,47,64,0,176,62,114,95,90,0,5,0,9
"E00021162",375,82,36,46,3,172,155,17,117,115,0,2,0,1
"E00021163",309,60,33,27,1,185,64,121,62,49,0,4,9,1
"E00021164",279,58,32,26,0,200,71,129,16,11,0,0,5,5
"E00021165",338,61,8,53,1,206,180,26,62,62,0,0,0,8
"E00021166",387,72,18,54,0,176,90,86,139,138,0,1,0,0
"E00021167",305,88,36,52,0,122,56,66,92,82,0,10,0,3
"E00021168",374,94,21,73,4,15,10,5,258,246,4,6,2,3
"E00021169",467,91,25,66,27,214,87,127,132,113,0,5,14,3
"E00021170",466,63,17,46,0,326,319,7,77,58,2,11,6,0
"E00021171",660,70,18,52,0,412,243,169,169,164,0,5,0,9
"E00021172",275,26,15,11,7,183,13,170,49,45,0,0,4,10
"E00021173",372,108,21,87,0,183,168,15,80,76,0,3,1,1
"E00021174",228,123,43,80,0,1,1,0,103,101,0,2,0,1
"E00021175",288,69,21,48,6,93,86,7,102,96,2,4,0,18
"E00021176",298,59,14,45,12,166,119,47,58,56,0,2,0,3
"E00021177",425,73,22,51,0,273,114,159,79,77,0,2,0,0
"E00021179",327,85,24,61,3,51,30,21,184,171,0,10,3,4
"E00021180",444,57,19,38,4,243,157,86,137,126,0,11,0,3
"E00021181",230,60,11,49,0,66,37,29,100,94,0,6,0,4
"E00021182",343,79,32,47,0,49,15,34,213,213,0,0,0,2
"E00021183",231,107,28,79,6,21,1,20,95,93,0,2,0,2
"E00021184",169,24,4,20,19,72,70,2,54,54,0,0,0,0
"E00021185",299,64,26,38,6,164,14,150,64,64,0,0,0,1
"E00021186",440,96,17,79,0,233,211,22,105,102,0,2,1,6
"E00021187",307,35,23,12,0,192,163,29,74,66,0,5,3,6
"E00021188",302,36,4,32,0,203,18,185,61,57,0,3,1,2
"E00021189",397,99,42,57,0,179,168,11,109,101,0,2,6,10
"E00021190",452,92,23,69,3,138,136,2,206,200,0,6,0,13
"E00021191",396,156,44,112,9,129,125,4,102,82,0,20,0,0
"E00021192",329,54,22,32,5,158,148,10,109,103,0,0,6,3
"E00021193",323,97,30,67,0,12,12,0,209,188,0,16,5,5
"E00021194",563,72,33,39,26,321,191,130,143,138,0,0,5,1
"E00021195",392,75,17,58,1,238,232,6,78,78,0,0,0,0
"E00021196",381,36,9,27,5,308,181,127,26,24,0,2,0,6
"E00021197",415,135,55,80,3,125,80,45,143,136,0,1,6,9
"E00021198",313,113,48,65,0,131,94,37,62,62,0,0,0,7
"E00021199",182,4,2,2,0,170,41,129,8,5,0,0,3,0
"E00021200",322,49,16,33,6,161,154,7,105,103,1,1,0,1
"E00021201",321,100,37,63,1,116,108,8,102,96,0,6,0,2
"E00021202",285,69,9,60,0,167,142,25,42,36,0,6,0,7
"E00021203",246,45,15,30,0,121,99,22,79,76,0,0,3,1
"E00021204",401,69,11,58,3,252,18,234,74,69,0,2,3,3
"E00021205",336,69,24,45,0,187,164,23,76,76,0,0,0,4
"E00021206",239,37,10,27,0,175,160,15,24,24,0,0,0,3
"E00021207",256,69,17,52,1,40,3,37,143,141,0,2,0,3
"E00021208",299,63,15,48,6,165,125,40,63,61,0,2,0,2
"E00021209",246,45,5,40,5,142,127,15,54,52,0,2,0,0
"E00021210",289,73,16,57,1,146,124,22,67,60,0,0,7,2
"E00021211",372,64,14,50,0,148,146,2,147,147,0,0,0,13
"E00021212",270,53,6,47,1,153,125,28,63,60,0,0,3,0
"E00021213",415,62,9,53,0,234,173,61,118,107,0,3,8,1
