"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E02000864",6143,4174,662,2212,28,72,120,272,482,326,1969,468,463,431,374,233
"E02000865",5303,3605,610,1836,31,53,157,257,416,245,1698,298,429,374,316,281
"E02000866",7591,5498,665,3218,44,124,206,470,425,346,2093,492,687,377,322,215
"E02000867",7896,6021,673,3859,19,87,148,399,402,434,1875,300,638,429,288,220
"E02000868",5355,3902,449,2135,30,63,126,415,299,385,1453,246,508,295,231,173
"E02000869",4484,3220,438,1652,20,90,172,328,303,217,1264,278,295,249,262,180
"E02000870",4903,3460,563,1884,25,41,113,255,332,247,1443,259,410,327,251,196
"E02000871",6097,4003,760,1875,27,63,101,201,534,442,2094,307,580,603,305,299
"E02000872",5960,4369,524,2510,36,88,170,348,403,290,1591,234,480,390,268,219
"E02000873",6888,3898,596,1738,34,54,104,172,392,808,2990,264,1848,428,226,224
"E02000874",5344,3230,609,1511,21,39,112,203,365,370,2114,248,851,453,300,262
"E02000875",6841,4397,800,2182,47,55,116,200,595,402,2444,289,746,640,431,338
"E02000876",5700,3793,584,1933,21,58,124,262,408,403,1907,237,688,390,336,256
"E02000877",7105,4519,866,2050,38,60,139,225,614,527,2586,344,901,627,338,376
"E02000878",8645,5899,750,3206,32,120,186,423,640,542,2746,378,1123,481,373,391
"E02000879",5659,3535,659,1673,24,47,132,222,354,424,2124,387,750,404,332,251
"E02000880",4401,2829,473,1430,23,49,93,168,278,315,1572,209,541,365,219,238
"E02000881",4732,3009,565,1330,34,58,121,198,451,252,1723,228,441,490,298,266
"E02000882",5985,3780,723,1821,31,42,125,175,546,317,2205,328,569,641,347,320
"E02000883",5447,3360,696,1469,21,55,105,164,535,315,2087,332,459,573,418,305
"E02000884",7645,5621,545,3631,30,95,123,316,420,461,2024,263,785,443,236,297
"E02000885",5008,3017,608,1413,38,70,99,133,401,255,1991,351,533,487,331,289
"E02000886",5809,4349,498,2735,35,97,123,291,356,214,1460,234,368,389,237,232
"E02000887",6130,4061,783,1985,18,60,142,217,528,328,2069,307,518,600,343,301
"E02000888",6289,4555,556,2778,50,83,128,251,391,318,1734,234,537,502,232,229
"E02000889",5352,4032,479,2611,28,76,109,224,279,226,1320,242,326,314,222,216
"E02000890",5042,4207,268,3094,15,129,114,326,162,99,835,263,216,157,90,109
"E02000891",10364,8035,734,5522,38,146,165,490,591,349,2329,287,873,569,262,338
"E02000893",5243,3794,481,2293,9,77,129,272,309,224,1449,320,394,328,245,162
"E02000894",8504,6799,546,4684,28,136,162,447,456,340,1705,300,581,417,192,215
"E02006853",5672,4277,425,2839,19,63,86,269,388,188,1395,216,473,362,163,181
"E02006854",5015,3985,264,2922,12,100,66,271,204,146,1030,119,396,274,105,136
