"GeographyCode","QS302EW0001","QS302EW0002","QS302EW0003","QS302EW0004","QS302EW0005","QS302EW0006"
"E00021141",340,143,88,60,37,12
"E00021143",393,171,134,54,30,4
"E00021145",256,117,85,31,15,8
"E00021146",462,287,145,17,12,1
"E00021147",210,108,71,23,8,0
"E00021148",279,122,93,35,25,4
"E00021149",353,159,111,47,24,12
"E00021150",298,125,107,41,19,6
"E00021151",275,99,92,44,32,8
"E00021152",379,158,134,53,28,6
"E00021153",344,213,99,23,7,2
"E00021154",401,166,139,59,24,13
"E00021155",359,229,103,20,5,2
"E00021156",237,112,71,35,14,5
"E00021157",331,156,110,46,13,6
"E00021158",340,163,104,48,19,6
"E00021159",571,279,164,76,34,18
"E00021160",322,166,93,41,17,5
"E00021161",391,172,133,63,14,9
"E00021162",375,180,122,42,23,8
"E00021163",353,140,95,81,31,6
"E00021164",279,115,90,50,15,9
"E00021165",338,143,119,46,17,13
"E00021166",387,210,102,46,24,5
"E00021167",305,162,90,31,14,8
"E00021168",374,253,99,16,4,2
"E00021169",467,267,146,35,13,6
"E00021170",466,234,146,51,27,8
"E00021171",660,326,220,84,22,8
"E00021172",281,125,107,33,11,5
"E00021173",372,193,118,41,15,5
"E00021174",228,124,84,17,2,1
"E00021175",300,146,109,26,15,4
"E00021176",298,130,97,46,16,9
"E00021177",425,195,143,48,29,10
"E00021179",327,150,131,30,11,5
"E00021180",444,193,164,59,22,6
"E00021181",230,106,87,26,9,2
"E00021182",343,215,103,17,7,1
"E00021183",231,139,78,13,0,1
"E00021184",169,98,50,15,3,3
"E00021185",304,154,96,36,14,4
"E00021186",440,176,152,66,30,16
"E00021187",307,167,92,30,14,4
"E00021188",302,126,89,48,31,8
"E00021189",397,185,119,51,32,10
"E00021190",476,261,139,48,24,4
"E00021191",396,185,138,50,16,7
"E00021192",329,144,107,44,26,8
"E00021193",323,215,88,17,2,1
"E00021194",563,273,175,66,33,16
"E00021195",392,183,138,47,20,4
"E00021196",381,182,132,45,16,6
"E00021197",519,274,185,38,15,7
"E00021198",313,131,112,48,17,5
"E00021199",182,78,50,40,8,6
"E00021200",322,143,109,36,26,8
"E00021201",321,156,118,30,11,6
"E00021202",285,143,92,34,12,4
"E00021203",246,106,79,37,19,5
"E00021204",401,167,143,49,31,11
"E00021205",336,139,121,45,21,10
"E00021206",239,111,76,28,16,8
"E00021207",258,145,66,25,14,8
"E00021208",299,126,107,35,21,10
"E00021209",246,114,81,31,16,4
"E00021210",289,115,119,38,12,5
"E00021211",372,188,123,37,18,6
"E00021212",270,123,88,33,19,7
"E00021213",415,161,170,55,19,10
"E00021214",511,272,171,40,18,10
"E00021215",454,244,170,31,7,2
"E00021216",326,137,104,44,32,9
"E00021217",524,267,175,50,22,10
"E00021218",491,256,185,37,10,3
"E00021219",250,111,78,40,12,9
"E00021220",348,203,120,23,1,1
"E00021223",388,231,127,22,3,5
"E00021224",409,195,152,38,22,2
"E00021225",292,129,95,50,14,4
"E00021227",269,149,81,29,9,1
"E00021228",359,152,117,54,27,9
"E00021229",309,134,105,40,19,11
"E00021230",248,136,68,28,14,2
"E00021231",210,72,70,41,19,8
"E00021235",368,167,128,44,22,7
"E00021236",324,155,128,34,6,1
"E00021238",398,258,116,20,0,4
"E00021239",286,192,83,8,3,0
"E00021240",304,194,87,17,3,3
"E00021241",274,176,85,8,4,1
"E00021243",398,212,135,26,23,2
"E00021244",254,81,81,52,34,6
"E00021245",246,94,89,48,13,2
"E00021246",517,235,170,72,30,10
"E00021247",402,203,130,39,22,8
"E00021248",380,177,145,39,17,2
"E00021249",329,124,112,59,27,7
"E00021251",292,144,90,38,8,12
"E00021252",267,147,102,12,6,0
"E00021253",304,126,103,43,24,8
"E00021254",237,155,69,8,3,2
"E00021255",221,143,69,9,0,0
"E00021256",242,154,70,15,3,0
"E00021257",242,133,79,24,3,3
"E00021258",360,153,119,60,24,4
"E00021259",399,188,135,54,13,9
"E00021260",320,118,123,49,21,9
"E00021261",278,151,77,28,18,4
"E00021262",305,124,107,52,18,4
"E00021263",401,206,139,39,15,2
"E00021266",281,156,86,27,12,0
"E00021267",329,147,112,46,14,10
"E00021268",253,113,94,26,14,6
"E00021271",392,148,135,57,32,20
"E00021272",221,79,83,37,14,8
"E00021273",286,96,94,53,30,13
"E00021274",549,242,173,96,26,12
"E00021275",259,103,87,40,18,11
"E00021277",249,90,90,43,18,8
"E00021278",199,70,77,33,14,5
"E00021279",444,204,131,73,25,11
"E00021280",287,129,105,34,15,4
"E00021281",531,281,164,54,22,10
"E00021282",407,223,119,44,18,3
"E00021285",123,70,42,7,3,1
"E00021286",230,140,64,18,7,1
"E00021287",278,179,90,9,0,0
"E00021288",239,161,66,10,0,2
"E00021289",330,173,107,32,15,3
"E00021290",342,159,114,46,15,8
"E00021291",374,242,117,13,2,0
