"GeographyCode","QS611EW0001","QS611EW0002","QS611EW0003","QS611EW0004","QS611EW0005"
"E01004197",889,242,305,89,253
"E01004198",476,100,129,60,187
"E01004199",479,65,142,49,223
"E01004200",556,207,216,42,91
"E01004201",534,154,187,70,123
"E01004202",667,234,240,56,137
"E01004203",617,180,217,65,155
"E01004204",499,88,146,69,196
"E01004205",619,91,185,73,270
"E01004206",462,51,131,67,213
"E01004207",439,86,148,51,154
"E01004208",753,302,273,46,132
"E01004209",413,52,128,65,168
"E01004211",675,265,230,33,147
"E01004212",655,154,268,45,188
"E01004214",577,74,148,89,266
"E01004215",1039,417,320,86,216
"E01004216",660,315,177,56,112
"E01004217",650,214,203,94,139
"E01004218",658,294,206,59,99
"E01004219",790,258,203,67,262
"E01004221",747,348,212,57,130
"E01004222",836,153,252,133,298
"E01004223",754,155,255,110,234
"E01004224",683,188,204,83,208
"E01004225",1099,552,370,66,111
"E01004226",592,129,174,80,209
"E01004228",669,259,202,78,130
"E01004229",477,129,152,53,143
"E01004230",662,164,237,74,187
"E01004231",525,86,162,69,208
"E01004232",545,263,166,46,70
"E01004233",588,122,156,76,234
"E01004234",799,323,283,73,120
"E01004235",447,54,129,69,195
"E01004236",419,36,124,59,200
"E01004237",445,102,149,63,131
"E01004238",990,230,327,111,322
"E01004239",438,52,129,74,183
"E01004240",501,63,142,67,229
"E01004241",480,67,137,50,226
"E01004242",846,185,279,99,283
"E01004243",521,59,145,79,238
"E01004244",555,75,163,85,232
"E01004245",399,31,100,63,205
"E01004246",653,171,215,90,177
"E01004247",611,98,155,85,273
"E01004248",361,32,88,53,188
"E01004249",672,90,165,115,302
"E01004250",745,107,198,109,331
"E01004251",642,117,166,109,250
"E01004252",1013,291,289,129,304
"E01004253",689,94,186,115,294
"E01004254",1017,661,242,36,78
"E01004255",606,141,171,70,224
"E01004256",513,69,129,73,242
"E01004257",540,72,147,75,246
"E01004258",630,317,175,45,93
"E01004259",738,235,289,60,154
"E01004260",538,130,149,67,192
"E01004261",476,46,247,34,149
"E01004262",410,65,172,59,114
"E01004263",424,65,125,70,164
"E01004264",376,57,99,39,181
"E01004266",487,144,158,42,143
"E01004267",665,215,206,78,166
"E01004268",605,111,170,84,240
"E01004269",600,134,164,79,223
"E01004270",693,227,253,60,153
"E01004271",482,52,156,69,205
"E01004272",561,53,139,84,285
"E01004273",521,69,149,65,238
"E01004274",600,189,175,56,180
"E01004275",694,288,203,85,118
"E01004276",968,637,262,26,43
"E01004277",866,612,204,8,42
"E01004280",697,272,193,54,178
"E01004281",813,452,228,53,80
"E01004283",646,114,220,81,231
"E01004284",780,242,278,69,191
"E01004285",574,73,160,75,266
"E01004286",698,150,221,82,245
"E01004287",678,132,196,75,275
"E01004288",439,73,102,67,197
"E01004289",538,108,192,58,180
"E01004290",476,145,182,56,93
"E01004291",960,559,266,48,87
"E01004292",769,480,211,32,46
"E01004293",1013,612,273,58,70
"E01004294",809,392,246,53,118
"E01004295",434,65,118,46,205
"E01004296",607,204,176,65,162
"E01004297",820,515,204,48,53
"E01004298",535,120,157,54,204
"E01004300",429,70,116,69,174
"E01004301",355,83,86,37,149
"E01004302",586,121,174,65,226
"E01004303",861,272,290,78,221
"E01004304",554,107,162,62,223
"E01004305",576,102,185,62,227
"E01004306",614,227,210,48,129
"E01004307",978,499,333,49,97
"E01004308",422,126,130,37,129
"E01004309",795,205,228,77,285
"E01004310",689,217,225,60,187
"E01004311",530,123,160,70,177
"E01004312",501,90,138,72,201
"E01004313",715,180,233,68,234
"E01004314",400,196,124,26,54
"E01004315",607,183,173,73,178
"E01004316",420,108,136,36,140
"E01004317",1141,480,404,77,180
"E01004318",572,128,172,64,208
"E01004319",514,126,140,51,197
"E01004321",617,143,236,49,189
"E01004322",419,100,140,53,126
"E01004323",418,100,136,51,131
"E01004324",408,73,108,58,169
"E01004325",982,461,326,44,151
"E01004326",545,142,190,50,163
"E01032764",583,216,213,50,104
"E01032765",597,177,207,70,143
"E01032766",585,288,177,27,93
"E01032767",755,487,200,24,44
"E01032768",679,455,173,21,30
"E01032769",567,319,148,28,72
"E01032770",511,288,120,38,65
"E01032771",532,293,146,17,76
"E01032772",495,223,148,42,82
"E01032773",846,426,261,34,125
"E01032774",557,204,155,61,137
"E01032775",583,365,149,21,48
"E01032776",623,361,185,26,51
"E01032777",503,225,176,21,81
"E01032778",554,292,158,31,73
"E01032779",559,318,145,26,70
"E01032780",630,417,170,23,20
"E01032781",743,467,190,31,55
"E01032782",755,351,234,36,134
"E01032783",597,279,178,55,85
"E01032784",631,251,212,60,108
"E01032785",590,267,201,42,80
"E01032786",583,146,177,68,192
"E01032787",698,97,206,94,301
