"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E01004197",964,9,97,246,307,203,46,32,20,4
"E01004198",606,24,65,169,150,113,57,17,7,4
"E01004199",574,13,53,131,197,128,40,11,1,0
"E01004200",585,13,90,186,147,92,32,15,4,6
"E01004201",619,6,37,122,213,152,61,17,6,5
"E01004202",713,1,83,265,206,100,30,13,7,8
"E01004203",689,24,63,140,234,168,42,7,5,6
"E01004204",631,20,37,167,190,163,34,12,4,4
"E01004205",688,16,42,207,226,107,44,22,20,4
"E01004206",554,23,73,145,124,142,26,8,8,5
"E01004207",515,38,44,99,152,113,37,22,4,6
"E01004208",788,31,103,272,202,109,59,5,6,1
"E01004209",466,12,35,111,167,122,15,4,0,0
"E01004211",720,36,182,204,151,100,20,11,10,6
"E01004212",720,119,52,198,196,109,25,5,7,9
"E01004214",665,21,47,191,224,107,62,9,4,0
"E01004215",1168,64,163,282,308,243,78,22,5,3
"E01004216",737,7,56,161,329,144,17,13,7,3
"E01004217",779,5,57,199,279,162,51,11,9,6
"E01004218",731,5,32,161,236,156,83,44,10,4
"E01004219",851,21,172,201,276,107,47,9,9,9
"E01004221",802,3,71,198,327,120,53,14,10,6
"E01004222",1048,26,105,301,263,259,64,17,9,4
"E01004223",938,10,38,253,388,136,78,15,9,11
"E01004224",806,9,40,287,177,191,55,25,17,5
"E01004225",1147,83,222,364,286,105,69,15,1,2
"E01004226",676,6,57,162,245,129,55,15,5,2
"E01004228",769,5,62,139,139,231,129,40,15,9
"E01004229",551,9,47,114,166,119,43,20,20,13
"E01004230",803,17,70,149,208,235,83,21,15,5
"E01004231",629,11,38,132,248,130,39,11,7,13
"E01004232",603,7,44,76,102,129,115,61,33,36
"E01004233",751,8,26,236,197,222,46,5,6,5
"E01004234",903,12,78,155,224,194,133,61,33,13
"E01004235",513,18,41,153,178,86,24,5,5,3
"E01004236",497,6,26,102,171,108,67,11,2,4
"E01004237",506,11,33,184,175,72,25,3,0,3
"E01004238",1058,26,195,354,224,189,46,12,5,7
"E01004239",533,6,21,93,197,132,57,11,8,8
"E01004240",574,18,33,86,227,146,49,3,7,5
"E01004241",570,13,29,118,188,171,31,16,3,1
"E01004242",898,31,127,276,240,163,38,12,6,5
"E01004243",614,13,23,136,210,177,32,8,6,9
"E01004244",686,13,59,144,143,247,53,18,8,1
"E01004245",433,4,23,90,134,96,58,19,5,4
"E01004246",747,18,78,152,218,175,77,20,6,3
"E01004247",714,24,47,167,226,164,66,10,4,6
"E01004248",441,14,27,89,136,110,47,9,4,5
"E01004249",758,19,63,171,205,205,60,17,15,3
"E01004250",866,9,45,208,374,157,42,24,4,3
"E01004251",779,21,58,232,254,130,49,24,6,5
"E01004252",1107,25,144,376,309,162,56,13,9,13
"E01004253",829,12,68,182,273,215,53,12,5,9
"E01004254",1046,11,152,336,347,103,53,21,17,6
"E01004255",647,10,79,191,200,113,30,18,2,4
