"GeographyCode","QS418EW0001","QS418EW0002","QS418EW0003"
"E02000864",3525,3521,4
"E02000865",2785,2778,7
"E02000866",3900,3894,6
"E02000867",4555,4541,14
"E02000868",2619,2612,7
"E02000869",2512,2504,8
"E02000870",2580,2571,9
"E02000871",3160,3151,9
"E02000872",3128,3117,11
"E02000873",2783,2758,25
"E02000874",2538,2521,17
"E02000875",3494,3482,12
"E02000876",2788,2775,13
"E02000877",3387,3373,14
"E02000878",4074,4056,18
"E02000879",2871,2861,10
"E02000880",2125,2114,11
"E02000881",2484,2482,2
"E02000882",2901,2890,11
"E02000883",2917,2908,9
"E02000884",3923,3915,8
"E02000885",2540,2527,13
"E02000886",3371,3365,6
"E02000887",3171,3156,15
"E02000888",3495,3491,4
"E02000889",3006,3000,6
"E02000890",3411,3409,2
"E02000891",6321,6305,16
"E02000893",3029,3027,2
"E02000894",4741,4737,4
"E02006853",3828,3812,16
"E02006854",3417,3414,3
