"GeographyCode","QS102EW0001","QS102EW0002","QS102EW0003"
"E01004197",2329,16.99,137.08063566804
"E01004198",1529,9.5,160.947368421053
"E01004199",1637,6.9,237.246376811594
"E01004200",1566,5.73,273.298429319372
"E01004201",1556,12.98,119.876733436055
"E01004202",1705,11.22,151.960784313725
"E01004203",1779,10.52,169.106463878327
"E01004204",1582,8.45,187.218934911243
"E01004205",2106,13.51,155.884529977794
"E01004206",1492,7.69,194.018205461638
"E01004207",1416,6.86,206.413994169096
"E01004208",1976,16.18,122.1260815822
"E01004209",1366,8.04,169.900497512438
"E01004211",1463,16.48,88.7742718446602
"E01004212",1780,8.78,202.733485193622
"E01004214",1669,6.72,248.363095238095
"E01004215",2756,30.15,91.4096185737977
"E01004216",1619,9.07,178.500551267916
"E01004217",1745,41.34,42.2109337203677
"E01004218",1750,14.7,119.047619047619
"E01004219",2294,19.95,114.987468671679
"E01004221",1881,13.31,141.322314049587
"E01004222",2480,13.82,179.4500723589
"E01004223",2079,59.24,35.0945307224848
"E01004224",2000,43.86,45.5996352029184
"E01004225",2178,12.55,173.545816733068
"E01004226",1738,9.27,187.486515641855
"E01004228",1857,12.67,146.566692975533
"E01004229",1484,10.42,142.418426103647
"E01004230",2101,15.79,133.058898036732
"E01004231",1793,10.84,165.405904059041
"E01004232",1665,19.33,86.1355406104501
"E01004233",1821,8.32,218.870192307692
"E01004234",2218,57.31,38.701797243064
"E01004235",1372,3.97,345.591939546599
"E01004236",1679,10.22,164.285714285714
"E01004237",1158,6.53,177.335375191424
"E01004238",2733,35.51,76.9642354266404
"E01004239",1649,10.67,154.545454545455
"E01004240",1815,8.66,209.584295612009
"E01004241",1621,11.68,138.784246575342
"E01004242",2453,20.17,121.616261774913
"E01004243",1789,11.66,153.430531732419
"E01004244",1885,13.75,137.090909090909
"E01004245",1539,21.23,72.4917569477155
"E01004246",1977,20.35,97.1498771498771
"E01004247",1934,11.9,162.521008403361
"E01004248",1344,10.69,125.724976613658
