"GeographyCode","QS604EW0001","QS604EW0002","QS604EW0003","QS604EW0004","QS604EW0005","QS604EW0006","QS604EW0007"
"E01004197",1196,337,100,237,859,687,172
"E01004198",641,195,51,144,446,360,86
"E01004199",553,206,63,143,347,297,50
"E01004200",925,218,108,110,707,524,183
"E01004201",743,202,61,141,541,448,93
"E01004202",1004,208,65,143,796,602,194
"E01004203",973,214,72,142,759,599,160
"E01004204",594,173,40,133,421,372,49
"E01004205",741,329,92,237,412,345,67
"E01004206",533,209,63,146,324,281,43
"E01004207",562,196,61,135,366,299,67
"E01004208",1085,241,73,168,844,636,208
"E01004209",478,173,48,125,305,260,45
"E01004211",903,187,63,124,716,546,170
"E01004212",717,205,60,145,512,401,111
"E01004214",582,218,65,153,364,297,67
"E01004215",1371,251,90,161,1120,794,326
"E01004216",952,153,53,100,799,600,199
"E01004217",893,200,50,150,693,549,144
"E01004218",989,167,56,111,822,621,201
"E01004219",1009,272,91,181,737,602,135
"E01004221",1108,186,57,129,922,702,220
"E01004222",931,270,85,185,661,540,121
"E01004223",936,247,75,172,689,561,128
"E01004224",950,215,69,146,735,575,160
"E01004225",1622,200,58,142,1422,1033,389
"E01004226",775,260,75,185,515,416,99
"E01004228",1024,203,60,143,821,638,183
"E01004229",697,215,74,141,482,380,102
"E01004230",979,226,77,149,753,592,161
"E01004231",685,257,87,170,428,354,74
"E01004232",979,203,84,119,776,585,191
"E01004233",719,223,71,152,496,414,82
"E01004234",1281,269,92,177,1012,768,244
"E01004235",501,219,73,146,282,240,42
"E01004236",528,217,75,142,311,270,41
"E01004237",521,137,56,81,384,324,60
"E01004238",1183,328,88,240,855,721,134
"E01004239",595,227,60,167,368,322,46
"E01004240",630,228,63,165,402,337,65
"E01004241",533,236,82,154,297,266,31
"E01004242",942,291,87,204,651,535,116
"E01004243",607,253,87,166,354,303,51
"E01004244",593,215,65,150,378,310,68
"E01004245",417,180,45,135,237,210,27
"E01004246",928,237,63,174,691,561,130
"E01004247",700,246,82,164,454,389,65
"E01004248",386,156,47,109,230,193,37
"E01004249",727,274,76,198,453,382,71
"E01004250",824,283,77,206,541,462,79
"E01004251",808,288,87,201,520,418,102
"E01004252",1256,309,95,214,947,735,212
"E01004253",856,318,84,234,538,454,84
"E01004254",1554,157,58,99,1397,888,509
"E01004255",692,203,45,158,489,376,113
"E01004256",665,245,71,174,420,363,57
"E01004257",663,251,69,182,412,353,59
"E01004258",884,130,49,81,754,456,298
"E01004259",1014,223,75,148,791,636,155
"E01004260",743,238,65,173,505,400,105
"E01004261",620,409,224,185,211,187,24
"E01004262",591,275,127,148,316,256,60
"E01004263",543,186,58,128,357,302,55
"E01004264",495,238,79,159,257,229,28
"E01004266",772,196,52,144,576,456,120
"E01004267",912,211,80,131,701,524,177
"E01004268",656,202,54,148,454,373,81
"E01004269",799,277,82,195,522,432,90
"E01004270",1149,319,123,196,830,644,186
"E01004271",542,216,61,155,326,283,43
"E01004272",657,297,93,204,360,317,43
"E01004273",611,257,89,168,354,301,53
"E01004274",844,193,62,131,651,510,141
"E01004275",1057,207,79,128,850,638,212
"E01004276",1549,158,65,93,1391,940,451
"E01004277",1189,97,40,57,1092,552,540
"E01004280",934,182,56,126,752,524,228
"E01004281",1166,149,38,111,1017,756,261
"E01004283",850,326,114,212,524,444,80
"E01004284",1032,256,75,181,776,653,123
"E01004285",696,330,101,229,366,322,44
"E01004286",860,266,85,181,594,484,110
"E01004287",829,300,97,203,529,432,97
"E01004288",533,189,53,136,344,289,55
"E01004289",718,247,86,161,471,383,88
"E01004290",662,203,92,111,459,351,108
"E01004291",1281,127,45,82,1154,714,440
"E01004292",1285,151,63,88,1134,709,425
"E01004293",1468,156,47,109,1312,818,494
"E01004294",1093,181,66,115,912,605,307
"E01004295",515,213,53,160,302,245,57
"E01004296",803,193,61,132,610,464,146
"E01004297",1280,169,51,118,1111,696,415
"E01004298",656,212,79,133,444,361,83
"E01004300",497,195,76,119,302,234,68
"E01004301",497,163,54,109,334,254,80
"E01004302",730,277,75,202,453,372,81
"E01004303",1068,280,91,189,788,545,243
"E01004304",672,231,73,158,441,359,82
"E01004305",715,264,91,173,451,347,104
"E01004306",967,194,68,126,773,507,266
"E01004307",1367,211,80,131,1156,661,495
"E01004308",678,202,74,128,476,390,86
"E01004309",1137,396,160,236,741,547,194
"E01004310",949,272,99,173,677,503,174
"E01004311",651,180,63,117,471,382,89
"E01004312",680,215,61,154,465,402,63
"E01004313",933,216,56,160,717,562,155
"E01004314",670,132,46,86,538,353,185
"E01004315",887,215,78,137,672,488,184
"E01004316",565,149,57,92,416,320,96
"E01004317",1702,300,97,203,1402,951,451
"E01004318",666,218,61,157,448,369,79
"E01004319",720,268,97,171,452,354,98
"E01004321",784,246,91,155,538,407,131
"E01004322",502,141,60,81,361,290,71
"E01004323",685,211,77,134,474,381,93
"E01004324",600,244,76,168,356,294,62
"E01004325",1564,202,76,126,1362,922,440
"E01004326",694,202,69,133,492,401,91
"E01032764",830,142,56,86,688,513,175
"E01032765",784,154,61,93,630,474,156
"E01032766",799,151,53,98,648,406,242
"E01032767",1220,92,36,56,1128,613,515
"E01032768",974,84,38,46,890,504,386
"E01032769",792,104,37,67,688,412,276
"E01032770",723,83,38,45,640,437,203
"E01032771",624,63,26,37,561,299,262
"E01032772",591,108,45,63,483,323,160
"E01032773",932,107,38,69,825,555,270
"E01032774",651,130,44,86,521,338,183
"E01032775",788,78,30,48,710,468,242
"E01032776",763,63,24,39,700,433,267
"E01032777",691,98,33,65,593,429,164
"E01032778",721,81,28,53,640,439,201
"E01032779",698,75,28,47,623,364,259
"E01032780",985,75,31,44,910,580,330
"E01032781",1108,107,41,66,1001,595,406
"E01032782",817,136,46,90,681,386,295
"E01032783",865,125,43,82,740,557,183
"E01032784",896,147,69,78,749,574,175
"E01032785",851,107,27,80,744,550,194
"E01032786",704,209,59,150,495,412,83
"E01032787",959,361,115,246,598,500,98
