"GeographyCode","KS105EW0001","KS105EW0002","KS105EW0003","KS105EW0004","KS105EW0005","KS105EW0006","KS105EW0007","KS105EW0008","KS105EW0009","KS105EW0010","KS105EW0011","KS105EW0012","KS105EW0013","KS105EW0014","KS105EW0015","KS105EW0016","KS105EW0017","KS105EW0018","KS105EW0019","KS105EW0020","KS105EW0021","KS105EW0022","KS105EW0023","KS105EW0024","KS105EW0025","KS105EW0026","KS105EW0027","KS105EW0028","KS105EW0029","KS105EW0030","KS105EW0031"
"E00021141",117,28,30,5,1,9,7,1,3,0,10,3,15,0,1,4,23.9316239316239,25.6410256410256,4.27350427350427,0.854700854700855,7.69230769230769,5.98290598290598,0.854700854700855,2.56410256410256,0,8.54700854700855,2.56410256410256,12.8205128205128,0,0.854700854700855,3.41880341880342
"E00021143",138,16,21,2,6,24,5,4,3,0,15,5,8,1,3,25,11.5942028985507,15.2173913043478,1.44927536231884,4.34782608695652,17.3913043478261,3.6231884057971,2.89855072463768,2.17391304347826,0,10.8695652173913,3.6231884057971,5.79710144927536,0.72463768115942,2.17391304347826,18.1159420289855
"E00021145",104,6,35,4,5,10,1,6,6,3,1,5,1,0,0,21,5.76923076923077,33.6538461538462,3.84615384615385,4.80769230769231,9.61538461538462,0.961538461538462,5.76923076923077,5.76923076923077,2.88461538461538,0.961538461538462,4.80769230769231,0.961538461538462,0,0,20.1923076923077
"E00021146",143,3,44,1,6,4,1,16,1,1,1,1,1,16,0,47,2.0979020979021,30.7692307692308,0.699300699300699,4.1958041958042,2.7972027972028,0.699300699300699,11.1888111888112,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,11.1888111888112,0,32.8671328671329
"E00021147",83,5,19,4,4,13,3,2,3,2,12,2,1,0,0,13,6.02409638554217,22.8915662650602,4.81927710843374,4.81927710843374,15.6626506024096,3.6144578313253,2.40963855421687,3.6144578313253,2.40963855421687,14.4578313253012,2.40963855421687,1.20481927710843,0,0,15.6626506024096
"E00021148",119,12,30,2,8,10,4,8,0,0,9,8,4,1,0,23,10.0840336134454,25.2100840336134,1.68067226890756,6.72268907563025,8.40336134453782,3.36134453781513,6.72268907563025,0,0,7.56302521008403,6.72268907563025,3.36134453781513,0.840336134453782,0,19.327731092437
"E00021149",126,8,31,2,5,24,2,6,8,2,17,4,5,2,0,10,6.34920634920635,24.6031746031746,1.58730158730159,3.96825396825397,19.047619047619,1.58730158730159,4.76190476190476,6.34920634920635,1.58730158730159,13.4920634920635,3.17460317460317,3.96825396825397,1.58730158730159,0,7.93650793650794
"E00021150",116,8,20,5,7,11,4,6,6,0,12,8,7,2,0,20,6.89655172413793,17.2413793103448,4.31034482758621,6.03448275862069,9.48275862068965,3.44827586206897,5.17241379310345,5.17241379310345,0,10.3448275862069,6.89655172413793,6.03448275862069,1.72413793103448,0,17.2413793103448
"E00021151",113,16,35,2,4,14,5,2,1,0,14,5,5,0,1,9,14.1592920353982,30.9734513274336,1.76991150442478,3.53982300884956,12.3893805309735,4.42477876106195,1.76991150442478,0.884955752212389,0,12.3893805309735,4.42477876106195,4.42477876106195,0,0.884955752212389,7.9646017699115
"E00021152",138,11,40,4,6,25,6,5,2,0,11,4,9,0,0,15,7.97101449275362,28.9855072463768,2.89855072463768,4.34782608695652,18.1159420289855,4.34782608695652,3.6231884057971,1.44927536231884,0,7.97101449275362,2.89855072463768,6.52173913043478,0,0,10.8695652173913
