"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E02000864",8297,5755,8,13,128,124,149,420,574,281,339,340,166
"E02000865",7051,4407,5,10,52,119,198,531,560,230,323,419,197
"E02000866",9662,6834,3,15,101,162,211,396,529,274,400,479,258
"E02000867",9761,6420,5,11,72,120,159,470,592,359,573,653,327
"E02000868",6632,3977,3,6,50,89,172,435,481,268,351,511,289
"E02000869",5705,3448,1,10,55,103,151,357,482,241,261,369,227
"E02000870",6477,4210,3,13,54,88,139,380,442,236,289,419,204
"E02000871",8591,4773,0,12,82,142,323,783,778,409,477,541,271
"E02000872",7501,4311,0,17,56,136,213,524,598,334,383,569,360
"E02000873",8713,4808,1,14,38,111,224,541,661,323,450,613,929
"E02000874",7129,3946,1,10,46,128,226,636,581,254,305,507,489
"E02000875",9440,5518,5,19,66,143,261,814,876,455,433,575,275
"E02000876",7037,3776,1,10,43,167,291,579,542,251,361,664,352
"E02000877",9803,5445,5,11,87,149,312,805,876,430,573,714,396
"E02000878",10286,5074,1,17,90,263,410,783,810,455,603,951,829
"E02000879",7634,4507,1,12,78,157,282,503,615,280,372,528,299
"E02000880",5776,3108,4,10,46,102,234,490,475,247,336,453,271
"E02000881",6909,4208,0,7,49,97,199,542,606,358,316,361,166
"E02000882",8604,5265,6,9,50,161,313,786,755,351,351,431,126
"E02000883",7950,4779,4,11,74,103,184,625,685,396,400,439,250
"E02000884",9086,4499,1,9,60,187,367,616,638,479,643,1049,538
"E02000885",6895,3842,2,21,70,150,270,566,613,366,371,427,197
"E02000886",7326,3996,2,13,51,123,236,417,618,352,561,619,338
"E02000887",8660,4989,3,7,79,124,221,627,743,457,485,625,300
"E02000888",8215,4450,1,14,35,126,246,558,660,408,610,705,402
"E02000889",6616,3794,1,14,52,109,207,415,514,267,428,527,288
"E02000890",5795,3470,2,9,45,74,138,198,400,254,372,552,281
"E02000891",12678,5955,6,5,35,101,231,610,998,848,1303,1616,970
"E02000893",6783,4052,1,11,49,55,144,313,497,299,432,586,344
"E02000894",10137,5173,1,2,38,93,246,444,653,582,905,1213,787
"E02006853",7064,3376,1,7,27,77,161,330,539,469,572,823,682
"E02006854",5883,2497,0,2,14,40,104,214,497,434,604,827,650
