"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E00021141",117,3,1,4,14,82,10,3,0,2.56410256410256,0.854700854700855,3.41880341880342,11.965811965812,70.0854700854701,8.54700854700855,2.56410256410256,0
"E00021143",138,6,21,0,83,5,22,0,1,4.34782608695652,15.2173913043478,0,60.1449275362319,3.6231884057971,15.9420289855072,0,0.72463768115942
"E00021145",104,6,13,0,8,56,19,1,1,5.76923076923077,12.5,0,7.69230769230769,53.8461538461538,18.2692307692308,0.961538461538462,0.961538461538462
"E00021146",143,13,27,1,2,14,82,3,1,9.09090909090909,18.8811188811189,0.699300699300699,1.3986013986014,9.79020979020979,57.3426573426573,2.0979020979021,0.699300699300699
"E00021147",83,11,6,0,4,40,19,1,2,13.2530120481928,7.2289156626506,0,4.81927710843374,48.1927710843374,22.8915662650602,1.20481927710843,2.40963855421687
"E00021148",119,8,14,2,40,21,27,4,3,6.72268907563025,11.7647058823529,1.68067226890756,33.6134453781513,17.6470588235294,22.6890756302521,3.36134453781513,2.52100840336134
"E00021149",126,9,16,1,22,59,15,3,1,7.14285714285714,12.6984126984127,0.793650793650794,17.4603174603175,46.8253968253968,11.9047619047619,2.38095238095238,0.793650793650794
"E00021150",116,10,17,0,69,3,17,0,0,8.62068965517241,14.6551724137931,0,59.4827586206897,2.58620689655172,14.6551724137931,0,0
"E00021151",113,1,3,0,19,70,20,0,0,0.884955752212389,2.65486725663717,0,16.8141592920354,61.9469026548673,17.6991150442478,0,0
"E00021152",138,6,21,0,57,38,15,0,1,4.34782608695652,15.2173913043478,0,41.304347826087,27.536231884058,10.8695652173913,0,0.72463768115942
"E00021153",149,3,18,0,3,4,117,2,2,2.01342281879195,12.0805369127517,0,2.01342281879195,2.68456375838926,78.5234899328859,1.34228187919463,1.34228187919463
"E00021154",121,5,7,7,62,22,16,0,2,4.13223140495868,5.78512396694215,5.78512396694215,51.2396694214876,18.1818181818182,13.2231404958678,0,1.65289256198347
"E00021155",172,15,40,1,0,8,102,6,0,8.72093023255814,23.2558139534884,0.581395348837209,0,4.65116279069767,59.3023255813954,3.48837209302326,0
"E00021156",133,7,7,1,51,37,27,2,1,5.26315789473684,5.26315789473684,0.75187969924812,38.3458646616541,27.8195488721804,20.3007518796992,1.50375939849624,0.75187969924812
"E00021157",106,5,7,2,35,36,20,1,0,4.71698113207547,6.60377358490566,1.88679245283019,33.0188679245283,33.9622641509434,18.8679245283019,0.943396226415094,0
"E00021158",107,2,7,0,41,47,9,0,1,1.86915887850467,6.54205607476635,0,38.3177570093458,43.9252336448598,8.41121495327103,0,0.934579439252336
"E00021159",246,18,47,0,49,72,47,9,4,7.31707317073171,19.1056910569106,0,19.9186991869919,29.2682926829268,19.1056910569106,3.65853658536585,1.6260162601626
"E00021160",112,12,11,0,53,6,28,1,1,10.7142857142857,9.82142857142857,0,47.3214285714286,5.35714285714286,25,0.892857142857143,0.892857142857143
"E00021161",154,23,26,0,25,45,29,2,4,14.9350649350649,16.8831168831169,0,16.2337662337662,29.2207792207792,18.8311688311688,1.2987012987013,2.5974025974026
"E00021162",121,9,14,1,57,4,34,1,1,7.43801652892562,11.5702479338843,0.826446280991736,47.1074380165289,3.30578512396694,28.099173553719,0.826446280991736,0.826446280991736
"E00021163",119,14,13,1,22,45,19,4,1,11.7647058823529,10.9243697478992,0.840336134453782,18.4873949579832,37.8151260504202,15.9663865546218,3.36134453781513,0.840336134453782
"E00021164",128,12,8,0,31,68,6,1,2,9.375,6.25,0,24.21875,53.125,4.6875,0.78125,1.5625
"E00021165",122,5,14,1,65,14,21,0,2,4.0983606557377,11.4754098360656,0.819672131147541,53.2786885245902,11.4754098360656,17.2131147540984,0,1.63934426229508
"E00021166",126,9,14,0,30,27,45,1,0,7.14285714285714,11.1111111111111,0,23.8095238095238,21.4285714285714,35.7142857142857,0.793650793650794,0
"E00021167",128,22,26,0,17,19,38,5,1,17.1875,20.3125,0,13.28125,14.84375,29.6875,3.90625,0.78125
"E00021168",169,12,43,1,2,2,101,6,2,7.10059171597633,25.4437869822485,0.591715976331361,1.18343195266272,1.18343195266272,59.7633136094675,3.55029585798817,1.18343195266272
"E00021169",189,19,36,13,23,40,50,6,2,10.0529100529101,19.047619047619,6.87830687830688,12.1693121693122,21.1640211640212,26.4550264550265,3.17460317460317,1.05820105820106
"E00021170",162,6,15,0,103,4,27,7,0,3.7037037037037,9.25925925925926,0,63.5802469135803,2.46913580246914,16.6666666666667,4.32098765432099,0
"E00021171",241,7,27,0,82,48,72,2,3,2.9045643153527,11.2033195020747,0,34.0248962655602,19.9170124481328,29.8755186721992,0.829875518672199,1.2448132780083
"E00021172",125,9,7,3,8,76,19,2,1,7.2,5.6,2.4,6.4,60.8,15.2,1.6,0.8
"E00021173",146,12,32,0,63,8,27,3,1,8.21917808219178,21.9178082191781,0,43.1506849315069,5.47945205479452,18.4931506849315,2.05479452054794,0.684931506849315
"E00021174",128,35,41,0,1,0,49,1,1,27.34375,32.03125,0,0.78125,0,38.28125,0.78125,0.78125
"E00021175",127,16,23,4,35,2,38,4,5,12.5984251968504,18.1102362204724,3.1496062992126,27.5590551181102,1.5748031496063,29.9212598425197,3.1496062992126,3.93700787401575
