"GeographyCode","KS205EW0001","KS205EW0002","KS205EW0003","KS205EW0004","KS205EW0005","KS205EW0006","KS205EW0007","KS205EW0008","KS205EW0009","KS205EW0010","KS205EW0011","KS205EW0012","KS205EW0013","KS205EW0014","KS205EW0015","KS205EW0016","KS205EW0017","KS205EW0018","KS205EW0019","KS205EW0020","KS205EW0021","KS205EW0022","KS205EW0023","KS205EW0024","KS205EW0025"
"E02000864",8297,941,6146,119,584,38,109,296,109,3,24,82,2,11.3414487164035,74.0749668554899,1.43425334458238,7.03868868265638,0.45799686633723,1.313727853441,3.56755453778474,1.313727853441,0.0361576473424129,0.289261178739303,0.988309027359286,0.0241050982282753
"E02000865",7051,576,5217,122,547,71,78,359,97,0,30,120,0,8.16905403488867,73.9895050347469,1.73025102822295,7.75776485604879,1.00694936888385,1.10622606722451,5.09147638632818,1.37569139129202,0,0.425471564317118,1.70188625726847,0
"E02000866",9662,774,7347,190,674,77,132,407,175,3,40,180,1,8.01076381701511,76.0401573173256,1.96646657006831,6.975781411716,0.796936452080315,1.36617677499483,4.21237838956738,1.81121920927344,0.0310494721589733,0.413992962119644,1.8629683295384,0.0103498240529911
"E02000867",9761,658,7121,161,851,60,113,606,122,10,82,189,2,6.74111259092306,72.9535908206126,1.64942116586415,8.71836901956767,0.614691117713349,1.15766827169347,6.20838028890483,1.24987193935048,0.102448519618892,0.84007786087491,1.93627702079705,0.0204897039237783
"E02000868",6632,415,4741,149,708,66,69,310,152,8,33,197,0,6.25753920386007,71.4867310012063,2.24668275030157,10.6755126658625,0.995174909529554,1.04041013268999,4.67430639324487,2.291917973462,0.120627261761158,0.497587454764777,2.97044632086852,0
"E02000869",5705,405,4068,130,579,60,117,242,129,3,42,130,0,7.09903593339176,71.3058720420684,2.27870289219982,10.1489921121823,1.05170902716915,2.05083260297984,4.2418930762489,2.26117440841367,0.0525854513584575,0.736196319018405,2.27870289219982,0
"E02000870",6477,543,4768,95,570,51,53,281,101,4,54,128,0,8.38351088466883,73.6143276208121,1.46672842365293,8.80037054191755,0.78740157480315,0.818280067932685,4.33842828469971,1.55936390304153,0.0617569862590706,0.833719314497453,1.97622356029026,0
"E02000871",8591,695,6220,75,520,54,163,873,74,3,22,55,0,8.08986148294727,72.4013502502619,0.873006634850425,6.05284600162961,0.628564777092306,1.89733441974159,10.1617972296589,0.861366546385752,0.034920265394017,0.256081946222791,0.640204865556978,0
"E02000872",7501,425,5360,128,728,70,101,433,210,3,48,228,1,5.66591121183842,71.4571390481269,1.70643914144781,9.7053726169844,0.933208905479269,1.34648713504866,5.77256365817891,2.79962671643781,0.039994667377683,0.639914678042928,3.03959472070391,0.013331555792561
"E02000873",8713,477,5993,102,767,97,149,1028,138,2,37,122,1,5.47457821645817,68.7822793526914,1.17066452427407,8.80293813841386,1.11327900837829,1.71008837369448,11.798462068174,1.58384023872375,0.0229542063583152,0.42465281762883,1.40020658785722,0.0114771031791576
"E02000874",7129,502,5086,83,521,61,91,723,64,3,36,83,1,7.04166082199467,71.3424042642727,1.1642586618039,7.30817786505821,0.855659980361902,1.27647636414644,10.1416748492075,0.897741618740356,0.0420816383784542,0.50497966054145,1.1642586618039,0.0140272127928181
"E02000875",9440,826,6924,101,572,58,181,768,78,13,38,71,3,8.75,73.3474576271186,1.06991525423729,6.05932203389831,0.614406779661017,1.91737288135593,8.13559322033898,0.826271186440678,0.13771186440678,0.402542372881356,0.752118644067797,0.0317796610169492
"E02000876",7037,341,5002,88,633,61,81,742,94,3,44,158,0,4.84581497797357,71.0814267443513,1.25053289754157,8.99531050163422,0.86684666761404,1.15105868978258,10.5442660224527,1.33579650419213,0.0426318033252807,0.625266448770783,2.24527497513145,0
"E02000877",9803,729,6982,75,751,46,149,1016,76,4,49,86,2,7.43649903090891,71.2230949709273,0.765071916760175,7.66092012649189,0.469244108946241,1.51994287463022,10.3641742323778,0.775272875650311,0.0408038355605427,0.499846985616648,0.877282464551668,0.0204019177802713
"E02000878",10286,407,6947,142,1363,150,130,816,303,5,67,305,3,3.9568345323741,67.5384017110636,1.38051720785534,13.2510208049776,1.4582928251993,1.26385378183939,7.93311296908419,2.94575150690259,0.0486097608399767,0.651370795255687,2.96519541123858,0.029165856503986
"E02000879",7634,508,5605,81,589,48,85,656,84,2,51,90,1,6.65444066020435,73.4215352370972,1.061042703694,7.71548336389835,0.628766046633482,1.11343987424679,8.59313597065758,1.10034058160859,0.0261985852763951,0.668063924548074,1.17893633743778,0.0130992926381975
"E02000880",5776,298,4109,61,510,47,79,587,95,1,32,76,1,5.15927977839335,71.1391966759003,1.05609418282548,8.82963988919668,0.813711911357341,1.36772853185596,10.1627423822715,1.64473684210526,0.0173130193905817,0.554016620498615,1.31578947368421,0.0173130193905817
"E02000881",6909,668,5061,42,462,40,120,518,50,0,34,31,0,9.66854827037198,73.2522796352584,0.60790273556231,6.68693009118541,0.578954986249819,1.73686495874946,7.49746707193516,0.723693732812274,0,0.492111738312346,0.44869011434361,0
"E02000882",8604,610,6711,58,448,40,101,612,75,0,31,62,0,7.08972570897257,77.9986052998605,0.674105067410507,5.20688052068805,0.464900046490005,1.17387261738726,7.11297071129707,0.871687587168759,0,0.360297536029754,0.720595072059507,0
"E02000883",7950,897,5650,55,515,61,122,619,50,2,36,45,0,11.2830188679245,71.0691823899371,0.691823899371069,6.47798742138365,0.767295597484277,1.53459119496855,7.78616352201258,0.628930817610063,0.0251572327044025,0.452830188679245,0.566037735849057,0
