"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E02000864",3468,576,1758,409,725
"E02000865",2763,463,1332,331,637
"E02000866",3829,662,1946,500,721
"E02000867",4307,672,2225,484,926
"E02000868",2618,386,1286,308,638
"E02000869",2485,413,1271,290,511
"E02000870",2560,439,1184,329,608
"E02000871",3107,400,1331,419,957
"E02000872",3088,460,1539,331,758
"E02000873",2792,493,1260,339,700
"E02000874",2494,310,1104,325,755
"E02000875",3437,445,1501,438,1053
"E02000876",2750,315,1353,303,779
"E02000877",3252,503,1291,455,1003
"E02000878",3900,552,1978,349,1021
"E02000879",2855,439,1337,310,769
"E02000880",2090,323,886,279,602
"E02000881",2379,362,949,380,688
"E02000882",2884,415,1173,395,901
"E02000883",2880,556,1132,394,798
"E02000884",3707,459,1877,410,961
"E02000885",2509,340,1166,290,713
"E02000886",3185,600,1581,331,673
"E02000887",3165,486,1311,453,915
"E02000888",3306,546,1506,366,888
"E02000889",2879,523,1462,301,593
"E02000890",3093,729,1572,266,526
"E02000891",5742,992,2752,683,1315
"E02000893",2912,574,1382,404,552
"E02000894",4510,888,2174,559,889
"E02006853",3320,525,1657,302,836
"E02006854",2991,584,1512,281,614
