"GeographyCode","QS803EW0001","QS803EW0002","QS803EW0003","QS803EW0004","QS803EW0005","QS803EW0006"
"E02000864",8297,5755,275,308,516,1443
"E02000865",7051,4407,350,350,450,1494
"E02000866",9662,6834,418,445,526,1439
"E02000867",9761,6420,520,643,718,1460
"E02000868",6632,3977,480,429,492,1254
"E02000869",5705,3448,332,327,390,1208
"E02000870",6477,4210,326,373,415,1153
"E02000871",8591,4773,460,516,686,2156
"E02000872",7501,4311,557,488,565,1580
"E02000873",8713,4808,1161,508,616,1620
"E02000874",7129,3946,669,410,455,1649
"E02000875",9440,5518,460,539,692,2231
"E02000876",7037,3776,593,530,481,1657
"E02000877",9803,5445,628,647,806,2277
"E02000878",10286,5074,1152,821,827,2412
"E02000879",7634,4507,477,456,521,1673
"E02000880",5776,3108,425,386,472,1385
"E02000881",6909,4208,294,315,557,1535
"E02000882",8604,5265,257,399,566,2117
"E02000883",7950,4779,397,403,657,1714
"E02000884",9086,4499,858,919,896,1914
"E02000885",6895,3842,339,408,568,1738
"E02000886",7326,3996,516,589,732,1493
"E02000887",8660,4989,507,547,771,1846
"E02000888",8215,4450,591,675,822,1677
"E02000889",6616,3794,457,487,546,1332
"E02000890",5795,3470,410,540,490,885
"E02000891",12678,5955,1455,1545,1676,2047
"E02000893",6783,4052,505,546,582,1098
"E02000894",10137,5173,1157,1141,1152,1514
"E02006853",7064,3376,919,726,864,1179
"E02006854",5883,2497,853,808,812,913
