"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E02000864",3468,66,2501,628,2,1,105,165
"E02000865",2763,66,1970,318,16,0,231,162
"E02000866",3829,97,2907,382,35,3,237,168
"E02000867",4307,173,2203,1624,4,3,117,183
"E02000868",2618,78,1964,383,3,0,57,133
"E02000869",2485,55,1943,203,17,0,134,133
"E02000870",2560,103,1917,350,4,0,51,135
"E02000871",3107,53,1869,695,22,2,276,190
"E02000872",3088,94,1942,704,17,0,174,157
"E02000873",2792,94,1697,745,8,1,89,158
"E02000874",2494,44,1818,264,5,2,187,174
"E02000875",3437,64,2335,545,15,3,251,224
"E02000876",2750,134,1504,756,14,0,204,138
"E02000877",3252,38,2254,457,5,5,279,214
"E02000878",3900,136,2719,696,11,2,123,213
"E02000879",2855,74,2093,385,18,3,126,156
"E02000880",2090,48,1351,280,23,1,270,117
"E02000881",2379,38,1767,245,28,1,113,187
"E02000882",2884,50,1691,811,12,0,169,151
"E02000883",2880,72,2096,303,59,1,143,206
"E02000884",3707,211,1786,1371,13,2,159,165
"E02000885",2509,69,1485,473,39,1,292,150
"E02000886",3185,108,1892,827,13,0,197,148
"E02000887",3165,31,2503,266,4,1,132,228
"E02000888",3306,121,1640,1206,14,0,155,170
"E02000889",2879,82,1911,667,7,0,79,133
"E02000890",3093,135,1602,1027,37,2,193,97
"E02000891",5742,253,2513,2442,20,7,285,222
"E02000893",2912,62,2266,288,8,2,116,170
"E02000894",4510,265,1820,2048,32,0,202,143
"E02006853",3320,60,1387,1236,93,0,389,155
"E02006854",2991,122,861,1442,19,1,451,95
