"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E01004197",964,183,452,109,220
"E01004198",606,84,315,62,145
"E01004199",574,74,256,85,159
"E01004200",585,80,295,78,132
"E01004201",619,122,309,75,113
"E01004202",713,92,326,72,223
"E01004203",689,112,348,82,147
"E01004204",631,102,317,76,136
"E01004205",688,69,282,95,242
"E01004206",554,53,281,67,153
"E01004207",515,76,247,62,130
"E01004208",788,128,367,89,204
"E01004209",466,53,192,63,158
"E01004211",720,65,423,52,180
"E01004212",720,95,374,66,185
"E01004214",665,95,305,92,173
"E01004215",1168,204,557,153,254
"E01004216",737,129,381,117,110
"E01004217",779,169,366,101,143
"E01004218",731,181,330,94,126
"E01004219",851,102,366,115,268
"E01004221",802,173,363,94,172
"E01004222",1048,144,555,126,223
"E01004223",938,176,492,105,165
"E01004224",806,149,411,93,153
"E01004225",1147,188,619,93,247
"E01004226",676,107,300,85,184
"E01004228",769,143,404,114,108
"E01004229",551,91,249,72,139
"E01004230",803,126,389,100,188
"E01004231",629,90,283,88,168
"E01004232",603,120,322,83,78
"E01004233",751,131,373,81,166
"E01004234",903,142,458,122,181
"E01004235",513,52,237,54,170
"E01004236",497,62,161,77,197
"E01004237",506,81,243,63,119
"E01004238",1058,121,488,127,322
"E01004239",533,84,202,98,149
"E01004240",574,82,210,75,207
"E01004241",570,99,224,71,176
"E01004242",898,100,404,118,276
"E01004243",614,108,223,77,206
"E01004244",686,126,322,82,156
"E01004245",433,47,132,89,165
"E01004246",747,153,303,109,182
"E01004247",714,147,267,102,198
"E01004248",441,58,168,65,150
"E01004249",758,104,346,117,191
"E01004250",866,175,320,133,238
"E01004251",779,121,342,90,226
"E01004252",1107,177,503,130,297
"E01004253",829,132,340,132,225
"E01004254",1046,207,579,111,149
"E01004255",647,103,308,65,171
"E01004256",611,92,240,86,193
"E01004257",618,85,228,105,200
"E01004258",713,169,352,65,127
"E01004259",812,115,418,68,211
"E01004260",636,118,243,103,172
"E01004261",550,87,257,61,145
"E01004262",495,107,218,61,109
"E01004263",529,98,243,66,122
"E01004264",457,58,158,69,172
"E01004266",583,108,280,92,103
"E01004267",707,95,354,91,167
"E01004268",688,69,309,83,227
"E01004269",726,134,308,92,192
"E01004270",745,126,342,108,169
"E01004271",548,101,200,78,169
"E01004272",639,78,208,87,266
"E01004273",594,64,233,90,207
"E01004274",654,117,281,109,147
"E01004275",768,168,342,128,130
"E01004276",996,194,513,111,178
"E01004277",898,204,479,83,132
"E01004280",769,143,363,107,156
"E01004281",831,154,412,95,170
"E01004283",756,118,319,89,230
"E01004284",884,112,420,115,237
"E01004285",658,78,218,92,270
"E01004286",817,137,344,116,220
"E01004287",854,116,390,103,245
"E01004288",525,88,191,72,174
"E01004289",670,115,327,61,167
"E01004290",575,90,301,57,127
"E01004291",1051,227,573,50,201
"E01004292",818,202,431,90,95
"E01004293",1133,282,570,117,164
"E01004294",877,157,496,66,158
"E01004295",500,76,177,78,169
"E01004296",684,88,358,67,171
"E01004297",909,220,429,99,161
"E01004298",635,79,314,69,173
"E01004300",522,66,272,51,133
"E01004301",413,52,157,51,153
"E01004302",637,44,252,76,265
"E01004303",967,179,434,120,234
"E01004304",653,81,286,88,198
"E01004305",699,114,294,82,209
"E01004306",687,82,360,73,172
"E01004307",1014,168,580,67,199
"E01004308",504,79,225,66,134
"E01004309",902,125,430,84,263
"E01004310",793,98,383,59,253
"E01004311",644,110,334,68,132
"E01004312",628,83,322,56,167
"E01004313",812,151,361,106,194
"E01004314",493,100,248,61,84
"E01004315",718,110,374,86,148
"E01004316",455,57,220,60,118
"E01004317",1193,169,636,109,279
"E01004318",630,93,315,75,147
"E01004319",595,65,241,76,213
"E01004321",711,77,378,69,187
"E01004322",502,71,235,55,141
"E01004323",480,70,203,89,118
"E01004324",485,79,168,70,168
"E01004325",1033,108,537,138,250
"E01004326",623,103,280,65,175
"E01032764",643,95,367,66,115
"E01032765",645,112,340,88,105
"E01032766",601,102,297,60,142
"E01032767",767,107,424,67,169
"E01032768",696,136,388,60,112
"E01032769",593,135,275,59,124
"E01032770",572,67,310,36,159
"E01032771",546,130,265,57,94
"E01032772",544,89,288,39,128
"E01032773",852,129,423,65,235
"E01032774",583,97,273,55,158
"E01032775",600,122,287,52,139
"E01032776",631,93,335,35,168
"E01032777",514,81,247,67,119
"E01032778",564,93,288,61,122
"E01032779",565,103,270,69,123
"E01032780",647,143,326,89,89
"E01032781",771,149,384,74,164
"E01032782",776,101,384,67,224
"E01032783",661,133,339,64,125
"E01032784",692,96,367,77,152
"E01032785",616,102,323,65,126
"E01032786",674,139,304,83,148
"E01032787",793,86,291,134,282
