"GeographyCode","KS105EW0001","KS105EW0002","KS105EW0003","KS105EW0004","KS105EW0005","KS105EW0006","KS105EW0007","KS105EW0008","KS105EW0009","KS105EW0010","KS105EW0011","KS105EW0012","KS105EW0013","KS105EW0014","KS105EW0015","KS105EW0016","KS105EW0017","KS105EW0018","KS105EW0019","KS105EW0020","KS105EW0021","KS105EW0022","KS105EW0023","KS105EW0024","KS105EW0025","KS105EW0026","KS105EW0027","KS105EW0028","KS105EW0029","KS105EW0030","KS105EW0031"
"E02000864",3468,379,831,88,199,368,93,207,76,14,378,172,151,47,12,453,10.9284890426759,23.961937716263,2.53748558246828,5.73817762399077,10.6113033448674,2.68166089965398,5.96885813148789,2.19146482122261,0.403690888119954,10.8996539792388,4.959630911188,4.35409457900807,1.35524798154556,0.346020761245675,13.0622837370242
"E02000865",2763,213,771,45,121,376,61,144,66,12,225,109,127,32,8,453,7.70901194353963,27.9044516829533,1.62866449511401,4.37929786463988,13.6083966702859,2.20774520448788,5.21172638436482,2.38870792616721,0.434310532030402,8.14332247557003,3.94498733260948,4.59645313065509,1.15816141874774,0.289540354686935,16.3952225841477
"E02000866",3829,309,883,85,260,434,126,324,110,15,276,134,125,87,10,651,8.06999216505615,23.0608513972317,2.21990075737791,6.79028466962653,11.3345521023766,3.29067641681901,8.4617393575346,2.872812744842,0.391747192478454,7.20814834160355,3.49960825280752,3.26455993732045,2.27213371637503,0.261164794985636,17.0018281535649
"E02000867",4307,227,1216,52,323,378,64,512,64,8,361,122,119,113,4,744,5.27048990016253,28.2331088925006,1.2073368934293,7.49941954957047,8.77641049454377,1.48595309960529,11.8876247968423,1.48595309960529,0.185744137450662,8.38170420246111,2.83259809612259,2.76294404457859,2.6236359414906,0.0928720687253309,17.2742047829115
"E02000868",2618,154,696,33,144,273,46,285,42,6,133,92,101,53,5,555,5.88235294117647,26.585179526356,1.26050420168067,5.50038197097021,10.427807486631,1.75706646294882,10.8861726508785,1.60427807486631,0.229182582123759,5.08021390374332,3.51413292589763,3.85790679908327,2.0244461420932,0.190985485103132,21.1993888464477
"E02000869",2485,222,722,45,155,254,43,198,49,3,159,102,82,27,7,417,8.93360160965795,29.0543259557344,1.81086519114688,6.2374245472837,10.2213279678068,1.73038229376258,7.96780684104628,1.97183098591549,0.120724346076459,6.39839034205231,4.1046277665996,3.29979879275654,1.08651911468813,0.28169014084507,16.7806841046278
"E02000870",2560,218,625,51,94,320,74,190,52,12,222,101,110,42,3,446,8.515625,24.4140625,1.9921875,3.671875,12.5,2.890625,7.421875,2.03125,0.46875,8.671875,3.9453125,4.296875,1.640625,0.1171875,17.421875
"E02000871",3107,172,800,40,186,554,69,155,63,11,337,119,206,67,8,320,5.53588670743483,25.7483102671387,1.28741551335694,5.98648213710975,17.8307048599936,2.22079176054071,4.98873511425813,2.02767943353717,0.354039266173157,10.8464757000322,3.83006115223688,6.63018989378822,2.15642098487287,0.257483102671387,10.2993241068555
"E02000872",3088,158,891,29,149,312,52,238,49,2,205,119,116,54,4,710,5.11658031088083,28.8536269430052,0.939119170984456,4.82512953367876,10.1036269430052,1.6839378238342,7.70725388601036,1.58678756476684,0.0647668393782384,6.63860103626943,3.85362694300518,3.75647668393782,1.74870466321244,0.129533678756477,22.9922279792746
"E02000873",2792,200,691,35,152,408,56,164,46,7,191,110,143,184,3,402,7.16332378223496,24.7492836676218,1.25358166189112,5.44412607449857,14.6131805157593,2.00573065902579,5.87392550143267,1.64756446991404,0.250716332378223,6.84097421203438,3.93982808022923,5.12177650429799,6.59025787965616,0.107449856733524,14.3982808022923
"E02000874",2494,162,707,30,106,409,69,120,29,7,197,94,168,61,6,329,6.49558941459503,28.3480352846832,1.20288692862871,4.25020048115477,16.3993584603047,2.76663993584603,4.81154771451484,1.16279069767442,0.280673616680032,7.89895749799519,3.76904570970329,6.73616680032077,2.44587008821171,0.240577385725742,13.1916599839615
"E02000875",3437,165,914,38,164,620,72,173,60,3,320,172,199,79,2,456,4.80069828338667,26.592958975851,1.10561536223451,4.77160314227524,18.0389874890893,2.09485016002328,5.03345941227815,1.74570846668606,0.0872854233343032,9.310445155659,5.00436427116672,5.78993308117544,2.29851614780332,0.0581902822228688,13.2673843468141
"E02000876",2750,134,884,20,158,348,53,218,21,4,137,61,144,73,6,489,4.87272727272727,32.1454545454545,0.727272727272727,5.74545454545455,12.6545454545455,1.92727272727273,7.92727272727273,0.763636363636364,0.145454545454545,4.98181818181818,2.21818181818182,5.23636363636364,2.65454545454545,0.218181818181818,17.7818181818182
"E02000877",3252,204,674,38,143,639,66,132,68,10,316,141,207,109,4,501,6.27306273062731,20.7257072570726,1.16851168511685,4.39729397293973,19.6494464944649,2.02952029520295,4.0590405904059,2.0910209102091,0.30750307503075,9.71709717097171,4.33579335793358,6.36531365313653,3.35178351783518,0.1230012300123,15.4059040590406
"E02000878",3900,192,1275,26,234,414,92,342,31,2,120,108,195,94,2,773,4.92307692307692,32.6923076923077,0.666666666666667,6,10.6153846153846,2.35897435897436,8.76923076923077,0.794871794871795,0.0512820512820513,3.07692307692308,2.76923076923077,5,2.41025641025641,0.0512820512820513,19.8205128205128
"E02000879",2855,309,721,63,152,420,73,153,44,6,175,116,144,95,9,375,10.8231173380035,25.2539404553415,2.20665499124343,5.32399299474606,14.7110332749562,2.5569176882662,5.35901926444834,1.54115586690018,0.21015761821366,6.12959719789842,4.0630472854641,5.04378283712785,3.32749562171629,0.31523642732049,13.1348511383538
"E02000880",2090,173,549,28,98,324,42,103,33,4,109,80,132,62,4,349,8.27751196172249,26.2679425837321,1.33971291866029,4.688995215311,15.5023923444976,2.00956937799043,4.92822966507177,1.57894736842105,0.191387559808612,5.21531100478469,3.82775119617225,6.31578947368421,2.96650717703349,0.191387559808612,16.6985645933014
"E02000881",2379,172,551,23,117,438,80,106,65,14,302,110,176,18,8,199,7.22992854140395,23.160992013451,0.966792770071459,4.91803278688525,18.4110970996217,3.36275746111812,4.4556536359815,2.73224043715847,0.58848255569567,12.6944094157209,4.62379150903741,7.39806641445986,0.756620428751576,0.336275746111812,8.36485918453132
"E02000882",2884,220,666,38,156,600,75,156,66,7,245,131,216,25,3,280,7.62829403606103,23.0929264909847,1.31761442441054,5.40915395284327,20.8044382801664,2.6005547850208,5.40915395284327,2.28848821081831,0.242718446601942,8.49514563106796,4.54230235783634,7.48959778085992,0.866851595006935,0.104022191400832,9.70873786407767
"E02000883",2880,244,680,56,129,483,89,90,67,13,367,164,181,34,8,275,8.47222222222222,23.6111111111111,1.94444444444444,4.47916666666667,16.7708333333333,3.09027777777778,3.125,2.32638888888889,0.451388888888889,12.7430555555556,5.69444444444444,6.28472222222222,1.18055555555556,0.277777777777778,9.54861111111111
"E02000884",3707,107,1166,18,241,333,52,340,31,3,142,73,173,119,3,906,2.88643107634206,31.4540059347181,0.48556784461829,6.50121391961155,8.98300512543836,1.4027515511195,9.17183706501214,0.836255732398166,0.0809279741030483,3.83059077421095,1.96924736984084,4.66684650660912,3.21014297275425,0.0809279741030483,24.4402481791206
