"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E00021141",241,1,15,13,23,1,1,15,0,5,14,0,153
"E00021143",261,5,49,5,29,0,0,21,2,14,19,1,116
"E00021145",217,9,52,3,15,1,1,10,2,21,26,0,77
"E00021146",448,14,93,15,27,0,0,12,3,45,40,4,195
"E00021147",164,3,37,8,15,0,1,16,0,8,14,2,60
"E00021148",222,4,55,12,19,2,0,13,0,17,15,0,85
"E00021149",229,10,34,11,25,0,1,14,1,9,11,0,113
"E00021150",223,5,46,9,30,2,0,17,1,4,16,1,92
"E00021151",194,1,24,6,28,0,0,12,2,10,7,1,103
"E00021152",276,9,26,7,24,0,1,25,0,16,23,0,145
"E00021153",322,14,102,15,25,1,3,5,3,56,43,2,53
"E00021154",283,4,25,6,34,0,0,18,2,11,24,1,158
"E00021155",327,10,84,16,64,2,2,12,1,40,45,2,49
"E00021156",177,4,28,9,24,1,0,16,0,7,10,3,75
"E00021157",221,1,33,7,27,0,0,21,1,8,23,0,100
"E00021158",217,0,21,8,26,0,1,16,2,9,8,0,126
"E00021159",435,11,75,9,25,0,2,23,5,41,58,0,186
"E00021160",233,5,55,2,13,0,0,12,0,15,19,0,112
"E00021161",310,12,51,17,29,2,0,30,1,21,39,1,107
"E00021162",296,10,72,20,26,0,1,19,1,17,15,2,113
"E00021163",242,7,27,10,22,0,1,16,1,7,19,0,132
"E00021164",192,8,31,9,16,1,1,15,0,6,16,1,88
"E00021165",246,8,37,15,15,0,0,15,0,9,30,5,112
"E00021166",286,3,65,9,23,1,1,21,0,23,30,0,110
"E00021167",236,16,48,8,19,0,1,6,3,24,29,0,82
"E00021168",359,17,159,8,34,2,1,10,3,38,45,2,40
"E00021169",380,14,64,12,47,1,2,26,2,58,33,3,118
"E00021170",327,7,44,16,36,0,2,27,1,12,33,2,147
"E00021171",489,17,70,14,52,2,2,36,1,23,33,2,237
"E00021172",233,8,41,4,19,1,3,18,5,21,17,1,95
"E00021173",280,12,49,12,25,2,3,17,2,27,27,1,103
"E00021174",219,19,59,9,35,0,1,8,0,47,21,0,20
"E00021175",246,9,59,9,27,2,2,14,0,26,31,0,67
"E00021176",234,6,57,16,26,1,0,15,1,16,23,2,71
"E00021177",296,4,43,6,26,0,0,19,2,21,19,0,156
"E00021179",290,11,94,8,19,0,3,9,0,18,23,1,104
"E00021180",335,8,60,19,24,1,2,12,0,15,38,0,156
"E00021181",203,9,53,10,13,1,0,12,0,16,17,2,70
"E00021182",315,15,92,12,29,0,1,10,0,35,45,0,76
"E00021183",221,5,81,8,13,0,2,9,1,28,32,0,42
"E00021184",131,4,37,9,9,0,0,11,1,6,19,0,35
"E00021185",240,2,70,7,24,2,0,30,2,11,18,0,74
"E00021186",333,3,47,14,17,1,0,24,2,8,27,2,188
"E00021187",190,4,29,16,10,0,0,8,2,5,13,0,103
"E00021188",243,5,41,5,14,5,1,17,0,4,21,1,129
"E00021189",305,5,52,10,32,1,1,9,2,4,25,3,161
"E00021190",397,15,132,18,24,0,3,10,0,16,37,2,140
"E00021191",297,3,67,15,13,0,0,19,2,15,29,0,134
"E00021192",233,2,49,8,20,0,1,13,0,8,15,0,117
"E00021193",314,12,116,11,11,0,1,10,0,22,62,1,68
"E00021194",408,7,49,23,30,1,1,23,2,18,40,3,211
"E00021195",286,4,67,10,16,1,0,20,2,6,22,2,136
"E00021196",245,5,34,8,18,0,0,19,3,6,13,5,134
"E00021197",459,10,124,11,17,3,4,21,3,19,32,1,214
"E00021198",214,5,51,8,15,0,0,13,1,6,10,1,104
"E00021199",143,5,29,8,9,1,2,13,0,3,7,1,65
"E00021200",246,2,47,3,14,0,1,16,0,19,22,2,120
"E00021201",232,1,48,9,18,0,1,15,0,12,30,2,96
"E00021202",179,1,28,7,9,2,0,17,1,4,15,1,94
"E00021203",189,9,35,6,17,0,0,9,0,11,12,1,89
"E00021204",336,6,59,8,14,1,1,26,1,14,31,2,173
"E00021205",245,0,42,10,23,0,0,10,1,3,21,0,135
"E00021206",153,1,20,4,13,0,0,16,0,2,10,1,86
"E00021207",232,11,90,10,19,0,0,6,0,22,30,1,43
"E00021208",223,4,32,13,13,1,1,15,2,3,16,0,123
"E00021209",179,1,42,7,14,0,1,9,0,2,18,2,83
"E00021210",224,3,34,10,18,1,0,22,0,13,19,1,103
"E00021211",300,7,80,15,26,1,0,18,4,17,23,3,106
"E00021212",203,3,32,10,12,0,2,9,1,4,16,3,111
"E00021213",298,4,50,10,19,1,1,14,4,10,25,2,158
"E00021214",394,8,83,13,18,0,3,14,3,10,29,1,212
"E00021215",423,6,111,5,26,0,1,20,2,18,40,4,190
"E00021216",260,2,47,11,18,1,3,13,0,8,25,0,132
"E00021217",426,10,53,9,13,1,0,18,2,16,25,3,276
"E00021218",399,8,147,8,33,0,0,44,3,16,23,5,112
"E00021219",194,7,54,8,13,2,0,26,0,11,10,3,60
"E00021220",287,12,143,9,14,0,3,18,2,5,17,3,61
"E00021223",353,17,150,14,15,1,2,29,0,3,59,1,62
"E00021224",329,9,99,12,19,2,1,25,2,5,41,2,112
"E00021225",222,1,64,5,21,1,2,21,2,4,17,0,84
"E00021227",214,2,72,2,12,2,0,30,0,5,31,0,58
"E00021228",268,2,67,10,18,1,3,31,2,7,17,0,110
"E00021229",215,0,39,11,15,0,2,25,2,3,14,1,103
"E00021230",204,5,75,7,9,2,1,23,2,7,6,3,64
"E00021231",169,4,42,4,10,0,1,32,0,3,8,3,62
"E00021235",242,3,18,13,17,3,0,19,1,0,11,1,156
"E00021236",236,8,56,14,30,0,0,16,1,4,25,1,81
"E00021238",366,14,132,11,8,1,3,28,0,12,78,1,78
"E00021239",253,11,106,7,1,0,1,15,1,3,63,1,44
"E00021240",283,12,128,5,9,3,0,21,1,13,50,3,38
"E00021241",249,9,95,11,11,1,2,25,1,7,42,2,43
"E00021243",269,6,55,7,14,2,0,34,1,2,26,1,121
"E00021244",185,2,32,2,16,0,0,16,0,3,4,0,110
"E00021245",176,4,40,9,6,1,0,12,1,1,20,0,82
