"GeographyCode","QS117EW0001","QS117EW0002","QS117EW0003"
"E01004197",1709,360,1349
"E01004198",1029,191,838
"E01004199",994,206,788
"E01004200",1164,175,989
"E01004201",1074,208,866
"E01004202",1331,253,1078
"E01004203",1341,192,1149
"E01004204",1029,195,834
"E01004205",1421,227,1194
"E01004206",1023,205,818
"E01004207",926,174,752
"E01004208",1526,265,1261
"E01004209",870,168,702
"E01004211",1261,292,969
"E01004212",1195,313,882
"E01004214",1041,298,743
"E01004215",1989,441,1548
"E01004216",1241,223,1018
"E01004217",1235,278,957
"E01004218",1332,214,1118
"E01004219",1621,308,1313
"E01004221",1449,269,1180
"E01004222",1577,350,1227
"E01004223",1403,343,1060
"E01004224",1427,239,1188
"E01004225",1896,457,1439
"E01004226",1169,234,935
"E01004228",1380,238,1142
"E01004229",1058,167,891
"E01004230",1475,217,1258
"E01004231",1150,206,944
"E01004232",1306,156,1150
"E01004233",1151,255,896
"E01004234",1669,261,1408
"E01004235",854,197,657
"E01004236",1031,127,904
"E01004237",798,211,587
"E01004238",1900,412,1488
"E01004239",1017,151,866
"E01004240",1103,173,930
"E01004241",1010,194,816
"E01004242",1644,322,1322
"E01004243",1093,203,890
"E01004244",1066,255,811
"E01004245",883,137,746
"E01004246",1366,249,1117
"E01004247",1276,240,1036
"E01004248",753,142,611
"E01004249",1311,302,1009
"E01004250",1462,298,1164
"E01004251",1340,235,1105
"E01004252",1897,440,1457
"E01004253",1381,280,1101
"E01004254",1835,365,1470
"E01004255",1166,266,900
"E01004256",1108,191,917
"E01004257",1137,207,930
"E01004258",1139,254,885
"E01004259",1334,338,996
"E01004260",1189,168,1021
"E01004261",1193,162,1031
"E01004262",981,149,832
"E01004263",891,148,743
"E01004264",970,95,875
"E01004266",1088,159,929
"E01004267",1336,264,1072
"E01004268",1170,248,922
"E01004269",1324,218,1106
"E01004270",1762,166,1596
"E01004271",982,179,803
"E01004272",1253,194,1059
"E01004273",1199,181,1018
"E01004274",1390,199,1191
"E01004275",1382,227,1155
"E01004276",1801,346,1455
"E01004277",1433,356,1077
"E01004280",1315,271,1044
"E01004281",1487,328,1159
"E01004283",1430,242,1188
"E01004284",1580,293,1287
"E01004285",1416,166,1250
"E01004286",1508,265,1243
"E01004287",1382,255,1127
"E01004288",957,159,798
"E01004289",1254,190,1064
"E01004290",966,184,782
"E01004291",1534,503,1031
"E01004292",1482,298,1184
"E01004293",1747,454,1293
"E01004294",1393,378,1015
"E01004295",948,131,817
"E01004296",1166,248,918
"E01004297",1483,339,1144
"E01004298",1110,236,874
"E01004300",855,187,668
"E01004301",859,103,756
"E01004302",1281,192,1089
"E01004303",1651,365,1286
"E01004304",1283,188,1095
"E01004305",1236,211,1025
"E01004306",1393,186,1207
"E01004307",1652,470,1182
"E01004308",1052,131,921
"E01004309",1768,309,1459
"E01004310",1454,268,1186
"E01004311",1047,227,820
"E01004312",1092,193,899
"E01004313",1407,261,1146
"E01004314",807,120,687
"E01004315",1271,237,1034
"E01004316",864,186,678
"E01004317",2254,428,1826
"E01004318",997,289,708
"E01004319",1293,161,1132
"E01004321",1265,294,971
"E01004322",802,177,625
"E01004323",1069,119,950
"E01004324",1030,131,899
"E01004325",2075,298,1777
"E01004326",1046,217,829
"E01032764",1059,251,808
"E01032765",1138,249,889
"E01032766",1092,238,854
"E01032767",1478,293,1185
"E01032768",1148,283,865
"E01032769",1002,230,772
"E01032770",958,197,761
"E01032771",878,258,620
"E01032772",864,267,597
"E01032773",1274,469,805
"E01032774",956,266,690
"E01032775",962,252,710
"E01032776",962,331,631
"E01032777",915,203,712
"E01032778",958,233,725
"E01032779",884,270,614
"E01032780",1187,197,990
"E01032781",1321,278,1043
"E01032782",1213,409,804
"E01032783",1123,261,862
"E01032784",1194,219,975
"E01032785",1085,197,888
"E01032786",1050,262,788
"E01032787",1673,217,1456
