"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E01004197",1906,343,553,115,693,186,37,546,125,732,57,191,228,381
"E01004198",1242,376,297,66,314,104,18,222,68,326,27,106,115,180
"E01004199",1172,380,302,79,280,106,20,164,76,235,24,87,86,188
"E01004200",1399,149,422,68,703,99,25,615,109,649,51,156,124,296
"E01004201",1245,272,350,71,468,129,23,394,91,458,45,175,151,185
"E01004202",1427,211,400,90,597,117,28,452,116,663,45,204,149,317
"E01004203",1466,279,444,84,553,111,18,467,87,595,37,134,140,299
"E01004204",1287,451,294,79,311,102,20,240,85,320,19,115,98,212
"E01004205",1580,418,409,135,398,142,20,264,90,347,34,106,101,336
"E01004206",1184,341,291,76,291,97,29,202,64,260,29,75,80,218
"E01004207",1151,279,325,70,335,110,20,262,61,344,26,84,103,192
"E01004208",1746,198,511,71,792,125,21,717,99,832,33,215,189,385
"E01004209",985,294,236,76,230,94,11,151,64,207,11,56,83,167
"E01004211",1341,159,420,74,604,98,23,510,76,696,35,172,146,274
"E01004212",1483,260,391,81,447,95,24,382,59,515,22,132,109,397
"E01004214",1208,391,323,110,221,141,30,151,82,190,22,86,117,169
"E01004215",2206,403,493,114,593,160,34,480,132,940,51,311,225,553
"E01004216",1363,205,294,66,451,117,24,380,89,596,51,233,185,383
"E01004217",1429,325,329,69,425,123,36,302,86,465,23,195,174,303
"E01004218",1461,185,354,55,548,117,24,419,81,651,49,266,208,385
"E01004219",1755,352,434,113,438,139,20,340,100,615,34,186,152,430
"E01004221",1561,205,397,91,556,127,31,459,81,699,39,256,202,399
"E01004222",1932,664,476,127,489,201,31,410,130,422,44,141,198,217
"E01004223",1675,486,460,125,458,182,41,345,138,417,53,172,178,217
"E01004224",1633,410,485,109,541,158,30,415,108,528,45,144,174,248
"E01004225",1966,116,669,109,1164,169,19,1013,149,1211,77,407,276,329
"E01004226",1320,314,345,98,449,160,25,328,108,356,37,124,146,223
"E01004228",1564,307,468,79,716,141,35,608,98,686,41,253,206,199
"E01004229",1191,241,328,78,441,115,21,338,64,409,37,154,127,191
"E01004230",1703,406,459,101,634,152,29,528,98,630,32,189,194,257
"E01004231",1314,333,361,100,332,132,16,261,82,348,35,110,117,248
"E01004232",1447,156,456,62,839,102,17,743,84,772,33,271,199,224
"E01004233",1387,435,356,104,371,120,26,274,81,338,27,129,136,187
"E01004234",1841,247,578,81,932,144,38,812,120,898,56,364,234,271
"E01004235",978,270,255,72,241,112,17,164,70,204,37,73,109,165
"E01004236",1202,340,279,80,263,126,25,161,78,213,26,58,86,217
"E01004237",899,165,240,74,280,106,19,219,70,278,24,105,104,174
"E01004238",2068,413,557,155,561,230,36,413,159,646,65,161,167,441
"E01004239",1210,379,310,94,265,120,18,166,96,203,24,65,119,187
"E01004240",1269,383,332,87,321,137,11,217,88,249,23,91,119,184
"E01004241",1175,364,311,103,275,132,13,162,98,227,29,71,109,184
"E01004242",1808,391,504,133,533,207,28,420,116,504,39,140,186,327
