"GeographyCode","QS803EW0001","QS803EW0002","QS803EW0003","QS803EW0004","QS803EW0005","QS803EW0006"
"E00021141",340,225,1,8,15,91
"E00021143",393,242,13,17,31,90
"E00021145",256,185,13,9,15,34
"E00021146",462,277,66,36,37,46
"E00021147",210,156,5,9,19,21
"E00021148",279,183,15,12,20,49
"E00021149",353,250,15,11,16,61
"E00021150",298,196,14,6,15,67
"E00021151",275,173,8,12,9,73
"E00021152",379,227,8,9,23,112
"E00021153",344,235,26,30,18,35
"E00021154",401,239,15,8,14,125
"E00021155",359,204,36,44,28,47
"E00021156",237,134,10,15,24,54
"E00021157",331,204,13,14,10,90
"E00021158",340,200,11,6,16,107
"E00021159",571,337,38,33,44,119
"E00021160",322,202,21,14,18,67
"E00021161",391,268,27,21,22,53
"E00021162",375,197,28,33,25,92
"E00021163",353,193,21,11,16,112
"E00021164",279,136,18,14,43,68
"E00021165",338,190,19,15,30,84
"E00021166",387,232,39,33,22,61
"E00021167",305,199,21,23,18,44
"E00021168",374,238,32,28,39,37
"E00021169",467,294,21,25,37,90
"E00021170",466,259,21,15,39,132
"E00021171",660,394,49,36,42,139
"E00021172",281,197,9,9,11,55
"E00021173",372,273,16,14,16,53
"E00021174",228,154,11,14,22,27
"E00021175",300,188,13,15,29,55
"E00021176",298,191,8,25,22,52
"E00021177",425,223,26,22,35,119
"E00021179",327,180,33,34,22,58
"E00021180",444,228,37,33,40,106
"E00021181",230,138,16,15,14,47
"E00021182",343,196,41,33,29,44
"E00021183",231,153,14,27,5,32
"E00021184",169,98,15,9,16,31
"E00021185",304,221,9,17,5,52
"E00021186",440,211,22,32,36,139
"E00021187",307,154,14,34,31,74
"E00021188",302,213,2,7,11,69
"E00021189",397,210,28,23,21,115
"E00021190",476,274,41,43,33,85
"E00021191",396,212,29,28,26,101
"E00021192",329,163,24,33,21,88
"E00021193",323,203,31,29,16,44
"E00021194",563,288,48,36,33,158
"E00021195",392,233,25,11,17,106
"E00021196",381,243,11,6,17,104
"E00021197",519,244,123,43,28,81
"E00021198",313,193,11,14,24,71
"E00021199",182,125,2,1,12,42
"E00021200",322,148,43,23,19,89
"E00021201",321,205,14,14,17,71
"E00021202",285,174,8,9,12,82
