"GeographyCode","QS106EW0001","QS106EW0002","QS106EW0003","QS106EW0004"
"E01004197",2329,2213,61,55
"E01004198",1529,1479,35,15
"E01004199",1637,1602,25,10
"E01004200",1566,1316,177,73
"E01004201",1556,1475,49,32
"E01004202",1705,1611,45,49
"E01004203",1779,1654,73,52
"E01004204",1582,1511,41,30
"E01004205",2106,2014,54,38
"E01004206",1492,1417,40,35
"E01004207",1416,1273,90,53
"E01004208",1976,1709,159,108
"E01004209",1366,1306,35,25
"E01004211",1463,1354,68,41
"E01004212",1780,1563,66,151
"E01004214",1669,1601,39,29
"E01004215",2756,2565,96,95
"E01004216",1619,1469,79,71
"E01004217",1745,1634,57,54
"E01004218",1750,1594,87,69
"E01004219",2294,2144,72,78
"E01004221",1881,1725,89,67
"E01004222",2480,2374,81,25
"E01004223",2079,1997,59,23
"E01004224",2000,1914,49,37
"E01004225",2178,1947,158,73
"E01004226",1738,1626,91,21
"E01004228",1857,1715,106,36
"E01004229",1484,1365,88,31
"E01004230",2101,1964,95,42
"E01004231",1793,1709,59,25
"E01004232",1665,1438,178,49
"E01004233",1821,1751,46,24
"E01004234",2218,2020,159,39
"E01004235",1372,1321,34,17
"E01004236",1679,1628,28,23
"E01004237",1158,1074,60,24
"E01004238",2733,2585,87,61
"E01004239",1649,1580,47,22
"E01004240",1815,1720,70,25
"E01004241",1621,1545,45,31
"E01004242",2453,2303,93,57
"E01004243",1789,1723,46,20
"E01004244",1885,1830,40,15
"E01004245",1539,1497,28,14
"E01004246",1977,1857,70,50
"E01004247",1934,1872,27,35
"E01004248",1344,1310,25,9
"E01004249",2049,1986,35,28
"E01004250",2342,2281,37,24
"E01004251",2082,1997,50,35
"E01004252",2707,2557,75,75
"E01004253",2340,2246,47,47
"E01004254",2120,1873,141,106
"E01004255",1618,1525,41,52
"E01004256",1729,1670,34,25
"E01004257",1884,1821,38,25
"E01004258",1506,1344,77,85
"E01004259",1723,1587,72,64
"E01004260",1790,1701,38,51
"E01004261",2525,1471,687,367
"E01004262",1742,1280,335,127
"E01004263",1419,1342,53,24
"E01004264",1537,1449,50,38
"E01004266",1545,1479,38,28
"E01004267",1767,1613,113,41
"E01004268",1784,1698,51,35
"E01004269",1975,1806,122,47
"E01004270",2236,1966,177,93
"E01004271",1589,1506,62,21
"E01004272",2099,2051,28,20
"E01004273",1904,1830,39,35
"E01004274",1973,1844,74,55
"E01004275",1879,1735,95,49
"E01004276",2024,1741,141,142
"E01004277",1630,1329,125,176
"E01004280",1879,1771,51,57
"E01004281",1770,1574,84,112
"E01004283",2317,2160,103,54
"E01004284",2302,2211,69,22
"E01004285",2318,2220,68,30
"E01004286",2364,2286,54,24
"E01004287",2171,2062,67,42
"E01004288",1620,1584,25,11
"E01004289",1844,1644,156,44
"E01004290",1302,1161,119,22
"E01004291",1844,1608,126,110
"E01004292",1738,1521,117,100
"E01004293",2125,1817,184,124
"E01004294",1757,1540,102,115
"E01004295",1516,1452,36,28
"E01004296",1605,1516,52,37
"E01004297",1826,1589,147,90
"E01004298",1637,1563,48,26
"E01004300",1349,1290,30,29
"E01004301",1324,1269,34,21
"E01004302",1987,1914,41,32
"E01004303",2362,2124,163,75
"E01004304",1957,1876,53,28
"E01004305",1952,1838,79,35
"E01004306",1799,1626,107,66
"E01004307",2186,1803,155,228
"E01004308",1478,1355,81,42
"E01004309",2852,2512,233,107
"E01004310",1971,1819,84,68
"E01004311",1518,1428,47,43
"E01004312",1614,1530,54,30
"E01004313",2043,1930,63,50
"E01004314",1100,1004,55,41
"E01004315",1628,1521,60,47
"E01004316",1138,1050,51,37
"E01004317",2706,2496,107,103
"E01004318",1459,1382,47,30
"E01004319",1886,1720,104,62
"E01004321",1822,1697,79,46
"E01004322",1292,1134,98,60
"E01004323",1466,1344,95,27
"E01004324",1574,1513,35,26
"E01004325",2487,2218,159,110
"E01004326",1444,1323,73,48
"E01032764",1302,1206,64,32
"E01032765",1488,1382,70,36
"E01032766",1307,1184,60,63
"E01032767",1584,1320,161,103
"E01032768",1307,1174,44,89
"E01032769",1235,1102,67,66
"E01032770",1191,1047,66,78
"E01032771",1104,983,38,83
"E01032772",1135,987,47,101
"E01032773",1561,1325,76,160
"E01032774",1298,1186,56,56
"E01032775",1108,954,78,76
"E01032776",1076,915,59,102
"E01032777",1141,1020,54,67
"E01032778",1108,976,54,78
"E01032779",1089,947,53,89
"E01032780",1333,1147,76,110
"E01032781",1535,1356,85,94
"E01032782",1614,1397,65,152
"E01032783",1383,1258,52,73
"E01032784",1516,1362,104,50
"E01032785",1348,1248,54,46
"E01032786",1561,1496,41,24
"E01032787",2567,2440,87,40
