"GeographyCode","QS409EW0001","QS409EW0002","QS409EW0003","QS409EW0004","QS409EW0005"
"E01004197",964,519,375,55,15
"E01004198",606,318,215,55,18
"E01004199",574,268,206,75,25
"E01004200",585,264,286,26,9
"E01004201",619,346,227,38,8
"E01004202",713,346,302,53,12
"E01004203",689,319,306,46,18
"E01004204",631,341,234,45,11
"E01004205",688,281,274,106,27
"E01004206",554,263,198,63,30
"E01004207",515,257,195,42,21
"E01004208",788,374,334,40,40
"E01004209",466,196,185,56,29
"E01004211",720,400,281,26,13
"E01004212",720,322,306,56,36
"E01004214",665,337,261,44,23
"E01004215",1168,573,492,71,32
"E01004216",737,425,284,22,6
"E01004217",779,456,283,32,8
"E01004218",731,413,270,36,12
"E01004219",851,370,365,74,42
"E01004221",802,449,295,41,17
"E01004222",1048,573,390,60,25
"E01004223",938,586,299,39,14
"E01004224",806,380,369,46,11
"E01004225",1147,605,472,17,53
"E01004226",676,338,267,54,17
"E01004228",769,453,291,19,6
"E01004229",551,289,194,46,22
"E01004230",803,401,329,54,19
"E01004231",629,300,232,65,32
"E01004232",603,344,234,16,9
"E01004233",751,432,250,45,24
"E01004234",903,515,352,25,11
"E01004235",513,247,185,61,20
"E01004236",497,190,189,81,37
"E01004237",506,273,189,34,10
"E01004238",1058,449,461,115,33
"E01004239",533,239,218,52,24
"E01004240",574,242,211,87,34
"E01004241",570,266,221,63,20
"E01004242",898,356,405,89,48
"E01004243",614,271,235,82,26
"E01004244",686,386,226,51,23
"E01004245",433,142,191,75,25
"E01004246",747,366,293,69,19
"E01004247",714,319,296,79,20
"E01004248",441,184,170,62,25
"E01004249",758,379,282,71,26
"E01004250",866,422,324,94,26
"E01004251",779,360,314,69,36
"E01004252",1107,541,446,87,33
"E01004253",829,381,341,78,29
"E01004254",1046,606,402,28,10
"E01004255",647,340,217,65,25
"E01004256",611,259,272,61,19
"E01004257",618,263,254,70,31
"E01004258",713,456,224,23,10
"E01004259",812,467,293,38,14
"E01004260",636,279,271,63,23
"E01004261",550,224,230,70,26
"E01004262",495,245,183,43,24
"E01004263",529,264,209,38,18
"E01004264",457,160,191,67,39
"E01004266",583,306,224,44,9
"E01004267",707,374,275,43,15
"E01004268",688,325,265,71,27
"E01004269",726,359,265,66,36
"E01004270",745,293,365,64,23
"E01004271",548,250,205,72,21
"E01004272",639,241,242,118,38
"E01004273",594,216,243,107,28
"E01004274",654,315,256,58,25
"E01004275",768,400,325,33,10
"E01004276",996,558,413,16,9
"E01004277",898,595,289,7,7
"E01004280",769,432,264,56,17
"E01004281",831,491,307,22,11
"E01004283",756,366,268,90,32
"E01004284",884,442,322,91,29
"E01004285",658,226,276,112,44
"E01004286",817,413,297,87,20
"E01004287",854,446,285,97,26
"E01004288",525,236,199,70,20
"E01004289",670,349,229,54,38
"E01004290",575,325,208,23,19
"E01004291",1051,703,304,27,17
"E01004292",818,518,282,15,3
"E01004293",1133,745,363,13,12
"E01004294",877,537,288,38,14
"E01004295",500,208,199,69,24
"E01004296",684,349,264,48,23
"E01004297",909,547,324,28,10
"E01004298",635,317,254,47,17
"E01004300",522,283,157,58,24
"E01004301",413,159,161,62,31
"E01004302",637,218,263,112,44
"E01004303",967,504,343,91,29
"E01004304",653,288,250,92,23
"E01004305",699,312,284,71,32
"E01004306",687,333,285,53,16
"E01004307",1014,624,345,23,22
"E01004308",504,224,204,55,21
"E01004309",902,419,344,101,38
"E01004310",793,365,333,64,31
"E01004311",644,363,216,42,23
"E01004312",628,341,197,69,21
"E01004313",812,395,313,82,22
"E01004314",493,315,154,19,5
"E01004315",718,407,271,29,11
"E01004316",455,214,200,32,9
"E01004317",1193,578,521,58,36
"E01004318",630,347,220,43,20
"E01004319",595,211,262,66,56
"E01004321",711,334,278,64,35
"E01004322",502,252,192,25,33
"E01004323",480,215,212,34,19
"E01004324",485,195,182,77,31
"E01004325",1033,416,541,46,30
"E01004326",623,317,237,54,15
"E01032764",643,316,299,18,10
"E01032765",645,309,292,34,10
"E01032766",601,306,247,32,16
"E01032767",767,395,346,18,8
"E01032768",696,403,270,19,4
"E01032769",593,356,208,20,9
"E01032770",572,307,239,16,10
"E01032771",546,319,194,23,10
"E01032772",544,268,220,24,32
"E01032773",852,385,396,37,34
"E01032774",583,284,236,45,18
"E01032775",600,361,223,13,3
"E01032776",631,334,253,9,35
"E01032777",514,253,224,30,7
"E01032778",564,312,232,14,6
"E01032779",565,321,218,15,11
"E01032780",647,398,233,8,8
"E01032781",771,431,310,25,5
"E01032782",776,377,331,58,10
"E01032783",661,393,237,23,8
"E01032784",692,314,332,30,16
"E01032785",616,275,293,33,15
"E01032786",674,398,204,53,19
"E01032787",793,291,337,119,46
