"GeographyCode","KS101EW0001","KS101EW0002","KS101EW0003","KS101EW0004","KS101EW0005","KS101EW0006","KS101EW0007","KS101EW0008","KS101EW0009","KS101EW0010","KS101EW0011","KS101EW0012"
"E00021141",340,151,189,333,7,2,2,170,44.41176471,55.58823529,97.94117647,2.058823529
"E00021143",393,183,210,393,0,0,1.83,214.7540984,46.5648855,53.4351145,100,0
"E00021145",256,122,134,241,15,0,1.81,141.4364641,47.65625,52.34375,94.140625,5.859375
"E00021146",462,239,223,293,169,6,1.4,330,51.73160173,48.26839827,63.41991342,36.58008658
"E00021147",210,107,103,205,5,0,1.63,128.8343558,50.95238095,49.04761905,97.61904762,2.380952381
"E00021148",279,130,149,279,0,3,2.51,111.1553785,46.59498208,53.40501792,100,0
"E00021149",353,159,194,353,0,1,1.11,318.018018,45.04249292,54.95750708,100,0
"E00021150",298,141,157,298,0,1,1.19,250.4201681,47.31543624,52.68456376,100,0
"E00021151",275,148,127,275,0,1,0.96,286.4583333,53.81818182,46.18181818,100,0
"E00021152",379,184,195,379,0,5,1.76,215.3409091,48.54881266,51.45118734,100,0
"E00021153",344,174,170,341,3,0,1.29,266.6666667,50.58139535,49.41860465,99.12790698,0.872093023
"E00021154",401,195,206,401,0,1,1.76,227.8409091,48.62842893,51.37157107,100,0
"E00021155",359,185,174,359,0,2,1.28,280.46875,51.53203343,48.46796657,100,0
"E00021156",237,121,116,237,0,2,2.33,101.7167382,51.05485232,48.94514768,100,0
"E00021157",331,175,156,331,0,0,1.11,298.1981982,52.87009063,47.12990937,100,0
"E00021158",340,162,178,340,0,1,1,340,47.64705882,52.35294118,100,0
"E00021159",571,271,300,571,0,4,2.88,198.2638889,47.46059545,52.53940455,100,0
"E00021160",322,157,165,322,0,4,1.95,165.1282051,48.75776398,51.24223602,100,0
"E00021161",391,192,199,391,0,0,2.26,173.0088496,49.10485934,50.89514066,100,0
"E00021162",375,190,185,375,0,2,1.47,255.1020408,50.66666667,49.33333333,100,0
"E00021163",353,150,203,309,44,2,3.5,100.8571429,42.49291785,57.50708215,87.53541076,12.46458924
"E00021164",279,162,117,279,0,2,0.31,900,58.06451613,41.93548387,100,0
"E00021165",338,174,164,338,0,3,2.72,124.2647059,51.47928994,48.52071006,100,0
"E00021166",387,200,187,387,0,2,1.19,325.210084,51.67958656,48.32041344,100,0
"E00021167",305,162,143,305,0,0,2.14,142.5233645,53.1147541,46.8852459,100,0
"E00021168",374,191,183,374,0,1,2.98,125.5033557,51.06951872,48.93048128,100,0
"E00021169",467,232,235,467,0,5,1.85,252.4324324,49.67880086,50.32119914,100,0
"E00021170",466,228,238,466,0,0,1.42,328.1690141,48.92703863,51.07296137,100,0
"E00021171",660,312,348,660,0,6,3.98,165.8291457,47.27272727,52.72727273,100,0
"E00021172",281,153,128,275,6,0,2.83,99.29328622,54.44839858,45.55160142,97.86476868,2.135231317
"E00021173",372,182,190,372,0,0,1.81,205.5248619,48.92473118,51.07526882,100,0
"E00021174",228,121,107,228,0,0,0.78,292.3076923,53.07017544,46.92982456,100,0
"E00021175",300,148,152,288,12,1,4.88,61.47540984,49.33333333,50.66666667,96,4
"E00021176",298,138,160,298,0,1,1.58,188.6075949,46.30872483,53.69127517,100,0
"E00021177",425,216,209,425,0,2,1.25,340,50.82352941,49.17647059,100,0
"E00021179",327,172,155,327,0,1,1.72,190.1162791,52.59938838,47.40061162,100,0
"E00021180",444,242,202,444,0,0,4.61,96.31236443,54.5045045,45.4954955,100,0
"E00021181",230,124,106,230,0,0,1.44,159.7222222,53.91304348,46.08695652,100,0
"E00021182",343,194,149,343,0,1,4.48,76.5625,56.55976676,43.44023324,100,0
"E00021183",231,123,108,231,0,3,1.93,119.6891192,53.24675325,46.75324675,100,0
"E00021184",169,77,92,169,0,2,0.44,384.0909091,45.56213018,54.43786982,100,0
"E00021185",304,141,163,299,5,5,1.92,158.3333333,46.38157895,53.61842105,98.35526316,1.644736842
"E00021186",440,222,218,440,0,7,1.81,243.0939227,50.45454545,49.54545455,100,0
"E00021187",307,148,159,307,0,4,4.09,75.06112469,48.20846906,51.79153094,100,0
"E00021188",302,150,152,302,0,2,1.75,172.5714286,49.66887417,50.33112583,100,0
"E00021189",397,186,211,397,0,1,2.27,174.8898678,46.85138539,53.14861461,100,0
"E00021190",476,249,227,452,24,1,3.44,138.372093,52.31092437,47.68907563,94.95798319,5.042016807
"E00021191",396,204,192,396,0,0,3.02,131.1258278,51.51515152,48.48484848,100,0
"E00021192",329,175,154,329,0,5,0.95,346.3157895,53.19148936,46.80851064,100,0
"E00021193",323,209,114,323,0,2,3.69,87.53387534,64.70588235,35.29411765,100,0
"E00021194",563,306,257,563,0,3,2.45,229.7959184,54.35168739,45.64831261,100,0
"E00021195",392,197,195,392,0,3,2.26,173.4513274,50.25510204,49.74489796,100,0
"E00021196",381,190,191,381,0,2,0.51,747.0588235,49.8687664,50.1312336,100,0
"E00021197",519,294,225,415,104,3,2.88,180.2083333,56.64739884,43.35260116,79.96146435,20.03853565
"E00021198",313,131,182,313,0,4,0.92,340.2173913,41.85303514,58.14696486,100,0
"E00021199",182,99,83,182,0,3,0.3,606.6666667,54.3956044,45.6043956,100,0
"E00021200",322,168,154,322,0,4,1.95,165.1282051,52.17391304,47.82608696,100,0
"E00021201",321,159,162,321,0,1,3.57,89.91596639,49.53271028,50.46728972,100,0
"E00021202",285,129,156,285,0,0,1.23,231.7073171,45.26315789,54.73684211,100,0
"E00021203",246,130,116,246,0,0,1.59,154.7169811,52.84552846,47.15447154,100,0
"E00021204",401,222,179,401,0,5,5.75,69.73913043,55.36159601,44.63840399,100,0
"E00021205",336,177,159,336,0,10,1.04,323.0769231,52.67857143,47.32142857,100,0
"E00021206",239,130,109,239,0,1,0.85,281.1764706,54.39330544,45.60669456,100,0
"E00021207",258,125,133,256,2,1,2.88,89.58333333,48.4496124,51.5503876,99.2248062,0.775193798
"E00021208",299,157,142,299,0,0,1.51,198.013245,52.5083612,47.4916388,100,0
"E00021209",246,123,123,246,0,2,0.54,455.5555556,50,50,100,0
"E00021210",289,162,127,289,0,4,1.14,253.5087719,56.05536332,43.94463668,100,0
"E00021211",372,201,171,372,0,1,1.11,335.1351351,54.03225806,45.96774194,100,0
"E00021212",270,149,121,270,0,0,1.09,247.706422,55.18518519,44.81481481,100,0
"E00021213",415,217,198,415,0,3,1.01,410.8910891,52.28915663,47.71084337,100,0
"E00021214",511,256,255,442,69,0,1.68,304.1666667,50.09784736,49.90215264,86.49706458,13.50293542
"E00021215",454,232,222,344,110,8,4.31,105.3364269,51.10132159,48.89867841,75.77092511,24.22907489
"E00021216",326,168,158,325,1,0,2.66,122.556391,51.53374233,48.46625767,99.69325153,0.306748466
"E00021217",524,264,260,452,72,8,1.92,272.9166667,50.38167939,49.61832061,86.25954198,13.74045802
"E00021218",491,238,253,491,0,6,7.5,65.46666667,48.47250509,51.52749491,100,0
"E00021219",250,124,126,250,0,0,11.16,22.40143369,49.6,50.4,100,0
"E00021220",348,173,175,348,0,2,3.62,96.13259669,49.71264368,50.28735632,100,0
"E00021223",388,221,167,388,0,0,2.94,131.9727891,56.95876289,43.04123711,100,0
"E00021224",409,227,182,409,0,4,6.29,65.02384738,55.50122249,44.49877751,100,0
"E00021225",292,153,139,292,0,2,1.93,151.2953368,52.39726027,47.60273973,100,0
"E00021227",269,124,145,269,0,3,21.74,12.37350506,46.09665428,53.90334572,100,0
"E00021228",359,172,187,359,0,2,2.31,155.4112554,47.91086351,52.08913649,100,0
"E00021229",309,151,158,309,0,2,1.06,291.509434,48.86731392,51.13268608,100,0
"E00021230",248,124,124,248,0,3,1.85,134.0540541,50,50,100,0
