"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E01004197",2178,198,21,0,21,177,104,45,23,5,638,449,294,60,88,7,138,51,206,99,78,25,4,200,53,53,0,147,147,0,177,119,58,55,3,229,65,125,10,9,0,17,3,195,46,46,53,50,0,236,177,59,99,99,0
"E01004198",1349,100,13,0,13,87,31,39,15,2,273,182,129,11,33,9,66,25,131,67,46,18,0,118,31,31,0,87,87,0,134,82,52,52,0,208,54,79,31,19,0,21,4,161,51,39,44,27,0,182,103,79,42,42,0
"E01004199",1503,84,14,0,14,70,33,21,14,2,266,189,142,13,33,1,53,24,121,53,47,21,0,178,73,73,0,105,105,0,164,72,92,80,12,184,65,101,3,6,0,2,7,195,59,37,44,55,0,256,184,72,55,55,0
"E01004200",1352,218,32,0,32,186,100,46,29,11,398,295,170,43,74,8,59,44,130,57,43,30,0,108,21,21,0,87,87,0,74,32,42,42,0,94,28,56,1,2,0,7,0,92,13,22,30,27,0,118,78,40,120,120,0
"E01004201",1419,226,31,0,31,195,102,65,16,12,370,262,176,29,54,3,85,23,119,71,43,5,0,133,33,33,0,100,100,0,96,53,43,41,2,170,26,84,13,27,0,11,9,94,23,16,38,17,0,149,106,43,62,61,1
"E01004202",1641,241,29,0,29,212,118,55,33,6,481,387,245,31,92,19,41,53,136,64,56,15,1,182,41,41,0,141,141,0,92,46,46,46,0,153,56,58,12,13,0,11,3,135,28,41,36,30,0,170,105,65,51,51,0
"E01004203",1681,216,18,0,18,198,123,44,21,10,400,307,212,39,49,7,60,33,185,118,42,14,11,112,44,44,0,68,68,0,162,102,60,60,0,194,71,79,14,7,0,23,0,195,91,25,34,45,0,138,94,44,79,79,0
"E01004204",1359,112,30,0,30,82,50,19,13,0,266,210,144,16,46,4,49,7,107,55,38,13,1,161,51,51,0,110,110,0,79,57,22,22,0,169,51,89,7,1,2,19,0,183,52,51,46,34,0,245,180,65,37,37,0
"E01004205",2006,89,3,0,3,86,45,25,12,4,331,233,170,26,33,4,84,14,178,107,58,7,6,190,43,43,0,147,147,0,195,118,77,74,3,361,111,159,41,5,0,41,4,241,77,47,80,37,0,313,216,97,108,108,0
"E01004206",1372,65,10,0,10,55,26,24,5,0,174,147,122,8,17,0,21,6,95,39,45,9,2,128,51,51,0,77,77,0,174,110,64,64,0,194,64,80,24,8,0,15,3,179,57,54,37,31,0,259,203,56,104,100,4
"E01004207",1239,98,14,0,14,84,38,30,16,0,240,162,126,15,21,0,46,32,98,50,31,17,0,106,51,49,2,55,55,0,140,95,45,45,0,176,69,75,17,11,0,4,0,132,39,27,32,34,0,136,91,45,113,113,0
"E01004208",1789,350,42,0,42,308,161,115,18,14,479,347,263,39,32,13,105,27,116,69,36,7,4,175,50,50,0,125,125,0,96,55,41,41,0,131,41,69,10,0,0,8,3,115,57,28,7,23,0,169,117,52,158,158,0
"E01004209",1286,55,5,0,5,50,40,8,2,0,222,141,102,15,22,2,41,40,144,83,44,16,1,113,20,20,0,93,93,0,156,96,60,60,0,168,39,90,22,2,4,11,0,174,44,35,50,45,0,216,172,44,38,38,0
"E01004211",1399,237,27,2,25,210,106,78,15,11,428,352,236,39,67,10,58,18,116,59,26,31,0,126,32,32,0,94,94,0,52,38,14,14,0,142,54,52,16,4,2,14,0,102,27,33,17,21,4,133,104,29,63,63,0
"E01004212",1516,141,21,0,21,120,73,29,14,4,297,225,169,14,37,5,53,19,137,58,66,12,1,164,17,17,0,147,147,0,108,66,42,42,0,205,81,82,13,6,0,22,1,95,47,15,19,14,0,149,110,39,220,220,0
"E01004214",1555,83,3,0,3,80,48,25,7,0,251,173,145,22,4,2,47,31,130,69,44,11,6,221,38,38,0,183,183,0,162,75,87,84,3,246,63,149,0,4,0,21,9,178,66,28,41,43,0,254,142,112,30,30,0
"E01004215",2582,503,109,2,107,394,182,144,27,41,580,407,271,111,21,4,126,47,247,162,58,18,9,177,50,50,0,127,127,0,172,118,54,53,1,274,116,84,22,22,0,20,10,166,47,31,35,53,0,347,228,119,116,112,4
"E01004216",1520,365,47,0,47,318,147,146,17,8,420,277,173,60,33,11,122,21,124,85,35,1,3,124,25,25,0,99,99,0,134,82,52,51,1,96,37,42,0,5,0,12,0,71,17,10,21,23,0,103,56,47,83,83,0
"E01004217",1573,322,62,7,55,260,127,103,19,11,311,181,133,29,10,9,99,31,210,109,82,12,7,145,65,65,0,80,80,0,149,80,69,69,0,147,40,69,14,5,0,19,0,108,27,1,50,29,1,126,101,25,55,55,0
"E01004218",1644,447,65,0,65,382,162,151,63,6,411,255,164,46,27,18,126,30,155,87,43,18,7,164,47,47,0,117,117,0,71,49,22,22,0,162,51,60,5,15,0,21,10,90,35,11,16,28,0,71,45,26,73,73,0
"E01004219",2204,279,34,0,34,245,129,102,8,6,428,280,176,85,8,11,115,33,168,91,64,6,7,201,81,81,0,120,120,0,224,106,118,118,0,277,96,132,12,24,1,10,2,200,71,40,18,71,0,346,243,103,81,81,0
"E01004221",1803,433,65,1,64,368,143,170,41,14,418,264,176,48,28,12,124,30,173,87,68,12,6,174,37,37,0,137,137,0,133,83,50,34,16,139,22,55,16,15,0,31,0,111,23,13,34,41,0,166,97,69,56,56,0
"E01004222",2203,154,12,0,12,142,80,51,9,2,371,272,212,24,27,9,72,27,240,131,81,27,1,188,60,60,0,128,125,3,199,139,60,60,0,287,66,155,14,15,1,22,14,235,60,38,73,64,0,368,226,142,161,161,0
"E01004223",1841,187,34,3,31,153,66,57,21,9,446,299,225,24,49,1,124,23,206,105,82,18,1,214,43,43,0,171,169,2,138,90,48,42,6,242,49,154,5,11,0,14,9,179,44,18,76,41,0,179,115,64,50,50,0
"E01004224",1831,195,22,0,22,173,95,62,14,2,407,300,232,34,29,5,82,25,154,82,43,22,7,199,66,66,0,133,133,0,122,83,39,39,0,260,60,138,38,7,0,15,2,182,40,24,37,81,0,223,168,55,89,89,0
"E01004225",2113,577,68,1,67,509,294,167,38,10,720,552,382,72,79,19,129,39,257,134,73,46,4,112,25,25,0,87,87,0,95,45,50,50,0,112,33,46,2,6,0,17,8,78,23,7,22,25,1,67,49,18,95,95,0
"E01004226",1619,149,22,0,22,127,62,50,9,6,304,209,169,21,14,5,61,34,144,67,60,15,2,128,33,33,0,95,95,0,141,54,87,85,2,233,53,127,4,7,0,37,5,213,57,43,53,60,0,206,127,79,101,101,0
"E01004228",1695,378,62,0,62,316,162,105,47,2,512,385,271,52,52,10,96,31,178,104,44,23,7,147,25,25,0,122,122,0,68,48,20,20,0,133,35,58,4,5,0,20,11,114,40,10,26,38,0,104,59,45,61,61,0
"E01004229",1383,147,35,0,35,112,76,15,8,13,315,175,137,16,22,0,87,53,106,52,44,9,1,124,38,38,0,86,86,0,113,84,29,29,0,196,55,78,32,4,0,19,8,154,55,20,46,33,0,130,98,32,98,98,0
"E01004230",1902,222,45,0,45,177,106,48,18,5,433,319,237,20,50,12,62,52,214,113,72,23,6,203,61,61,0,142,142,0,145,79,66,66,0,230,78,95,10,26,0,10,11,195,57,30,54,54,0,171,141,30,89,89,0
"E01004231",1664,128,14,0,14,114,69,30,9,6,277,190,141,22,21,6,76,11,144,81,50,9,4,193,65,65,0,128,128,0,196,92,104,101,3,230,52,121,15,12,0,12,18,132,46,13,26,47,0,266,176,90,98,98,0
"E01004232",1542,402,64,0,64,338,214,70,52,2,451,331,214,53,62,2,99,21,105,41,43,16,5,88,27,27,0,61,61,0,97,37,60,60,0,100,27,51,8,3,0,11,0,106,28,38,23,17,0,54,35,19,139,139,0
"E01004233",1623,114,18,0,18,96,55,32,2,7,278,206,155,15,30,6,46,26,140,63,51,23,3,214,80,80,0,134,134,0,101,69,32,30,2,266,53,152,23,22,0,12,4,202,71,21,48,62,0,258,175,83,50,47,3
"E01004234",2071,412,83,0,83,329,200,59,51,19,713,511,321,61,112,17,147,55,184,101,59,16,8,177,29,29,0,148,148,0,82,63,19,18,1,130,35,56,2,2,0,23,12,111,24,12,46,28,1,105,86,19,157,155,2
"E01004235",1277,64,13,0,13,51,26,22,2,1,192,131,93,27,11,0,38,23,107,57,32,11,7,111,16,16,0,95,95,0,148,60,88,86,2,252,84,120,30,9,0,7,2,189,61,29,55,44,0,142,113,29,72,72,0
"E01004236",1575,62,12,0,12,50,35,13,2,0,190,105,63,6,30,6,49,36,122,74,30,11,7,161,48,48,0,113,113,0,188,118,70,68,2,315,76,137,55,18,0,21,8,207,104,40,18,45,0,264,192,72,66,66,0
"E01004237",1079,89,5,0,5,84,37,45,1,1,232,152,117,21,14,0,53,27,103,62,33,6,2,105,22,22,0,83,83,0,90,40,50,46,4,117,31,67,6,1,0,8,4,109,21,14,27,47,0,151,113,38,83,83,0
"E01004238",2621,204,28,0,28,176,101,61,6,8,566,356,256,46,43,11,156,54,244,162,62,18,2,206,84,84,0,122,122,0,251,125,126,123,3,378,119,205,13,3,0,34,4,259,61,25,54,119,0,382,247,135,131,130,1
"E01004239",1505,85,22,0,22,63,36,20,6,1,225,123,97,5,15,6,79,23,179,80,91,8,0,175,65,65,0,110,110,0,176,115,61,61,0,220,28,135,22,6,0,13,16,150,30,28,43,49,0,235,172,63,60,60,0
"E01004240",1709,84,22,0,22,62,36,17,5,4,251,167,136,12,15,4,62,22,162,73,79,8,2,178,73,73,0,105,105,0,213,136,77,73,4,269,91,118,10,14,0,27,9,225,64,27,71,63,0,267,163,104,60,60,0
"E01004241",1515,88,21,5,16,67,42,18,0,7,217,151,122,18,6,5,50,16,120,67,48,2,3,192,77,77,0,115,115,0,163,114,49,46,3,222,49,131,12,9,0,14,7,201,53,14,48,86,0,227,150,77,85,85,0
"E01004242",2349,215,15,0,15,200,120,73,4,3,417,289,240,22,19,8,88,40,238,132,83,13,10,223,56,56,0,167,167,0,227,150,77,77,0,301,84,163,22,12,0,15,5,299,109,44,86,60,0,266,198,68,163,163,0
"E01004243",1660,75,23,5,18,52,19,25,4,4,224,165,95,36,34,0,39,20,153,79,65,5,4,191,44,44,0,147,147,0,178,95,83,83,0,263,72,138,17,13,0,19,4,208,55,28,57,68,0,312,262,50,56,56,0
"E01004244",1611,108,18,0,18,90,45,38,7,0,194,116,89,9,13,5,61,17,146,71,58,15,2,186,85,85,0,101,101,0,149,76,73,67,6,290,63,186,2,17,0,22,0,206,51,18,57,80,0,273,160,113,59,59,0
"E01004245",1484,49,9,0,9,40,32,8,0,0,167,102,53,9,40,0,51,14,129,59,57,13,0,169,59,59,0,110,110,0,166,69,97,85,12,176,30,112,17,1,0,11,5,235,66,42,64,58,5,340,226,114,53,53,0
"E01004246",1848,193,33,0,33,160,70,77,6,7,365,273,167,31,61,14,71,21,153,96,46,7,4,230,90,90,0,140,140,0,220,130,90,87,3,279,59,177,18,4,0,21,0,158,36,22,31,69,0,158,109,49,92,92,0
"E01004247",1799,115,28,0,28,87,57,24,1,5,246,141,100,11,24,6,88,17,147,85,51,4,7,162,46,46,0,116,114,2,203,108,95,92,3,264,77,136,8,7,0,33,3,231,67,15,57,88,4,341,232,109,90,90,0
"E01004248",1238,59,6,0,6,53,26,15,10,2,150,86,70,0,16,0,34,30,104,29,66,9,0,132,38,38,0,94,94,0,107,64,43,41,2,228,69,97,18,17,0,25,2,229,63,43,81,42,0,171,145,26,58,58,0
"E01004249",1945,92,9,0,9,83,43,23,12,5,273,163,115,23,19,6,78,32,201,98,94,6,3,211,60,60,0,151,151,0,194,114,80,74,6,317,95,160,5,25,0,17,15,269,78,34,71,86,0,336,237,99,52,52,0
"E01004250",2173,124,24,0,24,100,48,47,4,1,312,193,161,17,14,1,62,57,246,155,82,9,0,243,75,75,0,168,168,0,263,150,113,100,13,312,83,184,14,8,0,18,5,238,88,22,63,60,5,351,259,92,84,84,0
"E01004251",1895,161,49,0,49,112,58,39,13,2,307,182,155,19,6,2,88,37,182,86,72,20,4,243,96,96,0,147,147,0,200,134,66,66,0,260,78,122,23,13,4,20,0,221,65,31,68,57,0,258,172,86,63,63,0
"E01004252",2569,287,53,0,53,234,121,90,9,14,515,337,244,63,29,1,119,59,268,133,116,11,8,232,57,57,0,175,175,0,247,149,98,98,0,366,94,163,39,15,0,42,13,258,59,25,114,60,0,323,223,100,73,73,0
"E01004253",2087,110,14,0,14,96,53,39,4,0,314,202,131,33,34,4,98,14,226,106,88,23,9,236,52,52,0,184,184,0,217,125,92,86,6,354,95,189,23,9,0,22,16,218,61,21,70,66,0,335,227,108,77,74,3
"E01004254",2079,718,116,4,112,602,289,234,50,29,726,495,349,101,25,20,205,26,188,127,33,15,13,92,43,43,0,49,48,1,61,35,26,26,0,67,19,24,14,1,1,8,0,65,22,13,12,18,0,109,82,27,53,53,0
"E01004255",1558,141,26,0,26,115,55,49,9,2,259,183,147,15,16,5,58,18,155,83,60,8,4,164,44,44,0,120,120,0,139,98,41,41,0,244,54,137,22,18,0,9,4,143,42,29,37,35,0,247,203,44,66,66,0
"E01004256",1580,94,17,0,17,77,45,26,6,0,226,112,77,23,12,0,78,36,112,50,55,6,1,157,27,27,0,130,130,0,237,158,79,78,1,257,94,128,11,6,1,17,0,195,60,23,38,74,0,239,179,60,63,63,0
"E01004257",1765,97,18,0,18,79,37,36,6,0,200,122,86,16,20,0,59,19,155,83,59,11,2,171,49,49,0,122,122,0,256,130,126,125,1,262,47,162,18,12,0,18,5,218,87,10,59,62,0,321,178,143,85,85,0
"E01004258",1386,403,74,2,72,329,132,130,51,16,365,220,144,31,34,11,125,20,127,78,34,14,1,124,30,30,0,94,94,0,47,26,21,18,3,106,17,65,11,0,0,10,3,101,20,24,10,47,0,71,40,31,42,42,0
