"GeographyCode","KS607EW0001","KS607EW0002","KS607EW0003","KS607EW0004","KS607EW0005","KS607EW0006","KS607EW0007","KS607EW0008","KS607EW0009","KS607EW0010","KS607EW0011","KS607EW0012","KS607EW0013","KS607EW0014","KS607EW0015","KS607EW0016","KS607EW0017","KS607EW0018","KS607EW0019","KS607EW0020","KS607EW0021","KS607EW0022","KS607EW0023","KS607EW0024","KS607EW0025","KS607EW0026","KS607EW0027","KS607EW0028","KS607EW0029","KS607EW0030","KS607EW0031","KS607EW0032","KS607EW0033","KS607EW0034","KS607EW0035","KS607EW0036","KS607EW0037"
"E01004197",583,0,0,11,1,0,2,82,6,47,46,23,5,97,17,17,81,82,66,0,0,1.88679245283019,0.171526586620926,0,0.343053173241852,14.065180102916,1.02915951972556,8.06174957118353,7.89022298456261,3.9451114922813,0.857632933104631,16.6380789022298,2.91595197255575,2.91595197255575,13.893653516295,14.065180102916,11.3207547169811
"E01004198",290,0,0,5,0,0,2,59,4,20,24,9,4,26,14,10,51,38,24,0,0,1.72413793103448,0,0,0.689655172413793,20.3448275862069,1.37931034482759,6.89655172413793,8.27586206896552,3.10344827586207,1.37931034482759,8.96551724137931,4.82758620689655,3.44827586206897,17.5862068965517,13.1034482758621,8.27586206896552
"E01004199",228,0,0,6,0,0,3,31,1,23,10,10,4,18,12,11,47,33,19,0,0,2.63157894736842,0,0,1.31578947368421,13.5964912280702,0.43859649122807,10.0877192982456,4.3859649122807,4.3859649122807,1.75438596491228,7.89473684210526,5.26315789473684,4.82456140350877,20.6140350877193,14.4736842105263,8.33333333333333
"E01004200",442,0,0,11,0,0,8,49,1,39,42,22,2,82,25,14,51,44,52,0,0,2.48868778280543,0,0,1.80995475113122,11.0859728506787,0.226244343891403,8.82352941176471,9.50226244343891,4.97737556561086,0.452488687782805,18.552036199095,5.65610859728507,3.16742081447964,11.5384615384615,9.95475113122172,11.7647058823529
"E01004201",333,0,0,3,0,0,4,35,5,11,34,18,9,52,11,16,49,54,32,0,0,0.900900900900901,0,0,1.2012012012012,10.5105105105105,1.5015015015015,3.3033033033033,10.2102102102102,5.40540540540541,2.7027027027027,15.6156156156156,3.3033033033033,4.8048048048048,14.7147147147147,16.2162162162162,9.60960960960961
"E01004202",440,0,0,8,0,0,5,34,2,34,55,18,5,86,15,20,71,49,38,0,0,1.81818181818182,0,0,1.13636363636364,7.72727272727273,0.454545454545455,7.72727272727273,12.5,4.09090909090909,1.13636363636364,19.5454545454545,3.40909090909091,4.54545454545455,16.1363636363636,11.1363636363636,8.63636363636364
"E01004203",431,0,0,8,0,0,11,51,6,41,45,29,6,73,18,13,57,39,34,0,0,1.85614849187935,0,0,2.55220417633411,11.8329466357309,1.39211136890951,9.51276102088167,10.4408352668213,6.72853828306264,1.39211136890951,16.9373549883991,4.17633410672854,3.01624129930394,13.2250580046404,9.04872389791183,7.88863109048724
"E01004204",252,0,0,4,0,0,4,28,1,22,16,10,6,33,19,12,37,39,21,0,0,1.58730158730159,0,0,1.58730158730159,11.1111111111111,0.396825396825397,8.73015873015873,6.34920634920635,3.96825396825397,2.38095238095238,13.0952380952381,7.53968253968254,4.76190476190476,14.6825396825397,15.4761904761905,8.33333333333333
"E01004205",269,0,0,2,0,2,1,49,1,40,8,10,3,27,12,4,52,39,19,0,0,0.743494423791822,0,0.743494423791822,0.371747211895911,18.2156133828996,0.371747211895911,14.8698884758364,2.97397769516729,3.71747211895911,1.11524163568773,10.0371747211896,4.46096654275093,1.48698884758364,19.3308550185874,14.4981412639405,7.0631970260223
"E01004206",235,0,0,5,0,0,1,33,2,32,10,6,6,18,10,9,39,47,17,0,0,2.12765957446809,0,0,0.425531914893617,14.0425531914894,0.851063829787234,13.6170212765957,4.25531914893617,2.5531914893617,2.5531914893617,7.65957446808511,4.25531914893617,3.82978723404255,16.5957446808511,20,7.23404255319149
"E01004207",247,0,0,7,0,0,4,39,4,16,12,14,4,23,13,15,45,35,16,0,0,2.83400809716599,0,0,1.61943319838057,15.7894736842105,1.61943319838057,6.47773279352227,4.8582995951417,5.66801619433198,1.61943319838057,9.31174089068826,5.26315789473684,6.07287449392713,18.2186234817814,14.17004048583,6.47773279352227
"E01004208",455,0,0,8,0,0,2,54,2,33,42,36,7,75,28,18,60,59,31,0,0,1.75824175824176,0,0,0.43956043956044,11.8681318681319,0.43956043956044,7.25274725274725,9.23076923076923,7.91208791208791,1.53846153846154,16.4835164835165,6.15384615384615,3.95604395604396,13.1868131868132,12.967032967033,6.81318681318681
"E01004209",189,0,0,3,0,0,0,33,2,12,8,10,2,18,7,9,37,36,12,0,0,1.58730158730159,0,0,0,17.4603174603175,1.05820105820106,6.34920634920635,4.23280423280423,5.29100529100529,1.05820105820106,9.52380952380952,3.7037037037037,4.76190476190476,19.5767195767196,19.047619047619,6.34920634920635
"E01004211",393,0,0,1,0,1,3,45,2,23,46,18,5,101,17,8,42,50,31,0,0,0.254452926208651,0,0.254452926208651,0.763358778625954,11.4503816793893,0.508905852417303,5.85241730279898,11.704834605598,4.58015267175572,1.27226463104326,25.6997455470738,4.32569974554707,2.03562340966921,10.6870229007634,12.7226463104326,7.88804071246819
"E01004212",308,0,0,3,1,0,4,42,6,22,20,13,3,54,18,17,41,39,25,0,0,0.974025974025974,0.324675324675325,0,1.2987012987013,13.6363636363636,1.94805194805195,7.14285714285714,6.49350649350649,4.22077922077922,0.974025974025974,17.5324675324675,5.84415584415584,5.51948051948052,13.3116883116883,12.6623376623377,8.11688311688312
