"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E01004197",1906,343,176,174,17,161,824,211,42,199,81,16,102,17.9958027282267,9.23399790136411,9.12906610703043,0.891920251836306,8.44700944386149,43.2318992654774,11.0703043022036,2.20356768100735,10.4407135362015,4.24973767051417,0.839454354669465,5.35152151101784
"E01004198",1242,376,128,131,11,84,389,123,31,99,36,10,53,30.2737520128824,10.3059581320451,10.5475040257649,0.885668276972625,6.76328502415459,31.3204508856683,9.90338164251208,2.49597423510467,7.97101449275362,2.89855072463768,0.805152979066022,4.26731078904992
"E01004199",1172,380,153,129,11,101,282,116,41,108,32,10,65,32.4232081911263,13.0546075085324,11.0068259385666,0.938566552901024,8.61774744027304,24.061433447099,9.89761092150171,3.49829351535836,9.21501706484642,2.73037542662116,0.853242320819113,5.54607508532423
"E01004200",1399,149,63,106,10,226,713,132,19,359,115,48,195,10.650464617584,4.50321658327377,7.57684060042888,0.714796283059328,16.1543959971408,50.9649749821301,9.43531093638313,1.35811293781272,25.6611865618299,8.22015725518227,3.43102215868477,13.9385275196569
"E01004201",1245,272,112,112,10,126,521,92,35,104,28,9,67,21.8473895582329,8.99598393574297,8.99598393574297,0.803212851405622,10.1204819277108,41.8473895582329,7.38955823293173,2.81124497991968,8.35341365461847,2.24899598393574,0.72289156626506,5.38152610441767
"E01004202",1427,211,99,132,12,103,728,142,31,126,56,15,55,14.7862648913805,6.93763139453399,9.25017519271198,0.840925017519271,7.21793973370708,51.0161177295025,9.95094604064471,2.17238962859145,8.82971268395235,3.92431674842327,1.05115627189909,3.85423966362999
"E01004203",1466,279,110,122,10,150,650,145,23,156,52,19,85,19.031377899045,7.50341064120055,8.32196452933151,0.682128240109141,10.2319236016371,44.3383356070941,9.89085948158254,1.56889495225102,10.6412005457026,3.54706684856753,1.29604365620737,5.79809004092769
"E01004204",1287,451,122,107,7,119,368,113,34,132,44,10,76,35.042735042735,9.47940947940948,8.31390831390831,0.543900543900544,9.24630924630925,28.5936285936286,8.78010878010878,2.64180264180264,10.2564102564103,3.41880341880342,0.777000777000777,5.90520590520591
"E01004205",1580,418,204,178,8,160,406,206,54,224,85,33,106,26.4556962025316,12.9113924050633,11.2658227848101,0.506329113924051,10.126582278481,25.6962025316456,13.0379746835443,3.41772151898734,14.1772151898734,5.37974683544304,2.08860759493671,6.70886075949367
"E01004206",1184,341,134,119,17,121,310,142,39,182,61,21,99,28.8006756756757,11.3175675675676,10.0506756756757,1.43581081081081,10.2195945945946,26.1824324324324,11.9932432432432,3.29391891891892,15.3716216216216,5.15202702702703,1.77364864864865,8.36148648648649
"E01004207",1151,279,122,115,11,132,386,106,49,237,52,43,142,24.2397914856646,10.5994787141616,9.99131190269331,0.955690703735882,11.4682884448306,33.5360556038228,9.20938314509123,4.25716768027802,20.5907906168549,4.51781059947871,3.73588184187663,12.3370981754996
"E01004208",1746,198,113,126,13,242,890,164,37,362,78,39,245,11.340206185567,6.47193585337915,7.21649484536082,0.744558991981672,13.8602520045819,50.9736540664376,9.39289805269187,2.11912943871707,20.7331042382589,4.46735395189003,2.23367697594502,14.0320733104238
"E01004209",985,294,123,123,6,92,236,111,32,97,31,12,54,29.8477157360406,12.4873096446701,12.4873096446701,0.609137055837563,9.34010152284264,23.9593908629442,11.2690355329949,3.24873096446701,9.84771573604061,3.14720812182741,1.21827411167513,5.48223350253807
"E01004211",1341,159,97,102,10,123,738,112,14,151,47,13,91,11.8568232662192,7.23340790454884,7.60626398210291,0.745712155108128,9.17225950782998,55.0335570469799,8.35197613721104,1.04399701715138,11.2602535421327,3.5048471290082,0.969425801640567,6.78598061148397
"E01004212",1483,260,163,123,14,153,568,202,27,433,56,40,337,17.5320296695887,10.9912339851652,8.29399865138233,0.944032366824005,10.3169251517195,38.3007417397168,13.6210384356035,1.82063385030344,29.1975724881996,3.77612946729602,2.69723533378287,22.7242076871207
"E01004214",1208,391,164,144,20,127,250,112,49,100,34,27,39,32.3675496688742,13.5761589403974,11.9205298013245,1.65562913907285,10.5132450331126,20.6953642384106,9.27152317880795,4.05629139072848,8.27814569536424,2.81456953642384,2.23509933774834,3.22847682119205
"E01004215",2206,403,185,163,16,167,1043,229,42,229,51,22,156,18.2683590208522,8.38621940163191,7.38893925657298,0.725294650951949,7.57026291931097,47.2801450589302,10.3807796917498,1.90389845874887,10.3807796917498,2.31187669990934,0.99728014505893,7.07162284678151
"E01004216",1363,205,95,96,9,119,704,135,23,140,42,8,90,15.0403521643434,6.96991929567131,7.0432868672047,0.66030814380044,8.73074101247249,51.6507703595011,9.9046221570066,1.68745414526779,10.2714600146735,3.08143800440205,0.586940572267058,6.6030814380044
"E01004217",1429,325,124,123,27,142,543,145,19,90,34,7,49,22.7431770468859,8.67739678096571,8.6074177746676,1.88943317004899,9.9370188943317,37.998600419874,10.146955913226,1.3296011196641,6.29811056682995,2.37928621413576,0.489853044086774,3.42897130860742
"E01004218",1461,185,94,140,14,130,749,149,18,149,35,14,98,12.662559890486,6.43394934976044,9.58247775496235,0.958247775496235,8.89801505817933,51.2662559890486,10.1984941820671,1.23203285420945,10.1984941820671,2.39561943874059,0.958247775496235,6.70773442847365
