"GeographyCode","QS418EW0001","QS418EW0002","QS418EW0003"
"E00021141",118,118,0
"E00021143",138,138,0
"E00021145",104,104,0
"E00021146",147,147,0
"E00021147",88,88,0
"E00021148",122,122,0
"E00021149",127,127,0
"E00021150",118,118,0
"E00021151",114,114,0
"E00021152",139,139,0
"E00021153",150,150,0
"E00021154",122,122,0
"E00021155",169,167,2
"E00021156",132,131,1
"E00021157",106,106,0
"E00021158",104,101,3
"E00021159",247,247,0
"E00021160",109,108,1
"E00021161",156,156,0
"E00021162",119,118,1
"E00021163",120,120,0
"E00021164",128,128,0
"E00021165",121,120,1
"E00021166",127,127,0
"E00021167",119,118,1
"E00021168",177,177,0
"E00021169",190,190,0
"E00021170",163,163,0
"E00021171",242,242,0
"E00021172",126,126,0
"E00021173",146,146,0
"E00021174",130,130,0
"E00021175",126,125,1
"E00021176",152,152,0
"E00021177",131,130,1
"E00021179",145,145,0
"E00021180",174,174,0
"E00021181",109,109,0
"E00021182",163,162,1
"E00021183",138,137,1
"E00021184",69,69,0
"E00021185",134,134,0
"E00021186",158,157,1
"E00021187",98,97,1
"E00021188",113,111,2
"E00021189",124,124,0
"E00021190",166,165,1
"E00021191",127,127,0
"E00021192",114,113,1
"E00021193",180,179,1
"E00021194",173,171,2
"E00021195",109,109,0
"E00021196",114,113,1
"E00021197",224,222,2
"E00021198",91,90,1
"E00021199",112,112,0
"E00021200",108,107,1
"E00021201",109,109,0
"E00021202",92,91,1
"E00021203",104,103,1
"E00021204",136,135,1
"E00021205",93,90,3
"E00021206",79,79,0
"E00021207",171,171,0
"E00021208",109,109,0
"E00021209",76,76,0
"E00021210",79,79,0
"E00021211",132,131,1
"E00021212",77,77,0
"E00021213",134,133,1
"E00021214",162,161,1
"E00021215",184,183,1
"E00021216",177,176,1
"E00021217",254,252,2
"E00021218",210,210,0
"E00021219",110,110,0
"E00021220",199,199,0
"E00021223",199,199,0
"E00021224",175,175,0
"E00021225",153,153,0
"E00021227",127,127,0
"E00021228",138,138,0
"E00021229",124,124,0
"E00021230",140,140,0
"E00021231",125,125,0
"E00021235",109,109,0
"E00021236",137,136,1
"E00021238",198,197,1
"E00021239",159,159,0
"E00021240",172,172,0
"E00021241",120,120,0
"E00021243",149,149,0
"E00021244",149,149,0
"E00021245",114,112,2
"E00021246",185,185,0
"E00021247",116,115,1
"E00021248",140,140,0
