"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E02000864",3468,18,950,1434,827,178,61
"E02000865",2763,18,795,1037,601,224,88
"E02000866",3829,12,958,1076,1286,381,116
"E02000867",4307,10,1358,1993,618,252,76
"E02000868",2618,13,795,1016,548,200,46
"E02000869",2485,20,808,967,495,165,30
"E02000870",2560,15,641,1012,748,104,40
"E02000871",3107,16,922,1224,711,194,40
"E02000872",3088,24,944,1329,590,165,36
"E02000873",2792,15,648,1332,485,162,150
"E02000874",2494,23,779,904,589,155,44
"E02000875",3437,26,994,1454,711,179,73
"E02000876",2750,23,1099,888,487,168,85
"E02000877",3252,21,635,1323,883,291,99
"E02000878",3900,31,1498,1346,611,308,106
"E02000879",2855,17,876,951,762,169,80
"E02000880",2090,14,655,859,351,135,76
"E02000881",2379,11,548,860,714,213,33
"E02000882",2884,11,719,1234,593,224,103
"E02000883",2880,15,585,1197,858,180,45
"E02000884",3707,19,1361,1405,616,205,101
"E02000885",2509,15,754,977,528,168,67
"E02000886",3185,12,863,1527,600,149,34
"E02000887",3165,20,766,1304,844,180,51
"E02000888",3306,16,964,1589,536,153,48
"E02000889",2879,17,886,1239,542,158,37
"E02000890",3093,23,1077,1458,420,85,30
"E02000891",5742,28,1865,2767,776,243,63
"E02000893",2912,20,689,1354,619,184,46
"E02000894",4510,20,1243,2077,781,265,124
"E02006853",3320,19,1390,1219,539,105,48
"E02006854",2991,10,1104,1447,318,107,5
