"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E02000864",8296,1366,458,908,136,4858,1523,3335,1869,1803,0,49,17,67
"E02000865",6977,1057,336,721,140,4099,2377,1722,1606,1519,18,51,18,75
"E02000866",9610,3059,1100,1959,118,3490,815,2675,2834,2709,6,107,12,109
"E02000867",9761,2204,542,1662,300,3616,1588,2028,3519,3381,10,104,24,122
"E02000868",6416,1413,441,972,64,2636,1218,1418,2250,2105,10,91,44,53
"E02000869",5679,1469,508,961,41,2643,1833,810,1474,1364,5,70,35,52
"E02000870",6430,1434,480,954,100,3168,1927,1241,1649,1575,3,63,8,79
"E02000871",8591,1282,323,959,192,4994,1522,3472,1978,1861,5,57,55,145
"E02000872",7480,1433,453,980,75,3382,2432,950,2501,2395,4,79,23,89
"E02000873",7467,1564,472,1092,134,3572,2882,690,2126,1631,2,68,425,71
"E02000874",6879,1355,406,949,59,3710,2689,1021,1679,1598,1,30,50,76
"E02000875",9379,1283,338,945,118,5418,2097,3321,2420,2282,7,93,38,140
"E02000876",6900,1447,411,1036,81,2856,1690,1166,2426,2293,0,93,40,90
"E02000877",9748,1671,446,1225,41,5312,1969,3343,2627,2489,0,91,47,97
"E02000878",9451,2391,778,1613,76,3478,1498,1980,3400,3200,4,91,105,106
"E02000879",7417,1706,562,1144,95,3465,1504,1961,2041,1896,7,90,48,110
"E02000880",5634,1343,382,961,56,2496,1891,605,1663,1569,7,41,46,76
"E02000881",6909,1257,401,856,186,4055,1531,2524,1339,1248,6,29,56,72
"E02000882",8563,1143,288,855,480,5687,2129,3558,1121,1041,0,36,44,132
"E02000883",7853,1157,357,800,121,4792,1729,3063,1721,1630,10,34,47,62
"E02000884",9021,1508,565,943,147,2999,1072,1927,4264,4119,25,69,51,103
"E02000885",6873,1168,350,818,204,3893,1430,2463,1518,1432,0,41,45,90
"E02000886",7326,2210,670,1540,91,2509,1961,548,2431,2340,15,59,17,85
"E02000887",8585,1551,476,1075,141,4622,2648,1974,2184,2060,5,67,52,87
"E02000888",8210,2099,565,1534,233,3194,1505,1689,2547,2433,4,73,37,137
"E02000889",6549,1934,665,1269,107,2317,1138,1179,2103,1984,10,79,30,88
"E02000890",5795,2526,983,1543,66,833,530,303,2292,2150,48,71,23,78
"E02000891",12678,2648,794,1854,397,4088,1543,2545,5393,5220,15,103,55,152
"E02000893",6783,1947,597,1350,58,2596,677,1919,2091,1997,2,59,33,91
"E02000894",10137,2994,811,2183,110,2255,452,1803,4654,4525,9,91,29,124
"E02006853",7063,1391,432,959,153,2810,510,2300,2570,2467,23,48,32,139
"E02006854",5883,1384,494,890,155,1354,193,1161,2914,2791,59,33,31,76
