"GeographyCode","KS201EW0001","KS201EW0002","KS201EW0003","KS201EW0004","KS201EW0005","KS201EW0006","KS201EW0007","KS201EW0008","KS201EW0009","KS201EW0010","KS201EW0011","KS201EW0012","KS201EW0013","KS201EW0014","KS201EW0015","KS201EW0016","KS201EW0017","KS201EW0018","KS201EW0019","KS201EW0020","KS201EW0021","KS201EW0022","KS201EW0023","KS201EW0024","KS201EW0025","KS201EW0026","KS201EW0027","KS201EW0028","KS201EW0029","KS201EW0030","KS201EW0031","KS201EW0032","KS201EW0033","KS201EW0034","KS201EW0035","KS201EW0036","KS201EW0037"
"E02000864",8297,3717,142,7,713,171,56,72,127,99,40,1799,85,120,395,407,193,75,79,44.7993250572496,1.71146197420754,0.0843678437989635,8.59346751838014,2.06098589851754,0.674942750391708,0.86778353621791,1.53067373749548,1.19320236229963,0.482101964565506,21.6825358563336,1.0244666747017,1.44630589369652,4.76075690008437,4.90538748945402,2.32614197902856,0.903941183560323,0.952151380016874
"E02000865",7051,2489,132,4,685,88,34,96,103,101,19,2380,71,121,284,150,119,64,111,35.2999574528436,1.87207488299532,0.0567295419089491,9.71493405190753,1.24804992199688,0.482201106226067,1.36150900581478,1.46078570415544,1.43242093320096,0.269465324067508,33.7540774358247,1.00694936888385,1.71606864274571,4.02779747553538,2.12735782158559,1.68770387179124,0.907672670543185,1.57424478797334
"E02000866",9662,5123,221,11,972,141,52,138,124,170,39,1565,141,149,283,260,132,57,84,53.0221486234734,2.28731111571103,0.113848064582902,10.0600289795073,1.45932519147174,0.538190850755537,1.42827571931277,1.2833781825709,1.75947008900849,0.403643138066653,16.1974746429311,1.45932519147174,1.54212378389567,2.92900020699648,2.69095425377769,1.36617677499483,0.589939971020493,0.869385220451252
"E02000867",9761,4382,177,9,1083,198,70,135,156,258,75,1911,233,178,274,273,134,70,145,44.8929412969983,1.81333879725438,0.0922036676570024,11.095174674726,2.02848068845405,0.717139637332241,1.38305501485504,1.59819690605471,2.6431718061674,0.768363897141686,19.5779120991702,2.38705050712017,1.82358364921627,2.80708943755763,2.79684458559574,1.37281016289315,0.717139637332241,1.48550353447393
"E02000868",6632,2494,158,8,950,63,54,76,113,72,53,1885,74,89,191,88,86,53,125,37.605548854041,2.38238841978287,0.120627261761158,14.3244873341375,0.949939686369119,0.814234016887817,1.145958986731,1.70386007237636,1.08564535585042,0.799155609167672,28.4227985524729,1.11580217129071,1.34197828709288,2.87997587454765,1.32689987937274,1.29674306393245,0.799155609167672,1.88480096501809
"E02000869",5705,2285,143,1,783,70,58,75,79,55,25,1402,74,82,254,107,85,35,92,40.0525854513585,2.50657318141981,0.0175284837861525,13.7248028045574,1.22699386503067,1.01665205959684,1.31463628396144,1.38475021910605,0.964066608238387,0.438212094653812,24.5749342681858,1.29710780017528,1.4373356704645,4.45223488168273,1.87554776511832,1.48992112182296,0.613496932515337,1.61262050832603
"E02000870",6477,2679,118,2,700,71,41,86,85,76,38,1824,85,105,198,100,90,68,111,41.3617415470125,1.82183109464258,0.0308784931295353,10.8074725953373,1.0961865060985,0.633009109155473,1.32777520457002,1.31233595800525,1.17338273892234,0.58669136946117,28.1611857341362,1.31233595800525,1.6211208893006,3.05697081982399,1.54392465647676,1.38953219082909,1.0498687664042,1.71375636868921
"E02000871",8591,1691,85,3,628,106,53,82,105,162,88,3949,209,162,514,301,228,95,130,19.6833895937609,0.989407519497148,0.034920265394017,7.30997555581422,1.23384937725527,0.616924688627634,0.954487254103131,1.22220928879059,1.88569433127692,1.02432778489117,45.966709346991,2.43277848911652,1.88569433127692,5.98300547084158,3.50366662786637,2.65394016994529,1.10580840414387,1.5132115004074
"E02000872",7501,2470,145,4,1052,60,32,103,120,101,44,2472,112,150,229,150,88,76,93,32.9289428076257,1.93307558992134,0.053326223170244,14.0247966937742,0.79989334755366,0.426609785361952,1.37315024663378,1.59978669510732,1.34648713504866,0.586588454872684,32.9556059192108,1.49313424876683,1.99973336888415,3.05292627649647,1.99973336888415,1.17317690974537,1.01319824023464,1.23983468870817
"E02000873",8713,2607,120,7,971,59,60,124,98,218,142,2907,334,272,349,110,146,84,105,29.9208079880638,1.37725238149891,0.0803397222541031,11.144267186962,0.677149087570297,0.688626190749455,1.42316079421554,1.12475611155744,2.50200849305635,1.62974865144038,33.3639389418111,3.83335246183863,3.12177206473086,4.005509009526,1.26248134970733,1.67565706415701,0.964076667049237,1.20509583381155
"E02000874",7129,1641,95,0,667,52,39,81,71,110,67,3308,211,130,240,146,147,59,65,23.0186561930144,1.33258521531772,0,9.35615093280965,0.729415065226539,0.547061298919905,1.13620423621826,0.995932108290083,1.54299340720999,0.939823257118811,46.4020199186422,2.95974189928461,1.82353766306635,3.36653107027634,2.04797306775144,2.06200028054426,0.827605554776266,0.911768831533174
"E02000875",9440,2477,101,36,667,142,52,70,97,125,85,3798,232,230,505,362,236,100,125,26.239406779661,1.06991525423729,0.38135593220339,7.0656779661017,1.50423728813559,0.550847457627119,0.741525423728814,1.02754237288136,1.32415254237288,0.900423728813559,40.2330508474576,2.45762711864407,2.4364406779661,5.34957627118644,3.83474576271186,2.5,1.0593220338983,1.32415254237288
"E02000876",7037,1734,116,3,798,51,52,74,92,133,64,3050,134,153,234,95,98,61,95,24.6411823220122,1.64842972857752,0.0426318033252807,11.3400596845247,0.724740656529771,0.738951257638198,1.05158448202359,1.30737530197527,1.89000994742078,0.909478470939321,43.342333380702,1.9042205485292,2.17422196958931,3.32528065937189,1.35000710530055,1.39263890862583,0.86684666761404,1.35000710530055
"E02000877",9803,2157,92,7,884,129,26,89,92,188,100,4525,175,206,527,287,156,75,88,22.0034683260226,0.938488217892482,0.0714067122309497,9.01764765887993,1.3159236968275,0.265224931143527,0.907885341222075,0.938488217892482,1.91778027134551,1.02009588901357,46.1593389778639,1.78516780577374,2.10139753136795,5.3759053351015,2.92767520146894,1.59134958686117,0.765071916760175,0.897684382331939
"E02000878",10286,2666,162,14,1814,51,51,112,115,220,159,3852,198,186,264,97,99,100,126,25.9187244798756,1.57495625121524,0.136107330351935,17.6356212327435,0.495819560567762,0.495819560567762,1.08885864281548,1.11802449931946,2.13882947695897,1.54579039471126,37.448959751118,1.92494652926308,1.80828310324713,2.56659537235077,0.943029360295547,0.962473264631538,0.972195216799533,1.22496597316741
"E02000879",7634,2266,105,2,732,65,43,85,96,126,93,3080,114,147,201,149,88,134,108,29.6829971181556,1.37542572701074,0.0261985852763951,9.5886822111606,0.85145402148284,0.563269583442494,1.11343987424679,1.25753209326696,1.65051087241289,1.21823421535237,40.3458213256484,1.49331936075452,1.92559601781504,2.63295782027771,1.95179460309143,1.15273775216138,1.75530521351847,1.41472360492533
"E02000880",5776,1403,79,3,621,41,19,63,65,128,96,2567,77,164,170,52,58,80,90,24.2901662049861,1.36772853185596,0.0519390581717452,10.7513850415512,0.70983379501385,0.328947368421053,1.09072022160665,1.12534626038781,2.21606648199446,1.66204986149584,44.4425207756233,1.33310249307479,2.8393351800554,2.94321329639889,0.900277008310249,1.00415512465374,1.38504155124654,1.55817174515235
"E02000881",6909,1802,56,11,533,150,60,42,50,96,76,2749,145,158,433,223,173,52,100,26.0819221305543,0.810536980749747,0.1592126212187,7.71457519177884,2.17108119843682,0.868432479374729,0.60790273556231,0.723693732812274,1.38949196699957,1.10001447387466,39.7886814300188,2.09871182515559,2.28687219568679,6.26718772615429,3.22767404834274,2.50398031553047,0.752641482124765,1.44738746562455
"E02000882",8604,1934,67,2,542,109,45,94,85,150,62,4539,101,144,278,179,159,63,51,22.4779172477917,0.778707577870758,0.0232450023245002,6.29939562993956,1.26685262668526,0.523012552301255,1.09251510925151,0.98791259879126,1.74337517433752,0.720595072059507,52.7545327754533,1.17387261738726,1.67364016736402,3.23105532310553,2.08042770804277,1.84797768479777,0.732217573221757,0.592747559274756
"E02000883",7950,2291,67,1,640,143,47,44,62,99,56,3074,204,158,453,251,201,72,87,28.8176100628931,0.842767295597484,0.0125786163522013,8.05031446540881,1.79874213836478,0.591194968553459,0.553459119496855,0.779874213836478,1.24528301886792,0.70440251572327,38.6666666666667,2.56603773584906,1.9874213836478,5.69811320754717,3.15723270440252,2.52830188679245,0.905660377358491,1.09433962264151
"E02000884",9086,2235,154,8,1416,37,37,110,99,269,221,3360,227,281,251,55,71,143,112,24.5982830728593,1.69491525423729,0.0880475456746643,15.5844155844156,0.407219898745322,0.407219898745322,1.21065375302663,1.08958837772397,2.96059872331059,2.4323134492626,36.979969183359,2.4983491085186,3.09267004182258,2.76249174554259,0.605326876513317,0.781421967862646,1.57384987893462,1.2326656394453
"E02000885",6895,1404,94,3,588,33,35,70,62,114,79,3491,99,120,253,137,119,107,87,20.3625815808557,1.3633067440174,0.0435097897026831,8.52791878172589,0.478607686729514,0.50761421319797,1.01522842639594,0.899202320522118,1.65337200870196,1.14575779550399,50.6308919506889,1.43582306018854,1.74039158810732,3.66932559825961,1.98694706308919,1.7258883248731,1.55184916606236,1.26178390137781
"E02000886",7326,2423,132,1,1068,64,48,78,83,216,43,2027,330,202,246,119,93,70,83,33.0739830739831,1.8018018018018,0.0136500136500137,14.5782145782146,0.873600873600874,0.655200655200655,1.06470106470106,1.13295113295113,2.94840294840295,0.586950586950587,27.6685776685777,4.5045045045045,2.75730275730276,3.35790335790336,1.62435162435162,1.26945126945127,0.955500955500955,1.13295113295113
"E02000887",8660,2313,86,2,873,114,64,80,97,143,89,3349,237,217,443,240,153,73,87,26.7090069284065,0.993071593533487,0.023094688221709,10.080831408776,1.31639722863741,0.739030023094688,0.92378752886836,1.12009237875289,1.65127020785219,1.02771362586605,38.6720554272517,2.73672055427252,2.50577367205543,5.11547344110854,2.77136258660508,1.76674364896074,0.842956120092379,1.00461893764434
"E02000888",8215,2071,128,2,1082,75,50,85,82,269,77,3179,254,159,320,128,130,63,61,25.2099817407182,1.5581253804017,0.0243457090687766,13.1710286062082,0.912964090079124,0.608642726719416,1.03469263542301,0.998174071819842,3.27449786975046,0.9373097991479,38.6975045648204,3.09190505173463,1.93548387096774,3.89531345100426,1.5581253804017,1.58247108947048,0.766889835666464,0.742544126597687
"E02000889",6616,2166,143,1,1031,49,37,111,84,192,46,2039,165,152,162,69,43,80,46,32.7388149939541,2.16142684401451,0.0151148730350665,15.5834340991536,0.740628778718259,0.559250302297461,1.67775090689238,1.26964933494559,2.90205562273277,0.695284159613059,30.8192261185006,2.49395405078597,2.29746070133011,2.44860943168077,1.04292623941959,0.64993954050786,1.20918984280532,0.695284159613059
"E02000890",5795,2986,139,16,1264,31,16,84,63,131,22,537,153,116,53,63,11,37,73,51.5271786022433,2.39861949956859,0.276100086281277,21.8119068162209,0.534943917169974,0.276100086281277,1.4495254529767,1.08714408973253,2.26056945642796,0.379637618636756,9.26660914581536,2.64020707506471,2.00172562553926,0.91458153580673,1.08714408973253,0.189818809318378,0.638481449525453,1.25970664365833
"E02000891",12678,3385,191,2,2158,164,75,173,166,880,167,2241,1196,478,604,250,178,166,204,26.6997949203344,1.50654677393911,0.0157753588894147,17.0216122416785,1.29357942893201,0.591575958353053,1.36456854393437,1.30935478782142,6.94115791134248,1.31724246726613,17.6762896355892,9.43366461587001,3.77031077457012,4.76415838460325,1.97191986117684,1.40400694115791,1.30935478782142,1.6090866067203
"E02000893",6783,2782,82,1,1042,80,59,96,81,313,59,1159,354,184,206,119,33,61,72,41.0143004570249,1.20890461447737,0.0147427392009435,15.3619342473832,1.17941913607548,0.869821612855669,1.41530296329058,1.19416187527643,4.61447736989533,0.869821612855669,17.0868347338936,5.21892967713401,2.71266401297361,3.03700427539437,1.75438596491228,0.486510393631137,0.899307091257556,1.06147722246793
"E02000894",10137,3593,148,2,2070,97,49,146,110,734,97,1265,853,316,231,147,67,85,127,35.444411561606,1.45999802702969,0.0197297030679688,20.4202426753477,0.956890598796488,0.483377725165236,1.44026832396172,1.08513366873829,7.24080102594456,0.956890598796488,12.4790371904903,8.4147183584887,3.11729308473907,2.2787807043504,1.45013317549571,0.660945052776956,0.838512380388675,1.25283614481602
"E02006853",7064,1904,110,1,1209,80,56,103,110,426,57,1361,617,234,266,156,124,110,140,26.9535673839185,1.55719139297848,0.0141562853907135,17.1149490373726,1.13250283125708,0.792751981879955,1.45809739524349,1.55719139297848,6.03057757644394,0.806908267270668,19.266704416761,8.73442808607022,3.31257078142695,3.76557191392978,2.2083805209513,1.75537938844847,1.55719139297848,1.98187995469989
"E02006854",5883,1661,75,1,1314,53,39,84,81,413,64,733,615,223,184,71,55,105,112,28.2338942716301,1.2748597654258,0.0169981302056774,22.3355430902601,0.900900900900901,0.662927078021418,1.4278429372769,1.37684854665987,7.02022777494476,1.08788033316335,12.4596294407615,10.4538500764916,3.79058303586605,3.12765595784464,1.20686724460309,0.934897161312256,1.78480367159612,1.90379058303587
