"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E01004197",964,34,642,159,1,0,67,61
"E01004198",606,13,389,53,10,0,118,23
"E01004199",574,3,441,48,5,0,32,45
"E01004200",585,44,377,121,1,0,17,25
"E01004201",619,16,498,58,0,0,14,33
"E01004202",713,6,607,36,0,0,20,44
"E01004203",689,22,546,78,1,0,12,30
"E01004204",631,6,434,148,1,0,8,34
"E01004205",688,7,463,114,1,0,56,47
"E01004206",554,10,362,72,4,0,58,48
"E01004207",515,14,377,70,0,0,20,34
"E01004208",788,71,324,290,9,0,69,25
"E01004209",466,1,395,16,0,0,22,32
"E01004211",720,46,355,280,0,0,21,18
"E01004212",720,19,427,122,3,2,112,35
"E01004214",665,7,500,31,7,0,71,49
"E01004215",1168,44,616,385,4,1,70,48
"E01004216",737,12,604,75,1,0,15,30
"E01004217",779,24,633,58,0,2,17,45
"E01004218",731,19,529,124,0,0,13,46
"E01004219",851,28,460,255,4,1,55,48
"E01004221",802,19,555,174,0,0,27,27
"E01004222",1048,18,820,112,1,0,40,57
"E01004223",938,16,674,189,1,1,19,38
"E01004224",806,19,559,151,0,0,32,45
"E01004225",1147,101,218,797,1,0,19,11
"E01004226",676,13,448,176,0,0,14,25
"E01004228",769,11,655,54,0,0,8,41
"E01004229",551,15,434,44,1,0,17,40
"E01004230",803,23,698,37,0,0,14,31
"E01004231",629,8,466,92,0,0,21,42
"E01004232",603,15,497,54,0,0,10,27
"E01004233",751,16,340,154,34,2,179,26
"E01004234",903,32,717,83,1,1,26,43
"E01004235",513,5,371,42,1,0,67,27
"E01004236",497,6,407,14,3,0,27,40
"E01004237",506,18,242,183,3,1,44,15
"E01004238",1058,21,480,415,10,1,56,75
"E01004239",533,3,369,41,5,0,82,33
"E01004240",574,8,367,47,6,0,105,41
"E01004241",570,9,438,36,2,0,39,46
"E01004242",898,19,662,74,4,1,64,74
"E01004243",614,21,366,89,49,0,46,43
"E01004244",686,12,521,55,0,0,35,63
"E01004245",433,5,346,23,1,0,19,39
"E01004246",747,17,553,81,17,1,31,47
