"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E01004197",2285,338,31,307,1212,28,672,100,115,419,38,0,0,0,0,0,260,154,53,35,18,252,96,71,85,735,59,141,42,2,491
"E01004198",1522,243,84,159,757,32,445,58,54,261,72,2,2,0,0,0,102,52,15,35,0,176,63,58,55,522,78,147,18,2,277
"E01004199",1637,187,47,140,1063,16,672,32,105,477,58,0,0,0,0,0,101,34,16,45,6,274,78,131,65,387,45,142,11,2,187
"E01004200",1394,177,13,164,593,14,297,48,42,194,13,2,2,0,0,0,205,166,21,9,9,75,10,26,39,624,31,71,69,0,453
"E01004201",1533,216,51,165,801,14,484,48,88,289,59,2,2,0,0,0,116,48,21,33,14,185,66,71,48,516,59,80,25,11,341
"E01004202",1705,230,17,213,944,6,494,110,83,256,45,10,10,0,0,0,264,214,9,41,0,170,46,74,50,531,30,121,18,4,358
"E01004203",1779,194,39,155,860,16,456,56,50,302,48,2,2,0,0,0,193,144,9,36,4,193,42,85,66,725,35,115,50,2,523
"E01004204",1538,249,85,164,799,30,500,56,109,269,66,4,4,0,0,0,92,46,9,31,6,173,48,55,70,490,57,142,17,5,269
"E01004205",2106,201,30,171,1156,10,844,52,142,562,88,4,4,0,0,0,83,44,6,30,3,215,71,93,51,749,108,275,62,2,302
"E01004206",1491,222,47,175,828,20,513,32,107,314,60,4,4,0,0,0,65,38,3,18,6,226,54,118,54,441,64,113,37,4,223
"E01004207",1342,189,49,140,708,14,404,56,60,241,47,4,4,0,0,0,90,46,14,19,11,196,52,81,63,445,47,124,79,4,191
"E01004208",1842,280,23,257,749,6,479,110,93,238,38,12,12,0,0,0,173,158,12,0,3,79,15,42,22,813,52,137,92,4,528
"E01004209",1366,154,24,130,785,14,541,22,68,400,51,2,2,0,0,0,30,16,6,8,0,198,65,67,66,427,77,137,14,0,199
"E01004211",1461,315,34,281,611,4,299,98,92,82,27,4,4,0,0,0,213,196,6,8,3,91,34,26,31,535,36,79,19,3,398
"E01004212",1604,318,41,277,808,16,500,80,57,321,42,2,2,0,0,0,132,114,6,8,4,158,58,70,30,478,46,87,64,8,273
"E01004214",1669,252,56,196,1122,18,648,70,94,418,66,2,2,0,0,0,103,26,13,51,13,351,96,180,75,295,87,84,5,2,117
"E01004215",2756,408,62,346,1611,34,854,200,129,422,103,8,8,0,0,0,268,182,21,51,14,447,135,199,113,737,84,148,42,4,459
"E01004216",1619,235,52,183,899,16,537,136,150,209,42,11,8,0,0,3,166,120,28,18,0,169,55,72,42,485,28,46,51,8,352
