"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E01004197",964,34,930,273,141,3.52697095435685,96.4730290456432,28.3195020746888,14.6265560165975
"E01004198",606,13,593,204,103,2.14521452145215,97.8547854785479,33.6633663366337,16.996699669967
"E01004199",574,3,571,222,118,0.522648083623693,99.4773519163763,38.6759581881533,20.5574912891986
"E01004200",585,44,541,246,79,7.52136752136752,92.4786324786325,42.0512820512821,13.5042735042735
"E01004201",619,16,603,164,96,2.58481421647819,97.4151857835218,26.4943457189015,15.5088852988691
"E01004202",713,6,707,233,116,0.841514726507714,99.1584852734923,32.6788218793829,16.2692847124825
"E01004203",689,22,667,240,97,3.19303338171263,96.8069666182874,34.833091436865,14.0783744557329
"E01004204",631,6,625,182,106,0.950871632329636,99.0491283676704,28.8431061806656,16.7987321711569
"E01004205",688,7,681,276,184,1.01744186046512,98.9825581395349,40.1162790697674,26.7441860465116
"E01004206",554,10,544,216,124,1.80505415162455,98.1949458483755,38.9891696750903,22.3826714801444
"E01004207",515,14,501,195,97,2.71844660194175,97.2815533980583,37.8640776699029,18.8349514563107
"E01004208",788,71,717,328,141,9.01015228426396,90.989847715736,41.6243654822335,17.8934010152284
"E01004209",466,1,465,183,129,0.214592274678112,99.7854077253219,39.2703862660944,27.6824034334764
"E01004211",720,46,674,311,91,6.38888888888889,93.6111111111111,43.1944444444444,12.6388888888889
"E01004212",720,19,701,303,124,2.63888888888889,97.3611111111111,42.0833333333333,17.2222222222222
"E01004214",665,7,658,199,119,1.05263157894737,98.9473684210526,29.9248120300752,17.8947368421053
"E01004215",1168,44,1124,450,154,3.76712328767123,96.2328767123288,38.527397260274,13.1849315068493
"E01004216",737,12,725,165,65,1.62822252374491,98.3717774762551,22.3880597014925,8.81953867028494
"E01004217",779,24,755,165,84,3.0808729139923,96.9191270860077,21.1810012836971,10.783055198973
"E01004218",731,19,712,130,72,2.59917920656635,97.4008207934337,17.7838577291382,9.84952120383037
"E01004219",851,28,823,407,182,3.29024676850764,96.7097532314924,47.8260869565217,21.3866039952996
"E01004221",802,19,783,203,103,2.36907730673317,97.6309226932668,25.3117206982544,12.8428927680798
"E01004222",1048,18,1030,300,142,1.7175572519084,98.2824427480916,28.6259541984733,13.5496183206107
"E01004223",938,16,922,178,112,1.70575692963753,98.2942430703625,18.9765458422175,11.9402985074627
"E01004224",806,19,787,232,94,2.35732009925558,97.6426799007444,28.7841191066998,11.6625310173697
"E01004225",1147,101,1046,471,78,8.80557977332171,91.1944202266783,41.0636442894507,6.80034873583261
"E01004226",676,13,663,208,125,1.92307692307692,98.0769230769231,30.7692307692308,18.491124260355
"E01004228",769,11,758,154,68,1.43042912873862,98.5695708712614,20.0260078023407,8.84265279583875
"E01004229",551,15,536,176,110,2.72232304900181,97.2776769509982,31.9419237749546,19.9637023593466
"E01004230",803,23,780,235,137,2.86425902864259,97.1357409713574,29.2652552926526,17.0610211706102
"E01004231",629,8,621,228,140,1.27186009538951,98.7281399046105,36.248012718601,22.2575516693164
"E01004232",603,15,588,137,70,2.48756218905473,97.5124378109453,22.7197346600332,11.6086235489221
"E01004233",751,16,735,160,101,2.13049267643142,97.8695073235686,21.3049267643142,13.4487350199734
"E01004234",903,32,871,196,103,3.5437430786268,96.4562569213732,21.7054263565891,11.40642303433
"E01004235",513,5,508,196,123,0.974658869395711,99.0253411306043,38.2066276803119,23.9766081871345
"E01004236",497,6,491,187,149,1.20724346076459,98.7927565392354,37.625754527163,29.9798792756539
"E01004237",506,18,488,133,59,3.55731225296443,96.4426877470356,26.2845849802372,11.6600790513834
