"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E01004197",2285,203,865,405,812
"E01004198",1522,90,559,267,606
"E01004199",1637,80,461,326,770
"E01004200",1394,84,584,294,432
"E01004201",1533,123,628,291,491
"E01004202",1705,99,568,271,767
"E01004203",1779,116,744,312,607
"E01004204",1538,103,558,287,590
"E01004205",2106,79,503,394,1130
"E01004206",1491,54,480,263,694
"E01004207",1342,82,438,245,577
"E01004208",1842,138,654,316,734
"E01004209",1366,53,323,233,757
"E01004211",1461,68,660,211,522
"E01004212",1604,97,580,243,684
"E01004214",1669,109,505,322,733
"E01004215",2756,211,1020,579,946
"E01004216",1619,133,707,388,391
"E01004217",1745,180,676,345,544
"E01004218",1750,206,730,344,470
"E01004219",2294,118,630,451,1095
"E01004221",1881,186,707,340,648
"E01004222",2479,148,950,467,914
"E01004223",2079,183,900,373,623
"E01004224",2000,157,830,367,646
"E01004225",2178,195,1069,311,603
"E01004226",1738,111,580,306,741
"E01004228",1849,153,859,440,397
"E01004229",1484,102,505,261,616
"E01004230",2091,134,825,388,744
"E01004231",1793,102,558,333,800
"E01004232",1631,148,802,354,327
"E01004233",1821,138,646,328,709
"E01004234",2218,157,992,488,581
"E01004235",1372,55,379,191,747
"E01004236",1679,63,310,302,1004
"E01004237",1158,81,410,248,419
"E01004238",2733,138,798,461,1336
"E01004239",1649,89,405,382,773
"E01004240",1815,85,423,283,1024
"E01004241",1621,106,402,265,848
"E01004242",2433,102,717,447,1167
"E01004243",1789,120,426,267,976
"E01004244",1788,136,570,325,757
"E01004245",1539,50,256,385,848
"E01004246",1977,160,570,420,827
"E01004247",1934,155,504,396,879
"E01004248",1344,62,298,251,733
"E01004249",2049,110,618,469,852
"E01004250",2342,182,598,485,1077
"E01004251",2082,129,629,344,980
"E01004252",2707,184,874,463,1186
"E01004253",2266,140,624,499,1003
"E01004254",2120,210,1078,377,455
"E01004255",1618,105,531,237,745
"E01004256",1729,99,461,323,846
"E01004257",1883,92,460,390,941
"E01004258",1506,174,655,226,451
"E01004259",1694,121,670,239,664
"E01004260",1790,120,488,379,803
"E01004261",1655,127,573,243,712
"E01004262",1366,133,470,244,519
"E01004263",1401,102,485,244,570
"E01004264",1537,65,336,262,874
"E01004266",1545,111,594,356,484
"E01004267",1754,103,649,383,619
"E01004268",1756,74,465,297,920
"E01004269",1920,143,586,346,845
"E01004270",2236,138,876,440,782
"E01004271",1589,107,395,275,812
"E01004272",2099,82,372,349,1296
"E01004273",1904,72,449,348,1035
"E01004274",1973,137,654,464,718
"E01004275",1879,180,721,480,498
"E01004276",2024,202,995,374,453
"E01004277",1630,208,823,259,340
"E01004280",1879,148,675,405,651
"E01004281",1770,168,755,334,513
"E01004283",2143,125,570,368,1080
"E01004284",2302,117,694,419,1072
"E01004285",2318,85,425,419,1389
"E01004286",2353,145,639,486,1083
"E01004287",2171,122,639,360,1050
"E01004288",1590,94,360,287,849
"E01004289",1844,124,664,239,817
"E01004290",1259,93,541,210,415
"E01004291",1844,231,878,162,573
"E01004292",1738,213,895,330,300
"E01004293",2125,291,958,419,457
"E01004294",1690,163,791,217,519
"E01004295",1516,84,329,296,807
"E01004296",1605,96,585,243,681
"E01004297",1826,228,775,341,482
"E01004298",1629,90,535,299,705
"E01004300",1349,73,434,200,642
"E01004301",1324,52,302,211,759
"E01004302",1987,49,415,282,1241
"E01004303",2362,185,770,433,974
"E01004304",1955,86,517,347,1005
"E01004305",1940,119,549,318,954
"E01004306",1799,96,723,311,669
"E01004307",1857,175,915,239,528
"E01004308",1469,85,470,282,632
"E01004309",2433,143,742,355,1193
"E01004310",1893,109,604,232,948
"E01004311",1518,120,592,242,564
"E01004312",1614,85,552,220,757
"E01004313",2043,157,697,367,822
"E01004314",1100,103,479,227,291
"E01004315",1628,122,657,354,495
"E01004316",1134,58,398,223,455
"E01004317",2689,180,1169,409,931
"E01004318",1433,99,519,262,553
"E01004319",1886,72,492,310,1012
"E01004321",1769,88,575,289,817
"E01004322",1160,74,371,198,517
"E01004323",1466,78,436,406,546
"E01004324",1570,87,342,274,867
"E01004325",2475,112,1033,510,820
"E01004326",1438,107,457,221,653
"E01032764",1302,101,638,237,326
"E01032765",1488,116,658,337,377
"E01032766",1307,103,491,217,496
"E01032767",1584,109,767,250,458
"E01032768",1307,139,667,198,303
"E01032769",1230,136,502,198,394
"E01032770",1191,72,524,134,461
"E01032771",1104,133,431,232,308
"E01032772",1135,93,423,173,446
"E01032773",1561,130,586,242,603
"E01032774",1297,103,471,186,537
"E01032775",1108,123,458,159,368
"E01032776",1076,93,453,110,420
"E01032777",1141,86,427,249,379
"E01032778",1108,95,500,200,313
"E01032779",1089,104,426,211,348
"E01032780",1333,150,650,298,235
"E01032781",1535,153,667,244,471
"E01032782",1614,102,536,280,696
"E01032783",1383,139,614,231,399
"E01032784",1516,103,670,278,465
"E01032785",1348,102,597,212,437
"E01032786",1561,144,499,259,659
"E01032787",2567,90,568,511,1398
