"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E01004197",964,2,289,393,177,65,38
"E01004198",606,7,228,167,110,62,32
"E01004199",574,5,151,231,130,48,9
"E01004200",585,1,186,246,74,70,8
"E01004201",619,4,127,246,184,49,9
"E01004202",713,2,278,269,112,41,11
"E01004203",689,5,139,292,177,59,17
"E01004204",631,5,192,209,185,30,10
"E01004205",688,4,208,267,117,56,36
"E01004206",554,5,220,125,153,34,17
"E01004207",515,9,154,175,127,33,17
"E01004208",788,5,285,317,118,55,8
"E01004209",466,5,126,186,130,19,0
"E01004211",720,9,386,179,99,23,24
"E01004212",720,5,313,256,100,36,10
"E01004214",665,9,221,264,106,59,6
"E01004215",1168,5,334,456,300,64,9
"E01004216",737,9,151,409,144,18,6
"E01004217",779,0,201,357,179,26,16
"E01004218",731,2,116,324,190,81,18
"E01004219",851,4,292,355,115,65,20
"E01004221",802,4,162,443,131,48,14
"E01004222",1048,3,356,330,305,46,8
"E01004223",938,6,259,452,161,47,13
"E01004224",806,3,167,348,217,36,35
"E01004225",1147,2,465,529,98,45,8
"E01004226",676,6,168,304,144,49,5
"E01004228",769,0,173,193,321,60,22
"E01004229",551,1,134,212,136,52,16
"E01004230",803,3,196,244,276,70,14
"E01004231",629,2,130,274,159,47,17
"E01004232",603,3,101,150,190,108,51
"E01004233",751,1,253,199,239,50,9
"E01004234",903,5,235,290,260,93,20
"E01004235",513,6,177,210,97,20,3
"E01004236",497,1,87,207,148,47,7
"E01004237",506,3,189,194,92,27,1
"E01004238",1058,5,385,384,214,51,19
"E01004239",533,1,84,229,160,49,10
"E01004240",574,4,85,272,178,26,9
"E01004241",570,2,126,217,186,30,9
"E01004242",898,12,263,392,177,36,18
"E01004243",614,2,115,264,197,26,10
"E01004244",686,3,179,156,282,59,7
"E01004245",433,0,75,166,128,52,12
"E01004246",747,3,138,314,227,63,2
"E01004247",714,5,130,312,206,54,7
"E01004248",441,3,109,149,130,45,5
"E01004249",758,5,226,231,229,53,14
"E01004250",866,5,161,465,173,41,21
"E01004251",779,7,223,314,173,47,15
"E01004252",1107,6,341,481,209,51,19
"E01004253",829,6,180,326,264,39,14
"E01004254",1046,2,258,587,151,36,12
"E01004255",647,2,207,276,125,32,5
"E01004256",611,2,141,247,173,42,6
"E01004257",618,6,104,250,198,48,12
"E01004258",713,1,175,350,151,34,2
"E01004259",812,4,361,321,100,17,9
"E01004260",636,1,86,329,191,15,14
"E01004261",550,2,140,178,95,40,95
"E01004262",495,5,112,151,127,60,40
"E01004263",529,7,96,191,203,24,8
"E01004264",457,2,78,185,140,44,8
"E01004266",583,3,98,171,254,48,9
"E01004267",707,5,247,263,102,56,34
"E01004268",688,3,273,310,68,31,3
"E01004269",726,5,175,308,170,51,17
"E01004270",745,5,81,254,253,106,46
"E01004271",548,3,86,278,142,31,8
"E01004272",639,7,149,255,173,46,9
"E01004273",594,1,144,228,145,57,19
"E01004274",654,6,94,256,161,82,55
"E01004275",768,3,116,336,246,54,13
"E01004276",996,4,297,500,128,47,20
"E01004277",898,1,265,524,99,8,1
"E01004280",769,1,170,378,178,23,19
"E01004281",831,5,274,379,103,47,23
"E01004283",756,3,217,217,243,53,23
"E01004284",884,5,295,397,116,41,30
"E01004285",658,4,139,237,175,76,27
"E01004286",817,1,194,327,187,71,37
"E01004287",854,2,275,371,162,34,10
"E01004288",525,1,91,273,115,36,9
"E01004289",670,11,159,187,225,53,35
"E01004290",575,1,225,176,132,29,12
"E01004291",1051,9,453,449,118,16,6
"E01004292",818,2,179,353,191,79,14
"E01004293",1133,6,372,540,164,39,12
"E01004294",877,7,349,374,123,19,5
"E01004295",500,1,97,233,127,30,12
"E01004296",684,7,261,279,101,30,6
"E01004297",909,8,252,469,138,30,12
"E01004298",635,1,255,219,68,62,30
"E01004300",522,9,178,193,101,33,8
"E01004301",413,5,88,159,128,23,10
"E01004302",637,4,213,268,92,45,15
"E01004303",967,7,266,452,167,66,9
"E01004304",653,1,153,285,157,33,24
"E01004305",699,4,168,280,202,40,5
"E01004306",687,3,237,203,125,91,28
