"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E01004197",2329,2285,44,0
"E01004198",1529,1522,7,0
"E01004199",1637,1637,0,0
"E01004200",1566,1394,172,0
"E01004201",1556,1533,23,0
"E01004202",1705,1705,0,0
"E01004203",1779,1779,0,0
"E01004204",1582,1538,44,0
"E01004205",2106,2106,0,0
"E01004206",1492,1491,1,0
"E01004207",1416,1342,74,0
"E01004208",1976,1842,134,0
"E01004209",1366,1366,0,0
"E01004211",1463,1461,2,0
"E01004212",1780,1604,176,0
"E01004214",1669,1669,0,0
"E01004215",2756,2756,0,0
"E01004216",1619,1619,0,0
"E01004217",1745,1745,0,0
"E01004218",1750,1750,0,0
"E01004219",2294,2294,0,0
"E01004221",1881,1881,0,0
"E01004222",2480,2479,1,0
"E01004223",2079,2079,0,0
"E01004224",2000,2000,0,0
"E01004225",2178,2178,0,0
"E01004226",1738,1738,0,0
"E01004228",1857,1849,8,0
"E01004229",1484,1484,0,0
"E01004230",2101,2091,10,0
"E01004231",1793,1793,0,0
"E01004232",1665,1631,34,0
"E01004233",1821,1821,0,0
"E01004234",2218,2218,0,0
"E01004235",1372,1372,0,0
"E01004236",1679,1679,0,0
"E01004237",1158,1158,0,0
"E01004238",2733,2733,0,0
"E01004239",1649,1649,0,0
"E01004240",1815,1815,0,0
"E01004241",1621,1621,0,0
"E01004242",2453,2433,20,0
"E01004243",1789,1789,0,0
"E01004244",1885,1788,97,0
"E01004245",1539,1539,0,0
"E01004246",1977,1977,0,0
"E01004247",1934,1934,0,0
"E01004248",1344,1344,0,0
"E01004249",2049,2049,0,0
"E01004250",2342,2342,0,0
"E01004251",2082,2082,0,0
"E01004252",2707,2707,0,0
"E01004253",2340,2266,74,0
"E01004254",2120,2120,0,0
"E01004255",1618,1618,0,0
"E01004256",1729,1729,0,0
"E01004257",1884,1883,1,0
"E01004258",1506,1506,0,0
"E01004259",1723,1694,29,0
"E01004260",1790,1790,0,0
"E01004261",2525,1655,870,0
"E01004262",1742,1366,376,0
"E01004263",1419,1401,18,0
"E01004264",1537,1537,0,0
"E01004266",1545,1545,0,0
"E01004267",1767,1754,13,0
"E01004268",1784,1756,28,0
"E01004269",1975,1920,55,0
"E01004270",2236,2236,0,0
"E01004271",1589,1589,0,0
"E01004272",2099,2099,0,0
"E01004273",1904,1904,0,0
"E01004274",1973,1973,0,0
"E01004275",1879,1879,0,0
"E01004276",2024,2024,0,0
"E01004277",1630,1630,0,0
"E01004280",1879,1879,0,0
"E01004281",1770,1770,0,0
"E01004283",2317,2143,174,0
"E01004284",2302,2302,0,0
"E01004285",2318,2318,0,0
"E01004286",2364,2353,11,0
"E01004287",2171,2171,0,0
"E01004288",1620,1590,30,0
"E01004289",1844,1844,0,0
"E01004290",1302,1259,43,0
"E01004291",1844,1844,0,0
"E01004292",1738,1738,0,0
"E01004293",2125,2125,0,0
"E01004294",1757,1690,67,0
"E01004295",1516,1516,0,0
"E01004296",1605,1605,0,0
"E01004297",1826,1826,0,0
"E01004298",1637,1629,8,0
"E01004300",1349,1349,0,0
"E01004301",1324,1324,0,0
"E01004302",1987,1987,0,0
"E01004303",2362,2362,0,0
"E01004304",1957,1955,2,0
"E01004305",1952,1940,12,0
"E01004306",1799,1799,0,0
"E01004307",2186,1857,329,0
"E01004308",1478,1469,9,0
"E01004309",2852,2433,419,0
"E01004310",1971,1893,78,0
"E01004311",1518,1518,0,0
"E01004312",1614,1614,0,0
"E01004313",2043,2043,0,0
"E01004314",1100,1100,0,0
"E01004315",1628,1628,0,0
"E01004316",1138,1134,4,0
"E01004317",2706,2689,17,0
"E01004318",1459,1433,26,0
"E01004319",1886,1886,0,0
"E01004321",1822,1769,53,0
"E01004322",1292,1160,132,0
"E01004323",1466,1466,0,0
"E01004324",1574,1570,4,0
"E01004325",2487,2475,12,0
"E01004326",1444,1438,6,0
"E01032764",1302,1302,0,0
"E01032765",1488,1488,0,0
"E01032766",1307,1307,0,0
"E01032767",1584,1584,0,0
"E01032768",1307,1307,0,0
"E01032769",1235,1230,5,0
"E01032770",1191,1191,0,0
"E01032771",1104,1104,0,0
"E01032772",1135,1135,0,0
"E01032773",1561,1561,0,0
"E01032774",1298,1297,1,0
"E01032775",1108,1108,0,0
"E01032776",1076,1076,0,0
"E01032777",1141,1141,0,0
"E01032778",1108,1108,0,0
"E01032779",1089,1089,0,0
"E01032780",1333,1333,0,0
"E01032781",1535,1535,0,0
"E01032782",1614,1614,0,0
"E01032783",1383,1383,0,0
"E01032784",1516,1516,0,0
"E01032785",1348,1348,0,0
"E01032786",1561,1561,0,0
"E01032787",2567,2567,0,0
