"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021248",380,237,0,0,0,3,9,22,38,20,19,23,9
"E00021249",329,254,0,0,4,1,13,25,19,7,3,2,1
"E00021251",292,179,0,0,1,6,8,20,18,18,16,15,11
"E00021252",267,110,0,0,3,2,10,10,20,16,30,43,23
"E00021253",304,178,0,0,1,2,14,21,21,16,14,28,9
"E00021254",237,98,0,0,0,0,1,4,33,13,27,29,32
"E00021255",221,98,0,0,1,0,3,6,18,26,26,23,20
"E00021256",242,101,0,0,0,1,4,3,22,21,30,29,31
"E00021257",242,146,0,1,2,2,5,3,13,13,16,28,13
"E00021258",360,250,0,1,3,4,5,20,23,10,18,20,6
"E00021259",399,256,0,1,2,4,6,19,21,8,19,42,21
"E00021260",320,210,0,1,5,6,6,15,34,14,9,12,8
"E00021261",278,185,2,1,3,3,2,9,25,13,19,12,4
"E00021262",305,198,1,0,3,3,5,22,18,7,27,15,6
"E00021263",401,312,0,0,4,5,7,14,23,8,13,13,2
"E00021266",281,218,0,0,0,5,3,10,22,3,5,10,5
"E00021267",329,217,0,0,7,8,2,18,25,14,15,17,6
"E00021268",253,164,0,0,3,2,6,12,19,12,9,17,9
"E00021271",392,285,1,2,5,6,6,14,38,11,13,10,1
"E00021272",221,147,0,0,5,3,6,14,11,12,12,8,3
"E00021273",286,216,0,2,9,7,7,18,6,7,7,5,2
"E00021274",549,410,1,0,3,4,10,27,44,16,21,11,2
"E00021275",259,188,1,1,3,4,4,14,21,5,6,7,5
"E00021277",249,183,0,0,8,6,6,23,11,2,5,4,1
"E00021278",199,131,2,0,6,1,5,10,16,2,13,8,5
"E00021279",444,321,0,2,11,8,11,24,28,17,4,9,9
"E00021280",287,188,0,0,2,3,5,14,26,7,18,18,6
"E00021281",531,363,0,2,6,9,4,17,31,21,16,38,24
"E00021282",407,280,0,0,11,5,1,21,28,14,24,10,13
"E00021285",123,80,0,0,1,1,1,7,7,8,10,4,4
