"GeographyCode","QS611EW0001","QS611EW0002","QS611EW0003","QS611EW0004","QS611EW0005"
"E00021141",78,10,23,5,40
"E00021143",110,23,37,15,35
"E00021145",92,28,35,10,19
"E00021146",137,59,62,4,12
"E00021147",71,19,25,15,12
"E00021148",96,28,21,13,34
"E00021149",110,19,28,12,51
"E00021150",97,19,30,15,33
"E00021151",85,7,27,11,40
"E00021152",119,17,29,16,57
"E00021153",136,53,50,16,17
"E00021154",114,12,34,17,51
"E00021155",169,83,70,5,11
"E00021156",107,21,28,11,47
"E00021157",99,15,26,9,49
"E00021158",85,10,27,6,42
"E00021159",185,38,62,24,61
"E00021160",94,18,33,11,32
"E00021161",140,32,46,17,45
"E00021162",98,22,27,16,33
"E00021163",93,16,28,12,37
"E00021164",102,17,27,17,41
"E00021165",100,14,34,11,41
"E00021166",102,19,32,16,35
"E00021167",115,36,40,9,30
"E00021168",166,75,66,12,13
"E00021169",173,61,60,15,37
"E00021170",149,29,37,17,66
"E00021171",220,33,84,17,86
"E00021172",115,38,44,15,18
"E00021173",126,36,47,16,27
"E00021174",126,55,63,4,4
"E00021175",112,38,34,9,31
"E00021176",127,41,32,13,41
"E00021177",110,14,27,13,56
"E00021179",135,60,47,11,17
"E00021180",154,24,54,13,63
"E00021181",100,36,35,2,27
"E00021182",166,65,65,10,26
"E00021183",134,67,46,3,18
"E00021184",68,26,24,4,14
"E00021185",118,28,39,19,32
"E00021186",125,14,34,19,58
"E00021187",86,14,24,10,38
"E00021188",89,11,25,9,44
"E00021189",93,10,31,11,41
"E00021190",147,50,50,7,40
"E00021191",118,34,34,8,42
"E00021192",89,10,26,13,40
"E00021193",181,97,65,5,14
"E00021194",169,23,55,22,69
"E00021195",91,8,25,17,41
"E00021196",102,14,29,10,49
"E00021197",202,82,66,13,41
"E00021198",80,7,31,14,28
"E00021199",103,17,37,18,31
"E00021200",91,13,27,7,44
"E00021201",95,17,32,14,32
"E00021202",80,12,20,9,39
"E00021203",79,10,27,8,34
"E00021204",139,25,38,14,62
"E00021205",85,5,24,9,47
"E00021206",69,8,20,9,32
"E00021207",136,72,46,4,14
"E00021208",95,13,35,8,39
"E00021209",64,5,22,11,26
"E00021210",65,8,17,8,32
"E00021211",126,29,40,21,36
"E00021212",65,5,13,9,38
"E00021213",111,14,26,19,52
"E00021214",137,34,49,15,39
"E00021215",172,61,77,15,19
"E00021216",155,17,40,24,74
"E00021217",215,23,124,13,55
"E00021218",187,99,53,12,23
"E00021219",76,20,23,16,17
"E00021220",173,100,50,11,12
"E00021223",189,116,50,8,15
"E00021224",144,48,48,17,31
"E00021225",114,37,31,14,32
"E00021227",101,36,36,15,14
"E00021228",101,18,28,22,33
"E00021229",105,14,34,14,43
"E00021230",110,55,38,5,12
"E00021231",94,26,32,16,20
"E00021235",91,8,16,10,57
"E00021236",125,38,40,14,33
"E00021238",175,111,46,10,8
"E00021239",146,97,44,3,2
"E00021240",155,88,52,5,10
"E00021241",108,65,31,4,8
"E00021243",138,35,38,19,46
"E00021244",106,9,23,19,55
"E00021245",83,13,30,11,29
"E00021246",157,44,41,21,51
"E00021247",100,9,27,8,56
"E00021248",128,24,33,20,51
"E00021249",108,10,22,20,56
"E00021251",93,18,26,11,38
"E00021252",122,64,42,9,7
"E00021253",135,22,43,22,48
"E00021254",108,65,27,8,8
"E00021255",109,79,20,6,4
"E00021256",105,57,32,3,13
"E00021257",96,38,35,9,14
"E00021258",102,13,25,16,48
"E00021259",112,17,30,24,41
"E00021260",113,21,30,19,43
"E00021261",100,37,33,5,25
"E00021262",98,13,31,14,40
"E00021263",150,53,51,8,38
"E00021266",112,42,45,12,13
"E00021267",123,24,38,14,47
"E00021268",93,19,26,13,35
"E00021271",149,28,58,24,39
"E00021272",74,12,20,13,29
"E00021273",74,11,19,13,31
"E00021274",162,18,44,27,73
"E00021275",87,15,26,13,33
"E00021277",76,8,21,14,33
"E00021278",69,13,21,9,26
"E00021279",125,11,28,29,57
"E00021280",128,30,53,16,29
"E00021281",183,52,64,22,45
"E00021282",144,58,39,9,38
"E00021285",73,34,27,4,8
"E00021286",96,49,25,5,17
"E00021287",160,84,56,13,7
"E00021288",131,82,37,7,5
"E00021289",115,7,25,24,59
"E00021290",100,8,29,15,48
"E00021291",236,133,80,11,12
"E00021292",94,13,26,18,37
"E00021294",178,15,46,24,93
"E00021295",134,57,50,8,19
"E00021296",142,64,52,11,15
"E00021297",138,66,39,10,23
"E00021298",156,72,53,14,17
"E00021299",148,44,58,13,33
"E00021300",166,83,57,14,12
"E00021301",148,15,47,14,72
"E00021302",167,40,57,24,46
"E00021303",105,17,31,10,47
"E00021304",103,16,34,12,41
"E00021305",83,49,20,8,6
"E00021306",108,56,32,9,11
"E00021307",173,86,50,13,24
"E00021308",123,45,39,11,28
"E00021309",103,57,34,4,8
"E00021310",79,18,23,14,24
"E00021311",97,16,27,14,40
"E00021312",109,40,29,12,28
"E00021313",186,58,74,21,33
"E00021314",128,56,45,13,14
"E00021315",54,4,7,9,34
"E00021316",77,12,19,11,35
"E00021317",100,48,33,8,11
"E00021318",118,32,28,25,33
"E00021319",114,20,53,10,31
